Radionuclide	Zr-88
Route of Intake	Inhalation
Material	Aerosols Type S, Carbonate, oxide, tritide, fA=2E-5
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
21	3.9E-1	1.1E-5	1.5E-3	2.4E-3	3.8E-1	4.1E-3	3.1E-4
22	3.9E-1	1.1E-5	1.4E-3	2.2E-3	3.8E-1	4.2E-3	3.1E-4
23	3.8E-1	1.0E-5	1.2E-3	2.0E-3	3.7E-1	4.2E-3	3.0E-4
24	3.8E-1	9.5E-6	1.1E-3	1.8E-3	3.7E-1	4.2E-3	3.0E-4
25	3.7E-1	9.0E-6	1.0E-3	1.7E-3	3.7E-1	4.3E-3	3.0E-4
26	3.7E-1	8.6E-6	9.8E-4	1.6E-3	3.6E-1	4.3E-3	3.0E-4
27	3.6E-1	8.2E-6	9.2E-4	1.5E-3	3.6E-1	4.3E-3	2.9E-4
28	3.6E-1	7.8E-6	8.7E-4	1.5E-3	3.5E-1	4.3E-3	2.9E-4
29	3.6E-1	7.4E-6	8.3E-4	1.4E-3	3.5E-1	4.4E-3	2.9E-4
30	3.5E-1	7.1E-6	7.9E-4	1.4E-3	3.5E-1	4.4E-3	2.8E-4
31	3.5E-1	6.8E-6	7.7E-4	1.3E-3	3.4E-1	4.4E-3	2.8E-4
32	3.5E-1	6.6E-6	7.4E-4	1.3E-3	3.4E-1	4.4E-3	2.8E-4
33	3.4E-1	6.3E-6	7.2E-4	1.2E-3	3.4E-1	4.4E-3	2.8E-4
34	3.4E-1	6.1E-6	7.0E-4	1.2E-3	3.3E-1	4.4E-3	2.7E-4
35	3.4E-1	5.9E-6	6.8E-4	1.2E-3	3.3E-1	4.4E-3	2.7E-4
36	3.3E-1	5.7E-6	6.7E-4	1.2E-3	3.3E-1	4.4E-3	2.7E-4
37	3.3E-1	5.5E-6	6.5E-4	1.1E-3	3.2E-1	4.4E-3	2.6E-4
38	3.2E-1	5.3E-6	6.4E-4	1.1E-3	3.2E-1	4.4E-3	2.6E-4
39	3.2E-1	5.2E-6	6.3E-4	1.1E-3	3.2E-1	4.4E-3	2.6E-4
40	3.2E-1	5.0E-6	6.2E-4	1.1E-3	3.1E-1	4.4E-3	2.6E-4
41	3.2E-1	4.9E-6	6.1E-4	1.1E-3	3.1E-1	4.4E-3	2.5E-4
42	3.1E-1	4.7E-6	6.0E-4	1.1E-3	3.1E-1	4.4E-3	2.5E-4
43	3.1E-1	4.6E-6	5.9E-4	1.0E-3	3.0E-1	4.4E-3	2.5E-4
44	3.1E-1	4.5E-6	5.9E-4	1.0E-3	3.0E-1	4.4E-3	2.5E-4
45	3.0E-1	4.4E-6	5.8E-4	1.0E-3	3.0E-1	4.4E-3	2.4E-4
46	3.0E-1	4.3E-6	5.7E-4	1.0E-3	2.9E-1	4.4E-3	2.4E-4
47	3.0E-1	4.2E-6	5.6E-4	9.8E-4	2.9E-1	4.4E-3	2.4E-4
48	2.9E-1	4.1E-6	5.6E-4	9.7E-4	2.9E-1	4.4E-3	2.4E-4
49	2.9E-1	4.0E-6	5.5E-4	9.6E-4	2.8E-1	4.4E-3	2.4E-4
50	2.9E-1	4.0E-6	5.4E-4	9.5E-4	2.8E-1	4.4E-3	2.3E-4
51	2.8E-1	3.9E-6	5.4E-4	9.4E-4	2.8E-1	4.4E-3	2.3E-4
52	2.8E-1	3.8E-6	5.3E-4	9.3E-4	2.8E-1	4.4E-3	2.3E-4
53	2.8E-1	3.8E-6	5.2E-4	9.1E-4	2.7E-1	4.3E-3	2.3E-4
54	2.8E-1	3.7E-6	5.2E-4	9.0E-4	2.7E-1	4.3E-3	2.2E-4
55	2.7E-1	3.6E-6	5.1E-4	8.9E-4	2.7E-1	4.3E-3	2.2E-4
56	2.7E-1	3.6E-6	5.1E-4	8.8E-4	2.6E-1	4.3E-3	2.2E-4
57	2.7E-1	3.5E-6	5.0E-4	8.7E-4	2.6E-1	4.3E-3	2.2E-4
58	2.6E-1	3.5E-6	4.9E-4	8.6E-4	2.6E-1	4.3E-3	2.1E-4
59	2.6E-1	3.4E-6	4.9E-4	8.5E-4	2.6E-1	4.3E-3	2.1E-4
60	2.6E-1	3.4E-6	4.8E-4	8.4E-4	2.5E-1	4.3E-3	2.1E-4
61	2.6E-1	3.3E-6	4.8E-4	8.3E-4	2.5E-1	4.3E-3	2.1E-4
62	2.5E-1	3.3E-6	4.7E-4	8.2E-4	2.5E-1	4.2E-3	2.1E-4
63	2.5E-1	3.2E-6	4.7E-4	8.1E-4	2.5E-1	4.2E-3	2.0E-4
64	2.5E-1	3.2E-6	4.6E-4	8.1E-4	2.4E-1	4.2E-3	2.0E-4
65	2.5E-1	3.1E-6	4.6E-4	8.0E-4	2.4E-1	4.2E-3	2.0E-4
66	2.4E-1	3.1E-6	4.5E-4	7.9E-4	2.4E-1	4.2E-3	2.0E-4
67	2.4E-1	3.1E-6	4.5E-4	7.8E-4	2.4E-1	4.2E-3	2.0E-4
68	2.4E-1	3.0E-6	4.4E-4	7.7E-4	2.3E-1	4.2E-3	1.9E-4
69	2.4E-1	3.0E-6	4.4E-4	7.6E-4	2.3E-1	4.2E-3	1.9E-4
70	2.3E-1	2.9E-6	4.3E-4	7.5E-4	2.3E-1	4.1E-3	1.9E-4
71	2.3E-1	2.9E-6	4.3E-4	7.4E-4	2.3E-1	4.1E-3	1.9E-4
72	2.3E-1	2.9E-6	4.2E-4	7.3E-4	2.2E-1	4.1E-3	1.9E-4
73	2.3E-1	2.8E-6	4.2E-4	7.3E-4	2.2E-1	4.1E-3	1.9E-4
74	2.3E-1	2.8E-6	4.1E-4	7.2E-4	2.2E-1	4.1E-3	1.8E-4
75	2.2E-1	2.8E-6	4.1E-4	7.1E-4	2.2E-1	4.1E-3	1.8E-4
76	2.2E-1	2.7E-6	4.0E-4	7.0E-4	2.2E-1	4.1E-3	1.8E-4
77	2.2E-1	2.7E-6	4.0E-4	6.9E-4	2.1E-1	4.0E-3	1.8E-4
78	2.2E-1	2.7E-6	3.9E-4	6.9E-4	2.1E-1	4.0E-3	1.8E-4
79	2.1E-1	2.7E-6	3.9E-4	6.8E-4	2.1E-1	4.0E-3	1.7E-4
80	2.1E-1	2.6E-6	3.8E-4	6.7E-4	2.1E-1	4.0E-3	1.7E-4
81	2.1E-1	2.6E-6	3.8E-4	6.6E-4	2.0E-1	4.0E-3	1.7E-4
82	2.1E-1	2.6E-6	3.8E-4	6.6E-4	2.0E-1	4.0E-3	1.7E-4
83	2.1E-1	2.5E-6	3.7E-4	6.5E-4	2.0E-1	4.0E-3	1.7E-4
84	2.0E-1	2.5E-6	3.7E-4	6.4E-4	2.0E-1	3.9E-3	1.7E-4
85	2.0E-1	2.5E-6	3.6E-4	6.3E-4	2.0E-1	3.9E-3	1.6E-4
86	2.0E-1	2.5E-6	3.6E-4	6.3E-4	1.9E-1	3.9E-3	1.6E-4
87	2.0E-1	2.4E-6	3.5E-4	6.2E-4	1.9E-1	3.9E-3	1.6E-4
88	2.0E-1	2.4E-6	3.5E-4	6.1E-4	1.9E-1	3.9E-3	1.6E-4
89	1.9E-1	2.4E-6	3.5E-4	6.0E-4	1.9E-1	3.9E-3	1.6E-4
90	1.9E-1	2.4E-6	3.4E-4	6.0E-4	1.9E-1	3.9E-3	1.6E-4
91	1.9E-1	2.3E-6	3.4E-4	5.9E-4	1.8E-1	3.8E-3	1.5E-4
92	1.9E-1	2.3E-6	3.4E-4	5.8E-4	1.8E-1	3.8E-3	1.5E-4
93	1.9E-1	2.3E-6	3.3E-4	5.8E-4	1.8E-1	3.8E-3	1.5E-4
94	1.8E-1	2.3E-6	3.3E-4	5.7E-4	1.8E-1	3.8E-3	1.5E-4
95	1.8E-1	2.2E-6	3.2E-4	5.6E-4	1.8E-1	3.8E-3	1.5E-4
96	1.8E-1	2.2E-6	3.2E-4	5.6E-4	1.8E-1	3.8E-3	1.5E-4
97	1.8E-1	2.2E-6	3.2E-4	5.5E-4	1.7E-1	3.7E-3	1.5E-4
98	1.8E-1	2.2E-6	3.1E-4	5.5E-4	1.7E-1	3.7E-3	1.4E-4
99	1.7E-1	2.1E-6	3.1E-4	5.4E-4	1.7E-1	3.7E-3	1.4E-4
100	1.7E-1	2.1E-6	3.1E-4	5.3E-4	1.7E-1	3.7E-3	1.4E-4
110	1.6E-1	1.9E-6	2.7E-4	4.8E-4	1.5E-1	3.5E-3	1.3E-4
120	1.4E-1	1.7E-6	2.4E-4	4.2E-4	1.4E-1	3.4E-3	1.2E-4
130	1.3E-1	1.6E-6	2.2E-4	3.8E-4	1.2E-1	3.2E-3	1.0E-4
140	1.2E-1	1.4E-6	1.9E-4	3.4E-4	1.1E-1	3.1E-3	9.5E-5
150	1.0E-1	1.3E-6	1.7E-4	3.0E-4	1.0E-1	2.9E-3	8.6E-5
160	9.5E-2	1.2E-6	1.5E-4	2.7E-4	9.2E-2	2.8E-3	7.8E-5
170	8.6E-2	1.1E-6	1.4E-4	2.4E-4	8.3E-2	2.6E-3	7.0E-5
180	7.8E-2	9.6E-7	1.2E-4	2.1E-4	7.5E-2	2.5E-3	6.4E-5
190	7.0E-2	8.7E-7	1.1E-4	1.9E-4	6.8E-2	2.3E-3	5.8E-5
200	6.4E-2	7.9E-7	9.8E-5	1.7E-4	6.1E-2	2.2E-3	5.2E-5
210	5.8E-2	7.2E-7	8.7E-5	1.5E-4	5.5E-2	2.1E-3	4.7E-5
220	5.2E-2	6.5E-7	7.8E-5	1.4E-4	5.0E-2	1.9E-3	4.3E-5
230	4.8E-2	5.9E-7	6.9E-5	1.2E-4	4.5E-2	1.8E-3	3.9E-5
240	4.3E-2	5.4E-7	6.2E-5	1.1E-4	4.1E-2	1.7E-3	3.5E-5
250	3.9E-2	4.9E-7	5.5E-5	9.7E-5	3.7E-2	1.6E-3	3.2E-5
260	3.5E-2	4.4E-7	4.9E-5	8.7E-5	3.4E-2	1.5E-3	2.9E-5
270	3.2E-2	4.0E-7	4.4E-5	7.7E-5	3.1E-2	1.4E-3	2.6E-5
280	2.9E-2	3.7E-7	3.9E-5	6.9E-5	2.8E-2	1.3E-3	2.4E-5
290	2.7E-2	3.3E-7	3.5E-5	6.2E-5	2.5E-2	1.2E-3	2.2E-5
300	2.4E-2	3.0E-7	3.1E-5	5.5E-5	2.3E-2	1.2E-3	2.0E-5
310	2.2E-2	2.8E-7	2.8E-5	4.9E-5	2.1E-2	1.1E-3	1.8E-5
320	2.0E-2	2.5E-7	2.5E-5	4.4E-5	1.9E-2	1.0E-3	1.6E-5
330	1.8E-2	2.3E-7	2.2E-5	3.9E-5	1.7E-2	9.5E-4	1.5E-5
340	1.6E-2	2.1E-7	2.0E-5	3.5E-5	1.5E-2	8.9E-4	1.3E-5
350	1.5E-2	1.9E-7	1.8E-5	3.1E-5	1.4E-2	8.3E-4	1.2E-5
360	1.4E-2	1.7E-7	1.6E-5	2.8E-5	1.3E-2	7.8E-4	1.1E-5
365	1.3E-2	1.6E-7	1.5E-5	2.6E-5	1.2E-2	7.5E-4	1.0E-5
370	1.2E-2	1.6E-7	1.4E-5	2.5E-5	1.2E-2	7.2E-4	1.0E-5
380	1.1E-2	1.4E-7	1.3E-5	2.2E-5	1.1E-2	6.8E-4	9.1E-6
390	1.0E-2	1.3E-7	1.1E-5	2.0E-5	9.6E-3	6.3E-4	8.2E-6
400	9.3E-3	1.2E-7	1.0E-5	1.8E-5	8.7E-3	5.9E-4	7.5E-6
410	8.5E-3	1.1E-7	8.9E-6	1.6E-5	7.9E-3	5.5E-4	6.8E-6
420	7.7E-3	9.9E-8	8.0E-6	1.4E-5	7.2E-3	5.1E-4	6.2E-6
430	7.0E-3	9.0E-8	7.1E-6	1.3E-5	6.5E-3	4.7E-4	5.7E-6
440	6.4E-3	8.2E-8	6.3E-6	1.1E-5	5.9E-3	4.4E-4	5.1E-6
450	5.8E-3	7.5E-8	5.7E-6	1.0E-5	5.4E-3	4.1E-4	4.7E-6
460	5.3E-3	6.9E-8	5.0E-6	9.0E-6	4.9E-3	3.8E-4	4.3E-6
470	4.9E-3	6.3E-8	4.5E-6	8.0E-6	4.5E-3	3.6E-4	3.9E-6
480	4.4E-3	5.7E-8	4.0E-6	7.1E-6	4.1E-3	3.3E-4	3.5E-6
490	4.0E-3	5.2E-8	3.6E-6	6.4E-6	3.7E-3	3.1E-4	3.2E-6
500	3.7E-3	4.8E-8	3.2E-6	5.7E-6	3.4E-3	2.9E-4	2.9E-6
510	3.4E-3	4.4E-8	2.9E-6	5.1E-6	3.1E-3	2.7E-4	2.7E-6
520	3.1E-3	4.0E-8	2.5E-6	4.5E-6	2.8E-3	2.5E-4	2.4E-6
530	2.8E-3	3.6E-8	2.3E-6	4.1E-6	2.6E-3	2.3E-4	2.2E-6
540	2.6E-3	3.3E-8	2.0E-6	3.6E-6	2.3E-3	2.1E-4	2.0E-6
550	2.3E-3	3.0E-8	1.8E-6	3.2E-6	2.1E-3	2.0E-4	1.9E-6
560	2.1E-3	2.8E-8	1.6E-6	2.9E-6	1.9E-3	1.8E-4	1.7E-6
570	1.9E-3	2.5E-8	1.4E-6	2.6E-6	1.8E-3	1.7E-4	1.5E-6
580	1.8E-3	2.3E-8	1.3E-6	2.3E-6	1.6E-3	1.6E-4	1.4E-6
590	1.6E-3	2.1E-8	1.1E-6	2.1E-6	1.5E-3	1.5E-4	1.3E-6
600	1.5E-3	2.0E-8	1.0E-6	1.8E-6	1.3E-3	1.4E-4	1.2E-6
610	1.4E-3	1.8E-8	9.1E-7	1.6E-6	1.2E-3	1.3E-4	1.1E-6
620	1.2E-3	1.6E-8	8.1E-7	1.5E-6	1.1E-3	1.2E-4	9.9E-7
630	1.1E-3	1.5E-8	7.3E-7	1.3E-6	1.0E-3	1.1E-4	9.0E-7
640	1.0E-3	1.4E-8	6.5E-7	1.2E-6	9.3E-4	1.0E-4	8.2E-7
650	9.5E-4	1.3E-8	5.8E-7	1.1E-6	8.5E-4	9.3E-5	7.5E-7
660	8.7E-4	1.2E-8	5.2E-7	9.4E-7	7.8E-4	8.6E-5	6.9E-7
670	7.9E-4	1.1E-8	4.6E-7	8.4E-7	7.1E-4	8.0E-5	6.3E-7
680	7.2E-4	9.7E-9	4.1E-7	7.5E-7	6.5E-4	7.4E-5	5.8E-7
690	6.6E-4	8.8E-9	3.7E-7	6.7E-7	5.9E-4	6.9E-5	5.3E-7
700	6.1E-4	8.1E-9	3.3E-7	6.0E-7	5.4E-4	6.4E-5	4.8E-7
710	5.5E-4	7.4E-9	2.9E-7	5.4E-7	4.9E-4	5.9E-5	4.4E-7
720	5.1E-4	6.8E-9	2.6E-7	4.8E-7	4.5E-4	5.5E-5	4.0E-7
730	4.7E-4	6.2E-9	2.3E-7	4.3E-7	4.1E-4	5.1E-5	3.7E-7
740	4.3E-4	5.7E-9	2.1E-7	3.8E-7	3.8E-4	4.7E-5	3.4E-7
750	3.9E-4	5.2E-9	1.9E-7	3.4E-7	3.4E-4	4.3E-5	3.1E-7
760	3.6E-4	4.8E-9	1.7E-7	3.1E-7	3.2E-4	4.0E-5	2.8E-7
770	3.3E-4	4.4E-9	1.5E-7	2.7E-7	2.9E-4	3.7E-5	2.6E-7
780	3.0E-4	4.0E-9	1.3E-7	2.5E-7	2.6E-4	3.5E-5	2.4E-7
790	2.7E-4	3.7E-9	1.2E-7	2.2E-7	2.4E-4	3.2E-5	2.2E-7
800	2.5E-4	3.4E-9	1.0E-7	2.0E-7	2.2E-4	3.0E-5	2.0E-7
810	2.3E-4	3.1E-9	9.4E-8	1.8E-7	2.0E-4	2.7E-5	1.8E-7
820	2.1E-4	2.9E-9	8.4E-8	1.6E-7	1.9E-4	2.5E-5	1.7E-7
830	1.9E-4	2.6E-9	7.5E-8	1.4E-7	1.7E-4	2.3E-5	1.5E-7
840	1.8E-4	2.4E-9	6.7E-8	1.3E-7	1.6E-4	2.2E-5	1.4E-7
850	1.6E-4	2.2E-9	5.9E-8	1.1E-7	1.4E-4	2.0E-5	1.3E-7
860	1.5E-4	2.0E-9	5.3E-8	1.0E-7	1.3E-4	1.9E-5	1.2E-7
870	1.4E-4	1.9E-9	4.7E-8	9.0E-8	1.2E-4	1.7E-5	1.1E-7
880	1.3E-4	1.7E-9	4.2E-8	8.1E-8	1.1E-4	1.6E-5	1.0E-7
890	1.1E-4	1.6E-9	3.8E-8	7.2E-8	1.0E-4	1.5E-5	9.1E-8
900	1.1E-4	1.4E-9	3.4E-8	6.5E-8	9.1E-5	1.4E-5	8.4E-8
910	9.7E-5	1.3E-9	3.0E-8	5.8E-8	8.4E-5	1.3E-5	7.7E-8
920	8.9E-5	1.2E-9	2.7E-8	5.2E-8	7.7E-5	1.2E-5	7.1E-8
930	8.1E-5	1.1E-9	2.4E-8	4.6E-8	7.0E-5	1.1E-5	6.5E-8
940	7.5E-5	1.0E-9	2.1E-8	4.2E-8	6.4E-5	1.0E-5	5.9E-8
950	6.9E-5	9.4E-10	1.9E-8	3.7E-8	5.9E-5	9.2E-6	5.5E-8
960	6.3E-5	8.7E-10	1.7E-8	3.3E-8	5.4E-5	8.5E-6	5.0E-8
970	5.8E-5	8.0E-10	1.5E-8	3.0E-8	5.0E-5	7.9E-6	4.6E-8
980	5.3E-5	7.3E-10	1.4E-8	2.7E-8	4.5E-5	7.3E-6	4.2E-8
990	4.9E-5	6.7E-10	1.2E-8	2.4E-8	4.2E-5	6.8E-6	3.9E-8
1000	4.5E-5	6.2E-10	1.1E-8	2.2E-8	3.8E-5	6.2E-6	3.6E-8
1010	4.1E-5	5.7E-10	9.6E-9	1.9E-8	3.5E-5	5.8E-6	3.3E-8
1020	3.8E-5	5.2E-10	8.6E-9	1.7E-8	3.2E-5	5.3E-6	3.0E-8
1030	3.5E-5	4.8E-10	7.7E-9	1.6E-8	2.9E-5	4.9E-6	2.8E-8
1040	3.2E-5	4.4E-10	6.9E-9	1.4E-8	2.7E-5	4.6E-6	2.5E-8
1050	2.9E-5	4.0E-10	6.1E-9	1.2E-8	2.5E-5	4.2E-6	2.3E-8
1060	2.7E-5	3.7E-10	5.5E-9	1.1E-8	2.3E-5	3.9E-6	2.1E-8
1070	2.5E-5	3.4E-10	4.9E-9	1.0E-8	2.1E-5	3.6E-6	2.0E-8
1080	2.3E-5	3.1E-10	4.4E-9	9.0E-9	1.9E-5	3.3E-6	1.8E-8
1090	2.1E-5	2.9E-10	3.9E-9	8.1E-9	1.8E-5	3.1E-6	1.7E-8
1095	2.0E-5	2.8E-10	3.7E-9	7.7E-9	1.7E-5	3.0E-6	1.6E-8
1100	1.9E-5	2.7E-10	3.5E-9	7.3E-9	1.6E-5	2.8E-6	1.5E-8
1200	8.1E-6	1.1E-10	1.1E-9	2.4E-9	6.8E-6	1.3E-6	6.5E-9
1300	3.5E-6	-	3.6E-10	7.9E-10	2.9E-6	5.9E-7	2.8E-9
1400	1.5E-6	-	1.2E-10	1.1E-10	1.2E-6	2.6E-7	1.2E-9
1500	6.5E-7	-	-	-	5.3E-7	1.2E-7	5.3E-10
1600	2.8E-7	-	-	-	2.3E-7	5.4E-8	2.3E-10
1700	1.2E-7	-	-	-	9.7E-8	2.4E-8	-
1800	5.3E-8	-	-	-	4.2E-8	1.1E-8	-
1900	2.3E-8	-	-	-	1.8E-8	4.9E-9	-
2000	1.0E-8	-	-	-	7.7E-9	2.1E-9	-
2100	4.3E-9	-	-	-	3.3E-9	8.6E-10	-
2200	1.9E-9	-	-	-	1.4E-9	3.8E-10	-
2300	8.2E-10	-	-	-	5.8E-10	1.1E-10	-
2400	3.5E-10	-	-	-	2.5E-10	-	-
2500	1.5E-10	-	-	-	1.1E-10	-	-
