Radionuclide	Np-235
Route of Intake	Inhalation
Material	Aerosols Neptunium nitrate, fA=3.5E-4
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.7E-1	-	-	8.7E-2	3.8E-1	3.1E-2	3.5E-2
0.083333	8.7E-1	-	-	1.0E-1	2.9E-1	4.8E-2	4.3E-2
0.125	8.6E-1	-	-	1.1E-1	2.6E-1	6.1E-2	4.5E-2
0.25	8.3E-1	-	-	1.2E-1	2.3E-1	9.0E-2	4.3E-2
0.375	8.0E-1	-	-	1.3E-1	2.2E-1	1.1E-1	4.2E-2
0.5	7.8E-1	-	-	1.3E-1	2.1E-1	1.3E-1	4.1E-2
0.625	7.6E-1	-	-	1.3E-1	2.1E-1	1.4E-1	4.0E-2
0.75	7.4E-1	-	-	1.3E-1	2.0E-1	1.5E-1	4.0E-2
0.875	7.3E-1	-	-	1.3E-1	2.0E-1	1.5E-1	4.0E-2
1	7.2E-1	1.1E-1	2.0E-2	1.3E-1	2.0E-1	1.6E-1	4.1E-2
1.125	7.0E-1	-	-	1.2E-1	1.9E-1	1.7E-1	4.1E-2
1.25	6.9E-1	-	-	1.2E-1	1.9E-1	1.7E-1	4.1E-2
1.375	6.8E-1	-	-	1.1E-1	1.9E-1	1.7E-1	4.2E-2
1.5	6.7E-1	-	-	1.0E-1	1.9E-1	1.8E-1	4.2E-2
1.625	6.5E-1	-	-	9.7E-2	1.9E-1	1.8E-1	4.2E-2
1.75	6.4E-1	-	-	9.0E-2	1.8E-1	1.8E-1	4.3E-2
1.875	6.3E-1	-	-	8.3E-2	1.8E-1	1.9E-1	4.3E-2
2	6.2E-1	2.4E-2	6.6E-2	7.6E-2	1.8E-1	1.9E-1	4.4E-2
2.25	6.0E-1	-	-	6.3E-2	1.8E-1	1.9E-1	4.4E-2
2.5	5.9E-1	-	-	5.3E-2	1.8E-1	2.0E-1	4.5E-2
2.75	5.7E-1	-	-	4.3E-2	1.7E-1	2.0E-1	4.6E-2
3	5.6E-1	1.2E-2	4.7E-2	3.6E-2	1.7E-1	2.0E-1	4.6E-2
3.25	5.5E-1	-	-	3.0E-2	1.7E-1	2.0E-1	4.6E-2
3.5	5.4E-1	-	-	2.5E-2	1.7E-1	2.1E-1	4.7E-2
3.75	5.4E-1	-	-	2.2E-2	1.7E-1	2.1E-1	4.7E-2
4	5.3E-1	7.4E-3	2.2E-2	1.9E-2	1.6E-1	2.1E-1	4.8E-2
4.25	5.3E-1	-	-	1.7E-2	1.6E-1	2.1E-1	4.8E-2
4.5	5.2E-1	-	-	1.5E-2	1.6E-1	2.1E-1	4.8E-2
4.75	5.2E-1	-	-	1.4E-2	1.6E-1	2.2E-1	4.8E-2
5	5.1E-1	4.9E-3	1.1E-2	1.2E-2	1.6E-1	2.2E-1	4.9E-2
5.5	5.1E-1	-	-	1.1E-2	1.6E-1	2.2E-1	4.9E-2
6	5.0E-1	3.4E-3	6.6E-3	9.6E-3	1.5E-1	2.2E-1	4.9E-2
6.5	5.0E-1	-	-	8.6E-3	1.5E-1	2.2E-1	5.0E-2
7	4.9E-1	2.4E-3	4.8E-3	7.8E-3	1.5E-1	2.2E-1	5.0E-2
7.5	4.9E-1	-	-	7.1E-3	1.5E-1	2.2E-1	5.0E-2
8	4.9E-1	1.7E-3	3.8E-3	6.5E-3	1.4E-1	2.2E-1	5.0E-2
8.5	4.9E-1	-	-	6.0E-3	1.4E-1	2.2E-1	5.0E-2
9	4.8E-1	1.3E-3	3.1E-3	5.6E-3	1.4E-1	2.3E-1	5.0E-2
9.5	4.8E-1	-	-	5.1E-3	1.4E-1	2.3E-1	5.0E-2
10	4.8E-1	1.0E-3	2.6E-3	4.8E-3	1.4E-1	2.3E-1	5.0E-2
11	4.7E-1	8.4E-4	2.2E-3	4.2E-3	1.4E-1	2.3E-1	5.0E-2
12	4.7E-1	7.2E-4	1.8E-3	3.6E-3	1.3E-1	2.3E-1	5.0E-2
13	4.7E-1	6.4E-4	1.5E-3	3.2E-3	1.3E-1	2.3E-1	5.0E-2
14	4.7E-1	5.8E-4	1.3E-3	2.9E-3	1.3E-1	2.3E-1	5.0E-2
15	4.6E-1	5.4E-4	1.1E-3	2.6E-3	1.3E-1	2.3E-1	5.0E-2
16	4.6E-1	5.1E-4	9.3E-4	2.4E-3	1.3E-1	2.3E-1	5.0E-2
17	4.6E-1	4.9E-4	8.0E-4	2.2E-3	1.3E-1	2.3E-1	5.0E-2
18	4.6E-1	4.7E-4	7.0E-4	2.1E-3	1.2E-1	2.3E-1	5.0E-2
19	4.5E-1	4.6E-4	6.1E-4	2.0E-3	1.2E-1	2.3E-1	5.0E-2
20	4.5E-1	4.4E-4	5.4E-4	1.9E-3	1.2E-1	2.3E-1	5.0E-2
21	4.5E-1	4.3E-4	4.9E-4	1.8E-3	1.2E-1	2.3E-1	5.0E-2
22	4.5E-1	4.2E-4	4.4E-4	1.7E-3	1.2E-1	2.3E-1	5.0E-2
23	4.5E-1	4.1E-4	4.0E-4	1.7E-3	1.2E-1	2.3E-1	5.0E-2
24	4.5E-1	4.0E-4	3.7E-4	1.6E-3	1.2E-1	2.3E-1	5.0E-2
25	4.5E-1	4.0E-4	3.4E-4	1.6E-3	1.2E-1	2.3E-1	5.0E-2
26	4.4E-1	3.9E-4	3.2E-4	1.5E-3	1.1E-1	2.3E-1	5.0E-2
27	4.4E-1	3.8E-4	3.1E-4	1.5E-3	1.1E-1	2.3E-1	5.0E-2
28	4.4E-1	3.7E-4	2.9E-4	1.5E-3	1.1E-1	2.3E-1	5.0E-2
29	4.4E-1	3.7E-4	2.8E-4	1.4E-3	1.1E-1	2.3E-1	5.0E-2
30	4.4E-1	3.6E-4	2.7E-4	1.4E-3	1.1E-1	2.3E-1	5.0E-2
31	4.4E-1	3.5E-4	2.6E-4	1.4E-3	1.1E-1	2.3E-1	5.0E-2
32	4.4E-1	3.5E-4	2.5E-4	1.4E-3	1.1E-1	2.3E-1	5.0E-2
33	4.3E-1	3.4E-4	2.4E-4	1.4E-3	1.1E-1	2.3E-1	5.0E-2
34	4.3E-1	3.4E-4	2.4E-4	1.4E-3	1.1E-1	2.3E-1	5.0E-2
35	4.3E-1	3.3E-4	2.3E-4	1.4E-3	1.1E-1	2.3E-1	5.0E-2
36	4.3E-1	3.3E-4	2.3E-4	1.3E-3	1.1E-1	2.3E-1	5.0E-2
37	4.3E-1	3.2E-4	2.2E-4	1.3E-3	1.0E-1	2.3E-1	5.0E-2
38	4.3E-1	3.2E-4	2.2E-4	1.3E-3	1.0E-1	2.3E-1	5.0E-2
39	4.3E-1	3.1E-4	2.2E-4	1.3E-3	1.0E-1	2.3E-1	5.0E-2
40	4.2E-1	3.1E-4	2.1E-4	1.3E-3	1.0E-1	2.3E-1	5.0E-2
41	4.2E-1	3.0E-4	2.1E-4	1.3E-3	1.0E-1	2.3E-1	5.0E-2
42	4.2E-1	3.0E-4	2.1E-4	1.3E-3	1.0E-1	2.3E-1	5.0E-2
43	4.2E-1	2.9E-4	2.1E-4	1.3E-3	9.9E-2	2.3E-1	5.0E-2
44	4.2E-1	2.9E-4	2.0E-4	1.3E-3	9.8E-2	2.3E-1	5.0E-2
45	4.2E-1	2.9E-4	2.0E-4	1.3E-3	9.7E-2	2.3E-1	5.0E-2
46	4.2E-1	2.8E-4	2.0E-4	1.2E-3	9.6E-2	2.3E-1	5.0E-2
47	4.2E-1	2.8E-4	2.0E-4	1.2E-3	9.5E-2	2.3E-1	5.0E-2
48	4.1E-1	2.8E-4	2.0E-4	1.2E-3	9.5E-2	2.3E-1	5.0E-2
49	4.1E-1	2.7E-4	1.9E-4	1.2E-3	9.4E-2	2.3E-1	5.0E-2
50	4.1E-1	2.7E-4	1.9E-4	1.2E-3	9.3E-2	2.3E-1	5.0E-2
51	4.1E-1	2.7E-4	1.9E-4	1.2E-3	9.2E-2	2.3E-1	5.0E-2
52	4.1E-1	2.6E-4	1.9E-4	1.2E-3	9.1E-2	2.3E-1	5.0E-2
53	4.1E-1	2.6E-4	1.9E-4	1.2E-3	9.1E-2	2.3E-1	5.0E-2
54	4.1E-1	2.6E-4	1.8E-4	1.2E-3	9.0E-2	2.3E-1	5.0E-2
55	4.1E-1	2.5E-4	1.8E-4	1.2E-3	8.9E-2	2.2E-1	5.0E-2
56	4.1E-1	2.5E-4	1.8E-4	1.2E-3	8.8E-2	2.2E-1	5.0E-2
57	4.0E-1	2.5E-4	1.8E-4	1.2E-3	8.8E-2	2.2E-1	5.0E-2
58	4.0E-1	2.5E-4	1.8E-4	1.2E-3	8.7E-2	2.2E-1	5.0E-2
59	4.0E-1	2.4E-4	1.8E-4	1.1E-3	8.6E-2	2.2E-1	4.9E-2
60	4.0E-1	2.4E-4	1.7E-4	1.1E-3	8.5E-2	2.2E-1	4.9E-2
61	4.0E-1	2.4E-4	1.7E-4	1.1E-3	8.5E-2	2.2E-1	4.9E-2
62	4.0E-1	2.4E-4	1.7E-4	1.1E-3	8.4E-2	2.2E-1	4.9E-2
63	4.0E-1	2.3E-4	1.7E-4	1.1E-3	8.3E-2	2.2E-1	4.9E-2
64	4.0E-1	2.3E-4	1.7E-4	1.1E-3	8.2E-2	2.2E-1	4.9E-2
65	4.0E-1	2.3E-4	1.7E-4	1.1E-3	8.2E-2	2.2E-1	4.9E-2
66	3.9E-1	2.3E-4	1.6E-4	1.1E-3	8.1E-2	2.2E-1	4.9E-2
67	3.9E-1	2.2E-4	1.6E-4	1.1E-3	8.0E-2	2.2E-1	4.9E-2
68	3.9E-1	2.2E-4	1.6E-4	1.1E-3	8.0E-2	2.2E-1	4.9E-2
69	3.9E-1	2.2E-4	1.6E-4	1.1E-3	7.9E-2	2.2E-1	4.9E-2
70	3.9E-1	2.2E-4	1.6E-4	1.1E-3	7.8E-2	2.2E-1	4.9E-2
71	3.9E-1	2.2E-4	1.6E-4	1.1E-3	7.8E-2	2.2E-1	4.9E-2
72	3.9E-1	2.1E-4	1.6E-4	1.1E-3	7.7E-2	2.2E-1	4.9E-2
73	3.9E-1	2.1E-4	1.5E-4	1.1E-3	7.6E-2	2.2E-1	4.9E-2
74	3.9E-1	2.1E-4	1.5E-4	1.0E-3	7.6E-2	2.2E-1	4.9E-2
75	3.8E-1	2.1E-4	1.5E-4	1.0E-3	7.5E-2	2.2E-1	4.9E-2
76	3.8E-1	2.1E-4	1.5E-4	1.0E-3	7.4E-2	2.2E-1	4.9E-2
77	3.8E-1	2.1E-4	1.5E-4	1.0E-3	7.4E-2	2.2E-1	4.9E-2
78	3.8E-1	2.0E-4	1.5E-4	1.0E-3	7.3E-2	2.2E-1	4.9E-2
79	3.8E-1	2.0E-4	1.5E-4	1.0E-3	7.2E-2	2.2E-1	4.9E-2
80	3.8E-1	2.0E-4	1.4E-4	1.0E-3	7.2E-2	2.2E-1	4.9E-2
81	3.8E-1	2.0E-4	1.4E-4	1.0E-3	7.1E-2	2.2E-1	4.9E-2
82	3.8E-1	2.0E-4	1.4E-4	9.9E-4	7.1E-2	2.2E-1	4.9E-2
83	3.8E-1	2.0E-4	1.4E-4	9.9E-4	7.0E-2	2.2E-1	4.9E-2
84	3.8E-1	1.9E-4	1.4E-4	9.8E-4	6.9E-2	2.2E-1	4.8E-2
85	3.7E-1	1.9E-4	1.4E-4	9.8E-4	6.9E-2	2.2E-1	4.8E-2
86	3.7E-1	1.9E-4	1.4E-4	9.7E-4	6.8E-2	2.2E-1	4.8E-2
87	3.7E-1	1.9E-4	1.3E-4	9.6E-4	6.8E-2	2.2E-1	4.8E-2
88	3.7E-1	1.9E-4	1.3E-4	9.6E-4	6.7E-2	2.2E-1	4.8E-2
89	3.7E-1	1.9E-4	1.3E-4	9.5E-4	6.7E-2	2.2E-1	4.8E-2
90	3.7E-1	1.9E-4	1.3E-4	9.5E-4	6.6E-2	2.2E-1	4.8E-2
91	3.7E-1	1.8E-4	1.3E-4	9.4E-4	6.5E-2	2.2E-1	4.8E-2
92	3.7E-1	1.8E-4	1.3E-4	9.4E-4	6.5E-2	2.2E-1	4.8E-2
