Radionuclide	Ta-182
Route of Intake	Inhalation
Material	Aerosols Type M, fA=2E-4
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	7.6E-1	-	-	2.7E-1	3.8E-2	1.8E-4	2.4E-4
0.083333	7.5E-1	-	-	3.1E-1	3.4E-2	2.4E-4	3.2E-4
0.125	7.4E-1	-	-	3.3E-1	3.2E-2	2.9E-4	3.8E-4
0.25	7.2E-1	-	-	4.0E-1	2.8E-2	4.0E-4	5.1E-4
0.375	6.9E-1	-	-	4.4E-1	2.6E-2	4.8E-4	6.0E-4
0.5	6.7E-1	-	-	4.7E-1	2.5E-2	5.4E-4	6.6E-4
0.625	6.5E-1	-	-	4.9E-1	2.5E-2	6.0E-4	7.1E-4
0.75	6.3E-1	-	-	4.9E-1	2.4E-2	6.4E-4	7.5E-4
0.875	6.0E-1	-	-	4.9E-1	2.4E-2	6.8E-4	7.9E-4
1	5.7E-1	1.5E-3	8.2E-2	4.8E-1	2.4E-2	7.2E-4	8.1E-4
1.125	5.3E-1	-	-	4.6E-1	2.3E-2	7.5E-4	8.4E-4
1.25	5.0E-1	-	-	4.3E-1	2.3E-2	7.8E-4	8.6E-4
1.375	4.6E-1	-	-	4.0E-1	2.3E-2	8.0E-4	8.8E-4
1.5	4.3E-1	-	-	3.7E-1	2.3E-2	8.3E-4	8.9E-4
1.625	3.9E-1	-	-	3.4E-1	2.3E-2	8.5E-4	9.1E-4
1.75	3.5E-1	-	-	3.1E-1	2.3E-2	8.7E-4	9.2E-4
1.875	3.2E-1	-	-	2.8E-1	2.2E-2	9.0E-4	9.3E-4
2	2.9E-1	9.6E-4	2.6E-1	2.5E-1	2.2E-2	9.2E-4	9.5E-4
2.25	2.3E-1	-	-	2.0E-1	2.2E-2	9.6E-4	9.7E-4
2.5	1.9E-1	-	-	1.5E-1	2.2E-2	9.9E-4	9.8E-4
2.75	1.5E-1	-	-	1.2E-1	2.2E-2	1.0E-3	1.0E-3
3	1.2E-1	7.3E-4	1.7E-1	8.8E-2	2.1E-2	1.1E-3	1.0E-3
3.25	9.3E-2	-	-	6.5E-2	2.1E-2	1.1E-3	1.0E-3
3.5	7.5E-2	-	-	4.7E-2	2.1E-2	1.1E-3	1.0E-3
3.75	6.2E-2	-	-	3.4E-2	2.1E-2	1.1E-3	1.0E-3
4	5.2E-2	5.9E-4	6.3E-2	2.5E-2	2.1E-2	1.2E-3	1.1E-3
4.25	4.4E-2	-	-	1.8E-2	2.0E-2	1.2E-3	1.1E-3
4.5	3.9E-2	-	-	1.3E-2	2.0E-2	1.2E-3	1.1E-3
4.75	3.5E-2	-	-	9.2E-3	2.0E-2	1.2E-3	1.1E-3
5	3.2E-2	4.7E-4	1.9E-2	6.7E-3	2.0E-2	1.3E-3	1.1E-3
5.5	2.9E-2	-	-	3.6E-3	2.0E-2	1.3E-3	1.1E-3
6	2.7E-2	3.8E-4	4.9E-3	2.1E-3	1.9E-2	1.3E-3	1.1E-3
6.5	2.6E-2	-	-	1.4E-3	1.9E-2	1.4E-3	1.1E-3
7	2.5E-2	3.1E-4	1.4E-3	9.9E-4	1.9E-2	1.4E-3	1.1E-3
7.5	2.5E-2	-	-	7.9E-4	1.9E-2	1.4E-3	1.1E-3
8	2.4E-2	2.6E-4	5.8E-4	6.7E-4	1.8E-2	1.4E-3	1.1E-3
8.5	2.4E-2	-	-	5.9E-4	1.8E-2	1.5E-3	1.1E-3
9	2.3E-2	2.2E-4	3.6E-4	5.4E-4	1.8E-2	1.5E-3	1.1E-3
9.5	2.3E-2	-	-	4.9E-4	1.8E-2	1.5E-3	1.1E-3
10	2.3E-2	1.8E-4	2.7E-4	4.5E-4	1.8E-2	1.5E-3	1.1E-3
11	2.2E-2	1.6E-4	2.2E-4	3.8E-4	1.7E-2	1.5E-3	1.1E-3
12	2.2E-2	1.3E-4	1.9E-4	3.2E-4	1.7E-2	1.6E-3	1.1E-3
13	2.1E-2	1.2E-4	1.6E-4	2.8E-4	1.7E-2	1.6E-3	1.1E-3
14	2.1E-2	1.0E-4	1.4E-4	2.4E-4	1.6E-2	1.6E-3	1.1E-3
15	2.1E-2	9.3E-5	1.2E-4	2.2E-4	1.6E-2	1.6E-3	1.1E-3
16	2.0E-2	8.4E-5	1.0E-4	1.9E-4	1.6E-2	1.6E-3	1.1E-3
17	2.0E-2	7.7E-5	8.9E-5	1.7E-4	1.6E-2	1.6E-3	1.1E-3
18	2.0E-2	7.2E-5	7.9E-5	1.6E-4	1.5E-2	1.6E-3	1.1E-3
19	2.0E-2	6.7E-5	7.0E-5	1.4E-4	1.5E-2	1.6E-3	1.1E-3
20	1.9E-2	6.4E-5	6.4E-5	1.3E-4	1.5E-2	1.6E-3	1.1E-3
21	1.9E-2	6.0E-5	5.8E-5	1.2E-4	1.5E-2	1.7E-3	1.1E-3
22	1.9E-2	5.8E-5	5.3E-5	1.2E-4	1.4E-2	1.7E-3	1.1E-3
23	1.9E-2	5.6E-5	4.9E-5	1.1E-4	1.4E-2	1.7E-3	1.1E-3
24	1.8E-2	5.4E-5	4.6E-5	1.1E-4	1.4E-2	1.7E-3	1.1E-3
25	1.8E-2	5.2E-5	4.4E-5	1.0E-4	1.4E-2	1.7E-3	1.1E-3
26	1.8E-2	5.1E-5	4.1E-5	9.7E-5	1.4E-2	1.7E-3	1.1E-3
27	1.8E-2	5.0E-5	3.9E-5	9.4E-5	1.4E-2	1.7E-3	1.0E-3
28	1.8E-2	4.9E-5	3.8E-5	9.1E-5	1.3E-2	1.7E-3	1.0E-3
29	1.7E-2	4.8E-5	3.6E-5	8.9E-5	1.3E-2	1.7E-3	1.0E-3
30	1.7E-2	4.7E-5	3.5E-5	8.7E-5	1.3E-2	1.7E-3	1.0E-3
31	1.7E-2	4.6E-5	3.4E-5	8.5E-5	1.3E-2	1.7E-3	1.0E-3
32	1.7E-2	4.6E-5	3.3E-5	8.3E-5	1.3E-2	1.7E-3	1.0E-3
33	1.7E-2	4.5E-5	3.2E-5	8.1E-5	1.3E-2	1.7E-3	1.0E-3
34	1.7E-2	4.4E-5	3.2E-5	8.0E-5	1.2E-2	1.7E-3	1.0E-3
35	1.6E-2	4.4E-5	3.1E-5	7.9E-5	1.2E-2	1.7E-3	1.0E-3
36	1.6E-2	4.3E-5	3.0E-5	7.8E-5	1.2E-2	1.7E-3	1.0E-3
37	1.6E-2	4.3E-5	3.0E-5	7.6E-5	1.2E-2	1.7E-3	1.0E-3
38	1.6E-2	4.2E-5	2.9E-5	7.5E-5	1.2E-2	1.7E-3	1.0E-3
39	1.6E-2	4.2E-5	2.9E-5	7.4E-5	1.2E-2	1.7E-3	1.0E-3
40	1.5E-2	4.1E-5	2.8E-5	7.3E-5	1.1E-2	1.7E-3	1.0E-3
41	1.5E-2	4.1E-5	2.8E-5	7.2E-5	1.1E-2	1.7E-3	1.0E-3
42	1.5E-2	4.0E-5	2.7E-5	7.1E-5	1.1E-2	1.7E-3	1.0E-3
43	1.5E-2	4.0E-5	2.7E-5	7.0E-5	1.1E-2	1.7E-3	1.0E-3
44	1.5E-2	3.9E-5	2.7E-5	6.9E-5	1.1E-2	1.7E-3	9.9E-4
45	1.5E-2	3.9E-5	2.6E-5	6.9E-5	1.1E-2	1.7E-3	9.9E-4
46	1.5E-2	3.8E-5	2.6E-5	6.8E-5	1.1E-2	1.7E-3	9.8E-4
47	1.4E-2	3.8E-5	2.6E-5	6.7E-5	1.0E-2	1.7E-3	9.8E-4
48	1.4E-2	3.7E-5	2.5E-5	6.6E-5	1.0E-2	1.7E-3	9.8E-4
49	1.4E-2	3.7E-5	2.5E-5	6.5E-5	1.0E-2	1.7E-3	9.7E-4
50	1.4E-2	3.7E-5	2.4E-5	6.4E-5	1.0E-2	1.7E-3	9.7E-4
51	1.4E-2	3.6E-5	2.4E-5	6.4E-5	9.9E-3	1.7E-3	9.6E-4
52	1.4E-2	3.6E-5	2.4E-5	6.3E-5	9.8E-3	1.7E-3	9.6E-4
53	1.4E-2	3.5E-5	2.3E-5	6.2E-5	9.6E-3	1.7E-3	9.6E-4
54	1.3E-2	3.5E-5	2.3E-5	6.1E-5	9.5E-3	1.7E-3	9.5E-4
55	1.3E-2	3.4E-5	2.3E-5	6.1E-5	9.4E-3	1.7E-3	9.5E-4
56	1.3E-2	3.4E-5	2.3E-5	6.0E-5	9.3E-3	1.7E-3	9.4E-4
57	1.3E-2	3.4E-5	2.2E-5	5.9E-5	9.2E-3	1.7E-3	9.4E-4
58	1.3E-2	3.3E-5	2.2E-5	5.8E-5	9.0E-3	1.7E-3	9.4E-4
59	1.3E-2	3.3E-5	2.2E-5	5.8E-5	8.9E-3	1.7E-3	9.3E-4
60	1.3E-2	3.3E-5	2.1E-5	5.7E-5	8.8E-3	1.7E-3	9.3E-4
61	1.2E-2	3.2E-5	2.1E-5	5.6E-5	8.7E-3	1.7E-3	9.2E-4
62	1.2E-2	3.2E-5	2.1E-5	5.6E-5	8.6E-3	1.7E-3	9.2E-4
63	1.2E-2	3.1E-5	2.1E-5	5.5E-5	8.5E-3	1.7E-3	9.1E-4
64	1.2E-2	3.1E-5	2.0E-5	5.4E-5	8.4E-3	1.7E-3	9.1E-4
65	1.2E-2	3.1E-5	2.0E-5	5.4E-5	8.3E-3	1.7E-3	9.1E-4
66	1.2E-2	3.0E-5	2.0E-5	5.3E-5	8.1E-3	1.7E-3	9.0E-4
67	1.2E-2	3.0E-5	1.9E-5	5.2E-5	8.0E-3	1.7E-3	9.0E-4
68	1.2E-2	3.0E-5	1.9E-5	5.2E-5	7.9E-3	1.7E-3	8.9E-4
69	1.1E-2	2.9E-5	1.9E-5	5.1E-5	7.8E-3	1.7E-3	8.9E-4
70	1.1E-2	2.9E-5	1.9E-5	5.1E-5	7.7E-3	1.7E-3	8.8E-4
71	1.1E-2	2.9E-5	1.8E-5	5.0E-5	7.6E-3	1.7E-3	8.8E-4
72	1.1E-2	2.8E-5	1.8E-5	4.9E-5	7.5E-3	1.6E-3	8.7E-4
73	1.1E-2	2.8E-5	1.8E-5	4.9E-5	7.4E-3	1.6E-3	8.7E-4
74	1.1E-2	2.8E-5	1.8E-5	4.8E-5	7.3E-3	1.6E-3	8.7E-4
75	1.1E-2	2.7E-5	1.7E-5	4.8E-5	7.3E-3	1.6E-3	8.6E-4
76	1.1E-2	2.7E-5	1.7E-5	4.7E-5	7.2E-3	1.6E-3	8.6E-4
77	1.1E-2	2.7E-5	1.7E-5	4.6E-5	7.1E-3	1.6E-3	8.5E-4
78	1.0E-2	2.6E-5	1.7E-5	4.6E-5	7.0E-3	1.6E-3	8.5E-4
79	1.0E-2	2.6E-5	1.7E-5	4.5E-5	6.9E-3	1.6E-3	8.4E-4
80	1.0E-2	2.6E-5	1.6E-5	4.5E-5	6.8E-3	1.6E-3	8.4E-4
81	1.0E-2	2.6E-5	1.6E-5	4.4E-5	6.7E-3	1.6E-3	8.3E-4
82	1.0E-2	2.5E-5	1.6E-5	4.4E-5	6.6E-3	1.6E-3	8.3E-4
83	9.9E-3	2.5E-5	1.6E-5	4.3E-5	6.5E-3	1.6E-3	8.3E-4
84	9.8E-3	2.5E-5	1.5E-5	4.3E-5	6.5E-3	1.6E-3	8.2E-4
85	9.7E-3	2.4E-5	1.5E-5	4.2E-5	6.4E-3	1.6E-3	8.2E-4
86	9.6E-3	2.4E-5	1.5E-5	4.2E-5	6.3E-3	1.6E-3	8.1E-4
87	9.6E-3	2.4E-5	1.5E-5	4.1E-5	6.2E-3	1.6E-3	8.1E-4
88	9.5E-3	2.4E-5	1.5E-5	4.1E-5	6.1E-3	1.6E-3	8.0E-4
