Radionuclide	W-188
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.5
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
49	4.9E-3	1.9E-5	1.3E-6	1.3E-5	5.2E-6	2.5E-3	7.6E-4
50	4.8E-3	1.8E-5	1.2E-6	1.3E-5	5.0E-6	2.5E-3	7.6E-4
51	4.8E-3	1.7E-5	1.1E-6	1.2E-5	4.9E-6	2.5E-3	7.5E-4
52	4.7E-3	1.6E-5	1.1E-6	1.2E-5	4.7E-6	2.4E-3	7.4E-4
53	4.6E-3	1.6E-5	1.0E-6	1.1E-5	4.6E-6	2.4E-3	7.3E-4
54	4.6E-3	1.5E-5	9.9E-7	1.1E-5	4.4E-6	2.4E-3	7.2E-4
55	4.5E-3	1.4E-5	9.4E-7	1.1E-5	4.3E-6	2.3E-3	7.1E-4
56	4.4E-3	1.4E-5	9.0E-7	1.0E-5	4.2E-6	2.3E-3	7.0E-4
57	4.4E-3	1.3E-5	8.6E-7	1.0E-5	4.1E-6	2.3E-3	7.0E-4
58	4.3E-3	1.2E-5	8.2E-7	9.9E-6	4.0E-6	2.3E-3	6.9E-4
59	4.3E-3	1.2E-5	7.8E-7	9.6E-6	3.9E-6	2.2E-3	6.8E-4
60	4.2E-3	1.1E-5	7.5E-7	9.4E-6	3.8E-6	2.2E-3	6.7E-4
61	4.2E-3	1.1E-5	7.2E-7	9.1E-6	3.7E-6	2.2E-3	6.6E-4
62	4.1E-3	1.1E-5	6.9E-7	8.9E-6	3.6E-6	2.2E-3	6.6E-4
63	4.1E-3	1.0E-5	6.6E-7	8.7E-6	3.5E-6	2.1E-3	6.5E-4
64	4.0E-3	9.8E-6	6.4E-7	8.5E-6	3.5E-6	2.1E-3	6.4E-4
65	4.0E-3	9.4E-6	6.2E-7	8.3E-6	3.4E-6	2.1E-3	6.3E-4
66	3.9E-3	9.1E-6	5.9E-7	8.1E-6	3.3E-6	2.1E-3	6.3E-4
67	3.9E-3	8.8E-6	5.7E-7	8.0E-6	3.2E-6	2.0E-3	6.2E-4
68	3.8E-3	8.5E-6	5.5E-7	7.8E-6	3.2E-6	2.0E-3	6.1E-4
69	3.8E-3	8.2E-6	5.3E-7	7.6E-6	3.1E-6	2.0E-3	6.0E-4
70	3.7E-3	8.0E-6	5.2E-7	7.5E-6	3.1E-6	2.0E-3	6.0E-4
71	3.7E-3	7.7E-6	5.0E-7	7.3E-6	3.0E-6	1.9E-3	5.9E-4
72	3.6E-3	7.5E-6	4.8E-7	7.2E-6	2.9E-6	1.9E-3	5.8E-4
73	3.6E-3	7.3E-6	4.7E-7	7.1E-6	2.9E-6	1.9E-3	5.8E-4
74	3.5E-3	7.1E-6	4.6E-7	6.9E-6	2.8E-6	1.9E-3	5.7E-4
75	3.5E-3	6.9E-6	4.4E-7	6.8E-6	2.8E-6	1.9E-3	5.6E-4
76	3.5E-3	6.7E-6	4.3E-7	6.7E-6	2.7E-6	1.8E-3	5.6E-4
77	3.4E-3	6.5E-6	4.2E-7	6.6E-6	2.7E-6	1.8E-3	5.5E-4
78	3.4E-3	6.3E-6	4.1E-7	6.5E-6	2.7E-6	1.8E-3	5.4E-4
79	3.3E-3	6.2E-6	4.0E-7	6.3E-6	2.6E-6	1.8E-3	5.4E-4
80	3.3E-3	6.0E-6	3.9E-7	6.2E-6	2.6E-6	1.8E-3	5.3E-4
81	3.3E-3	5.9E-6	3.8E-7	6.1E-6	2.5E-6	1.7E-3	5.2E-4
82	3.2E-3	5.7E-6	3.7E-7	6.0E-6	2.5E-6	1.7E-3	5.2E-4
83	3.2E-3	5.6E-6	3.6E-7	6.0E-6	2.5E-6	1.7E-3	5.1E-4
84	3.1E-3	5.5E-6	3.5E-7	5.9E-6	2.4E-6	1.7E-3	5.1E-4
85	3.1E-3	5.3E-6	3.4E-7	5.8E-6	2.4E-6	1.7E-3	5.0E-4
86	3.1E-3	5.2E-6	3.3E-7	5.7E-6	2.3E-6	1.6E-3	4.9E-4
87	3.0E-3	5.1E-6	3.3E-7	5.6E-6	2.3E-6	1.6E-3	4.9E-4
88	3.0E-3	5.0E-6	3.2E-7	5.5E-6	2.3E-6	1.6E-3	4.8E-4
89	3.0E-3	4.9E-6	3.1E-7	5.4E-6	2.2E-6	1.6E-3	4.8E-4
90	2.9E-3	4.8E-6	3.1E-7	5.4E-6	2.2E-6	1.6E-3	4.7E-4
91	2.9E-3	4.7E-6	3.0E-7	5.3E-6	2.2E-6	1.5E-3	4.7E-4
92	2.9E-3	4.6E-6	2.9E-7	5.2E-6	2.2E-6	1.5E-3	4.6E-4
93	2.8E-3	4.5E-6	2.9E-7	5.1E-6	2.1E-6	1.5E-3	4.5E-4
94	2.8E-3	4.5E-6	2.8E-7	5.1E-6	2.1E-6	1.5E-3	4.5E-4
95	2.8E-3	4.4E-6	2.8E-7	5.0E-6	2.1E-6	1.5E-3	4.4E-4
96	2.7E-3	4.3E-6	2.7E-7	4.9E-6	2.0E-6	1.5E-3	4.4E-4
97	2.7E-3	4.2E-6	2.7E-7	4.9E-6	2.0E-6	1.4E-3	4.3E-4
98	2.7E-3	4.1E-6	2.6E-7	4.8E-6	2.0E-6	1.4E-3	4.3E-4
99	2.6E-3	4.1E-6	2.6E-7	4.7E-6	2.0E-6	1.4E-3	4.2E-4
100	2.6E-3	4.0E-6	2.5E-7	4.7E-6	1.9E-6	1.4E-3	4.2E-4
110	2.3E-3	3.4E-6	2.1E-7	4.1E-6	1.7E-6	1.2E-3	3.7E-4
120	2.1E-3	2.9E-6	1.8E-7	3.6E-6	1.5E-6	1.1E-3	3.3E-4
130	1.8E-3	2.5E-6	1.6E-7	3.2E-6	1.3E-6	9.9E-4	2.9E-4
140	1.6E-3	2.2E-6	1.4E-7	2.8E-6	1.2E-6	8.8E-4	2.6E-4
150	1.5E-3	1.9E-6	1.2E-7	2.5E-6	1.1E-6	7.9E-4	2.3E-4
160	1.3E-3	1.7E-6	1.1E-7	2.2E-6	9.4E-7	7.1E-4	2.1E-4
170	1.2E-3	1.5E-6	9.2E-8	2.0E-6	8.3E-7	6.3E-4	1.8E-4
180	1.0E-3	1.3E-6	8.1E-8	1.8E-6	7.4E-7	5.7E-4	1.6E-4
190	9.2E-4	1.1E-6	7.1E-8	1.6E-6	6.6E-7	5.1E-4	1.4E-4
200	8.2E-4	9.8E-7	6.2E-8	1.4E-6	5.8E-7	4.5E-4	1.3E-4
210	7.3E-4	8.6E-7	5.4E-8	1.2E-6	5.2E-7	4.1E-4	1.1E-4
220	6.6E-4	7.6E-7	4.8E-8	1.1E-6	4.6E-7	3.6E-4	1.0E-4
230	5.9E-4	6.6E-7	4.2E-8	9.7E-7	4.1E-7	3.3E-4	9.0E-5
240	5.2E-4	5.8E-7	3.7E-8	8.6E-7	3.6E-7	2.9E-4	8.0E-5
250	4.7E-4	5.1E-7	3.2E-8	7.7E-7	3.2E-7	2.6E-4	7.1E-5
260	4.2E-4	4.5E-7	2.8E-8	6.8E-7	2.9E-7	2.4E-4	6.3E-5
270	3.7E-4	3.9E-7	2.5E-8	6.0E-7	2.5E-7	2.1E-4	5.6E-5
280	3.3E-4	3.5E-7	2.2E-8	5.4E-7	2.3E-7	1.9E-4	5.0E-5
290	3.0E-4	3.1E-7	1.9E-8	4.8E-7	2.0E-7	1.7E-4	4.5E-5
300	2.7E-4	2.7E-7	1.7E-8	4.2E-7	1.8E-7	1.5E-4	4.0E-5
310	2.4E-4	2.4E-7	1.5E-8	3.8E-7	1.6E-7	1.4E-4	3.5E-5
320	2.1E-4	2.1E-7	1.3E-8	3.3E-7	1.4E-7	1.2E-4	3.1E-5
330	1.9E-4	1.8E-7	1.2E-8	3.0E-7	1.3E-7	1.1E-4	2.8E-5
340	1.7E-4	1.6E-7	1.0E-8	2.6E-7	1.1E-7	1.0E-4	2.5E-5
350	1.5E-4	1.4E-7	9.1E-9	2.3E-7	9.9E-8	9.1E-5	2.2E-5
360	1.4E-4	1.3E-7	8.0E-9	2.1E-7	8.8E-8	8.1E-5	1.9E-5
365	1.3E-4	1.2E-7	7.5E-9	2.0E-7	8.3E-8	7.7E-5	1.8E-5
370	1.2E-4	1.1E-7	7.1E-9	1.8E-7	7.8E-8	7.3E-5	1.7E-5
380	1.1E-4	9.9E-8	6.2E-9	1.6E-7	6.9E-8	6.6E-5	1.5E-5
390	9.9E-5	8.7E-8	5.5E-9	1.5E-7	6.2E-8	5.9E-5	1.4E-5
400	8.8E-5	7.7E-8	4.9E-9	1.3E-7	5.5E-8	5.4E-5	1.2E-5
410	7.9E-5	6.8E-8	4.3E-9	1.2E-7	4.9E-8	4.8E-5	1.1E-5
420	7.1E-5	6.1E-8	3.8E-9	1.0E-7	4.3E-8	4.3E-5	9.6E-6
430	6.4E-5	5.4E-8	3.4E-9	9.1E-8	3.8E-8	3.9E-5	8.5E-6
440	5.7E-5	4.7E-8	3.0E-9	8.1E-8	3.4E-8	3.5E-5	7.6E-6
450	5.1E-5	4.2E-8	2.6E-9	7.2E-8	3.0E-8	3.2E-5	6.7E-6
460	4.6E-5	3.7E-8	2.3E-9	6.4E-8	2.7E-8	2.9E-5	6.0E-6
470	4.1E-5	3.3E-8	2.1E-9	5.7E-8	2.4E-8	2.6E-5	5.3E-6
480	3.7E-5	2.9E-8	1.8E-9	5.0E-8	2.1E-8	2.3E-5	4.7E-6
490	3.3E-5	2.6E-8	1.6E-9	4.5E-8	1.9E-8	2.1E-5	4.2E-6
500	3.0E-5	2.3E-8	1.4E-9	4.0E-8	1.7E-8	1.9E-5	3.7E-6
510	2.7E-5	2.0E-8	1.3E-9	3.5E-8	1.5E-8	1.7E-5	3.3E-6
520	2.4E-5	1.8E-8	1.1E-9	3.1E-8	1.3E-8	1.5E-5	2.9E-6
530	2.1E-5	1.6E-8	1.0E-9	2.8E-8	1.2E-8	1.4E-5	2.6E-6
540	1.9E-5	1.4E-8	9.0E-10	2.5E-8	1.0E-8	1.3E-5	2.3E-6
550	1.7E-5	1.3E-8	8.0E-10	2.2E-8	9.3E-9	1.1E-5	2.1E-6
560	1.5E-5	1.1E-8	7.1E-10	2.0E-8	8.3E-9	1.0E-5	1.8E-6
570	1.4E-5	1.0E-8	6.3E-10	1.7E-8	7.3E-9	9.2E-6	1.6E-6
580	1.2E-5	8.9E-9	5.6E-10	1.5E-8	6.5E-9	8.3E-6	1.5E-6
590	1.1E-5	7.9E-9	5.0E-10	1.4E-8	5.8E-9	7.5E-6	1.3E-6
600	1.0E-5	7.0E-9	4.4E-10	1.2E-8	5.2E-9	6.7E-6	1.1E-6
610	9.0E-6	6.2E-9	3.9E-10	1.1E-8	4.6E-9	6.1E-6	1.0E-6
620	8.1E-6	5.6E-9	3.5E-10	9.6E-9	4.1E-9	5.5E-6	9.1E-7
630	7.3E-6	4.9E-9	3.1E-10	8.6E-9	3.6E-9	5.0E-6	8.1E-7
640	6.5E-6	4.4E-9	2.8E-10	7.6E-9	3.2E-9	4.5E-6	7.2E-7
650	5.9E-6	3.9E-9	2.5E-10	6.8E-9	2.9E-9	4.0E-6	6.4E-7
660	5.3E-6	3.5E-9	2.2E-10	6.0E-9	2.5E-9	3.6E-6	5.7E-7
670	4.7E-6	3.1E-9	2.0E-10	5.3E-9	2.3E-9	3.3E-6	5.0E-7
680	4.2E-6	2.8E-9	1.7E-10	4.7E-9	2.0E-9	3.0E-6	4.5E-7
690	3.8E-6	2.5E-9	1.5E-10	4.2E-9	1.8E-9	2.7E-6	4.0E-7
700	3.4E-6	2.2E-9	1.4E-10	3.7E-9	1.6E-9	2.4E-6	3.5E-7
710	3.1E-6	2.0E-9	1.2E-10	3.3E-9	1.4E-9	2.2E-6	3.1E-7
720	2.8E-6	1.7E-9	1.1E-10	3.0E-9	1.3E-9	2.0E-6	2.8E-7
730	2.5E-6	1.5E-9	-	2.6E-9	1.1E-9	1.8E-6	2.5E-7
740	2.2E-6	1.4E-9	-	2.3E-9	9.9E-10	1.6E-6	2.2E-7
750	2.0E-6	1.2E-9	-	2.1E-9	8.8E-10	1.4E-6	2.0E-7
760	1.8E-6	1.1E-9	-	1.8E-9	7.8E-10	1.3E-6	1.7E-7
770	1.6E-6	9.8E-10	-	1.6E-9	6.9E-10	1.2E-6	1.5E-7
780	1.5E-6	8.7E-10	-	1.5E-9	6.2E-10	1.1E-6	1.4E-7
790	1.3E-6	7.8E-10	-	1.3E-9	5.5E-10	9.6E-7	1.2E-7
800	1.2E-6	6.9E-10	-	1.2E-9	4.9E-10	8.7E-7	1.1E-7
810	1.1E-6	6.2E-10	-	1.0E-9	4.3E-10	7.8E-7	9.6E-8
820	9.5E-7	5.5E-10	-	9.1E-10	3.8E-10	7.1E-7	8.6E-8
830	8.6E-7	4.9E-10	-	8.1E-10	3.4E-10	6.4E-7	7.6E-8
840	7.7E-7	4.4E-10	-	7.2E-10	3.0E-10	5.8E-7	6.8E-8
850	6.9E-7	3.9E-10	-	6.4E-10	2.7E-10	5.2E-7	6.0E-8
860	6.2E-7	3.5E-10	-	5.7E-10	2.4E-10	4.7E-7	5.3E-8
870	5.6E-7	3.1E-10	-	5.1E-10	2.1E-10	4.2E-7	4.7E-8
880	5.0E-7	2.8E-10	-	4.5E-10	1.9E-10	3.8E-7	4.2E-8
890	4.5E-7	2.5E-10	-	4.0E-10	1.7E-10	3.5E-7	3.7E-8
900	4.1E-7	2.2E-10	-	3.6E-10	1.5E-10	3.1E-7	3.3E-8
910	3.7E-7	2.0E-10	-	3.2E-10	1.3E-10	2.8E-7	3.0E-8
920	3.3E-7	1.8E-10	-	2.8E-10	1.2E-10	2.5E-7	2.6E-8
930	3.0E-7	1.6E-10	-	2.5E-10	1.1E-10	2.3E-7	2.3E-8
940	2.7E-7	1.4E-10	-	2.2E-10	-	2.1E-7	2.1E-8
950	2.4E-7	1.3E-10	-	2.0E-10	-	1.9E-7	1.8E-8
960	2.2E-7	1.1E-10	-	1.8E-10	-	1.7E-7	1.6E-8
970	1.9E-7	1.0E-10	-	1.6E-10	-	1.5E-7	1.5E-8
980	1.7E-7	-	-	1.4E-10	-	1.4E-7	1.3E-8
990	1.6E-7	-	-	1.2E-10	-	1.2E-7	1.2E-8
1000	1.4E-7	-	-	1.1E-10	-	1.1E-7	1.0E-8
1010	1.3E-7	-	-	-	-	1.0E-7	9.1E-9
1020	1.1E-7	-	-	-	-	9.2E-8	8.1E-9
1030	1.0E-7	-	-	-	-	8.3E-8	7.2E-9
1040	9.3E-8	-	-	-	-	7.5E-8	6.4E-9
1050	8.4E-8	-	-	-	-	6.7E-8	5.7E-9
1060	7.5E-8	-	-	-	-	6.1E-8	5.0E-9
1070	6.8E-8	-	-	-	-	5.5E-8	4.5E-9
1080	6.1E-8	-	-	-	-	5.0E-8	4.0E-9
1090	5.5E-8	-	-	-	-	4.5E-8	3.5E-9
1095	5.2E-8	-	-	-	-	4.3E-8	3.3E-9
1100	4.9E-8	-	-	-	-	4.0E-8	3.1E-9
1200	1.7E-8	-	-	-	-	1.5E-8	9.7E-10
1300	6.1E-9	-	-	-	-	5.3E-9	3.0E-10
1400	2.2E-9	-	-	-	-	1.9E-9	-
1500	7.7E-10	-	-	-	-	6.9E-10	-
1600	2.7E-10	-	-	-	-	2.5E-10	-
