Radionuclide	Yb-175
Route of Intake	Inhalation
Material	Aerosols Type S, Irradiated fuel fragments, fA=5E-6
AMTD/AMAD, µm	0.1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
3.5	1.4E-1	-	-	8.2E-3	1.3E-1	7.0E-4	6.3E-5
3.75	1.3E-1	-	-	7.0E-3	1.2E-1	6.8E-4	6.2E-5
4	1.2E-1	1.8E-5	6.4E-3	6.0E-3	1.2E-1	6.6E-4	6.0E-5
4.25	1.2E-1	-	-	5.3E-3	1.1E-1	6.4E-4	5.8E-5
4.5	1.1E-1	-	-	4.6E-3	1.1E-1	6.2E-4	5.6E-5
4.75	1.1E-1	-	-	4.1E-3	1.0E-1	6.0E-4	5.4E-5
5	1.0E-1	8.7E-6	3.2E-3	3.7E-3	9.7E-2	5.8E-4	5.2E-5
5.5	9.2E-2	-	-	3.0E-3	8.9E-2	5.4E-4	4.9E-5
6	8.4E-2	4.7E-6	1.9E-3	2.5E-3	8.1E-2	5.0E-4	4.5E-5
6.5	7.7E-2	-	-	2.1E-3	7.4E-2	4.7E-4	4.2E-5
7	7.0E-2	3.0E-6	1.3E-3	1.8E-3	6.8E-2	4.3E-4	3.9E-5
7.5	6.4E-2	-	-	1.5E-3	6.2E-2	4.0E-4	3.6E-5
8	5.8E-2	2.2E-6	8.9E-4	1.2E-3	5.7E-2	3.7E-4	3.3E-5
8.5	5.3E-2	-	-	1.1E-3	5.2E-2	3.4E-4	3.1E-5
9	4.9E-2	1.7E-6	6.3E-4	8.9E-4	4.8E-2	3.2E-4	2.8E-5
9.5	4.5E-2	-	-	7.6E-4	4.4E-2	2.9E-4	2.6E-5
10	4.1E-2	1.3E-6	4.5E-4	6.4E-4	4.0E-2	2.7E-4	2.4E-5
11	3.4E-2	1.1E-6	3.2E-4	4.7E-4	3.4E-2	2.3E-4	2.1E-5
12	2.9E-2	8.9E-7	2.3E-4	3.4E-4	2.8E-2	2.0E-4	1.8E-5
13	2.4E-2	7.4E-7	1.7E-4	2.5E-4	2.4E-2	1.7E-4	1.5E-5
14	2.1E-2	6.1E-7	1.3E-4	1.9E-4	2.0E-2	1.5E-4	1.3E-5
15	1.7E-2	5.1E-7	9.3E-5	1.4E-4	1.7E-2	1.2E-4	1.1E-5
16	1.5E-2	4.2E-7	7.0E-5	1.1E-4	1.4E-2	1.1E-4	9.3E-6
17	1.2E-2	3.5E-7	5.3E-5	8.1E-5	1.2E-2	9.1E-5	8.0E-6
18	1.0E-2	3.0E-7	4.0E-5	6.2E-5	1.0E-2	7.8E-5	6.8E-6
19	8.8E-3	2.5E-7	3.1E-5	4.8E-5	8.6E-3	6.6E-5	5.8E-6
20	7.4E-3	2.1E-7	2.4E-5	3.8E-5	7.3E-3	5.7E-5	4.9E-6
21	6.3E-3	1.7E-7	1.9E-5	3.0E-5	6.2E-3	4.9E-5	4.2E-6
22	5.3E-3	1.5E-7	1.5E-5	2.4E-5	5.2E-3	4.1E-5	3.6E-6
23	4.5E-3	1.2E-7	1.2E-5	1.9E-5	4.4E-3	3.5E-5	3.1E-6
24	3.8E-3	1.0E-7	9.5E-6	1.6E-5	3.7E-3	3.0E-5	2.6E-6
25	3.2E-3	8.6E-8	7.7E-6	1.3E-5	3.1E-3	2.6E-5	2.2E-6
26	2.7E-3	7.2E-8	6.3E-6	1.1E-5	2.7E-3	2.2E-5	1.9E-6
27	2.3E-3	6.1E-8	5.2E-6	8.7E-6	2.2E-3	1.9E-5	1.6E-6
28	1.9E-3	5.1E-8	4.2E-6	7.2E-6	1.9E-3	1.6E-5	1.4E-6
29	1.6E-3	4.3E-8	3.5E-6	6.0E-6	1.6E-3	1.4E-5	1.2E-6
30	1.4E-3	3.6E-8	2.9E-6	5.0E-6	1.4E-3	1.2E-5	1.0E-6
31	1.2E-3	3.1E-8	2.4E-6	4.1E-6	1.1E-3	1.0E-5	8.6E-7
32	9.9E-4	2.6E-8	2.0E-6	3.5E-6	9.7E-4	8.6E-6	7.3E-7
33	8.3E-4	2.2E-8	1.7E-6	2.9E-6	8.2E-4	7.3E-6	6.2E-7
34	7.0E-4	1.8E-8	1.4E-6	2.4E-6	6.9E-4	6.2E-6	5.3E-7
35	6.0E-4	1.5E-8	1.2E-6	2.0E-6	5.9E-4	5.3E-6	4.5E-7
36	5.0E-4	1.3E-8	9.9E-7	1.7E-6	5.0E-4	4.5E-6	3.8E-7
37	4.3E-4	1.1E-8	8.4E-7	1.4E-6	4.2E-4	3.9E-6	3.3E-7
38	3.6E-4	9.3E-9	7.0E-7	1.2E-6	3.5E-4	3.3E-6	2.8E-7
39	3.0E-4	7.9E-9	5.9E-7	1.0E-6	3.0E-4	2.8E-6	2.4E-7
40	2.6E-4	6.6E-9	5.0E-7	8.6E-7	2.5E-4	2.4E-6	2.0E-7
41	2.2E-4	5.6E-9	4.2E-7	7.3E-7	2.1E-4	2.1E-6	1.7E-7
42	1.8E-4	4.7E-9	3.5E-7	6.1E-7	1.8E-4	1.8E-6	1.5E-7
43	1.6E-4	4.0E-9	3.0E-7	5.2E-7	1.5E-4	1.5E-6	1.3E-7
44	1.3E-4	3.4E-9	2.5E-7	4.4E-7	1.3E-4	1.3E-6	1.1E-7
45	1.1E-4	2.9E-9	2.1E-7	3.7E-7	1.1E-4	1.1E-6	9.1E-8
46	9.4E-5	2.4E-9	1.8E-7	3.1E-7	9.3E-5	9.3E-7	7.7E-8
47	8.0E-5	2.0E-9	1.5E-7	2.6E-7	7.8E-5	7.9E-7	6.6E-8
48	6.7E-5	1.7E-9	1.3E-7	2.2E-7	6.6E-5	6.7E-7	5.6E-8
49	5.7E-5	1.5E-9	1.1E-7	1.9E-7	5.6E-5	5.8E-7	4.8E-8
50	4.8E-5	1.2E-9	9.1E-8	1.6E-7	4.7E-5	4.9E-7	4.1E-8
51	4.1E-5	1.0E-9	7.7E-8	1.3E-7	4.0E-5	4.2E-7	3.5E-8
52	3.5E-5	8.8E-10	6.5E-8	1.1E-7	3.4E-5	3.6E-7	3.0E-8
53	2.9E-5	7.5E-10	5.5E-8	9.6E-8	2.9E-5	3.0E-7	2.5E-8
54	2.5E-5	6.3E-10	4.6E-8	8.1E-8	2.4E-5	2.6E-7	2.1E-8
55	2.1E-5	5.3E-10	3.9E-8	6.8E-8	2.1E-5	2.2E-7	1.8E-8
56	1.8E-5	4.5E-10	3.3E-8	5.8E-8	1.7E-5	1.9E-7	1.6E-8
57	1.5E-5	3.8E-10	2.8E-8	4.9E-8	1.5E-5	1.6E-7	1.3E-8
58	1.3E-5	3.2E-10	2.4E-8	4.1E-8	1.2E-5	1.4E-7	1.1E-8
59	1.1E-5	2.7E-10	2.0E-8	3.5E-8	1.0E-5	1.2E-7	9.6E-9
60	9.0E-6	2.3E-10	1.7E-8	2.9E-8	8.9E-6	9.9E-8	8.1E-9
61	7.6E-6	2.0E-10	1.4E-8	2.5E-8	7.5E-6	8.5E-8	6.9E-9
62	6.5E-6	1.7E-10	1.2E-8	2.1E-8	6.3E-6	7.2E-8	5.9E-9
63	5.5E-6	1.4E-10	1.0E-8	1.8E-8	5.4E-6	6.2E-8	5.0E-9
64	4.6E-6	1.2E-10	8.6E-9	1.5E-8	4.5E-6	5.2E-8	4.3E-9
65	3.9E-6	-	7.3E-9	1.3E-8	3.8E-6	4.5E-8	3.6E-9
66	3.3E-6	-	6.1E-9	1.1E-8	3.2E-6	3.8E-8	3.1E-9
67	2.8E-6	-	5.2E-9	9.0E-9	2.7E-6	3.2E-8	2.6E-9
68	2.4E-6	-	4.4E-9	7.6E-9	2.3E-6	2.8E-8	2.2E-9
69	2.0E-6	-	3.7E-9	6.4E-9	2.0E-6	2.4E-8	1.9E-9
70	1.7E-6	-	3.1E-9	5.4E-9	1.7E-6	2.0E-8	1.6E-9
71	1.4E-6	-	2.6E-9	4.6E-9	1.4E-6	1.7E-8	1.4E-9
72	1.2E-6	-	2.2E-9	3.9E-9	1.2E-6	1.5E-8	1.2E-9
73	1.0E-6	-	1.9E-9	3.3E-9	1.0E-6	1.2E-8	1.0E-9
74	8.7E-7	-	1.6E-9	2.8E-9	8.5E-7	1.1E-8	8.5E-10
75	7.3E-7	-	1.3E-9	2.3E-9	7.2E-7	9.0E-9	7.2E-10
76	6.2E-7	-	1.1E-9	2.0E-9	6.1E-7	7.7E-9	6.2E-10
77	5.2E-7	-	9.6E-10	1.7E-9	5.1E-7	6.5E-9	5.2E-10
78	4.4E-7	-	8.1E-10	1.4E-9	4.3E-7	5.6E-9	4.5E-10
79	3.7E-7	-	6.8E-10	1.2E-9	3.7E-7	4.7E-9	3.8E-10
80	3.2E-7	-	5.8E-10	1.0E-9	3.1E-7	4.0E-9	3.2E-10
81	2.7E-7	-	4.9E-10	8.5E-10	2.6E-7	3.4E-9	2.7E-10
82	2.3E-7	-	4.1E-10	7.2E-10	2.2E-7	2.9E-9	2.3E-10
83	1.9E-7	-	3.5E-10	6.1E-10	1.9E-7	2.5E-9	2.0E-10
84	1.6E-7	-	2.9E-10	5.1E-10	1.6E-7	2.1E-9	1.7E-10
85	1.4E-7	-	2.5E-10	4.3E-10	1.3E-7	1.8E-9	1.4E-10
86	1.2E-7	-	2.1E-10	3.7E-10	1.1E-7	1.5E-9	1.2E-10
87	9.8E-8	-	1.8E-10	3.1E-10	9.6E-8	1.3E-9	1.0E-10
88	8.3E-8	-	1.5E-10	2.6E-10	8.1E-8	1.1E-9	-
89	7.0E-8	-	1.3E-10	2.2E-10	6.9E-8	9.5E-10	-
90	5.9E-8	-	1.1E-10	1.9E-10	5.8E-8	8.1E-10	-
91	5.0E-8	-	-	1.6E-10	4.9E-8	6.9E-10	-
92	4.2E-8	-	-	1.3E-10	4.2E-8	5.9E-10	-
93	3.6E-8	-	-	1.1E-10	3.5E-8	5.0E-10	-
94	3.0E-8	-	-	-	3.0E-8	4.2E-10	-
95	2.6E-8	-	-	-	2.5E-8	3.6E-10	-
96	2.2E-8	-	-	-	2.1E-8	3.1E-10	-
97	1.8E-8	-	-	-	1.8E-8	2.6E-10	-
98	1.6E-8	-	-	-	1.5E-8	2.2E-10	-
99	1.3E-8	-	-	-	1.3E-8	1.9E-10	-
100	1.1E-8	-	-	-	1.1E-8	1.6E-10	-
110	2.1E-9	-	-	-	2.0E-9	-	-
120	3.9E-10	-	-	-	3.8E-10	-	-
