Radionuclide	Ir-190
Route of Intake	Inhalation
Material	Aerosols Type F, Iridium chloride, fA=1E-2
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
3.25	2.5E-1	-	-	5.3E-2	3.1E-3	2.9E-2	3.8E-2
3.5	2.3E-1	-	-	4.0E-2	2.8E-3	2.8E-2	3.7E-2
3.75	2.2E-1	-	-	3.0E-2	2.6E-3	2.8E-2	3.7E-2
4	2.1E-1	3.2E-3	4.6E-2	2.2E-2	2.4E-3	2.8E-2	3.6E-2
4.25	2.0E-1	-	-	1.7E-2	2.2E-3	2.7E-2	3.5E-2
4.5	1.9E-1	-	-	1.3E-2	2.1E-3	2.7E-2	3.4E-2
4.75	1.8E-1	-	-	1.1E-2	1.9E-3	2.7E-2	3.4E-2
5	1.8E-1	2.5E-3	1.4E-2	8.8E-3	1.8E-3	2.6E-2	3.3E-2
5.5	1.7E-1	-	-	6.4E-3	1.6E-3	2.5E-2	3.2E-2
6	1.6E-1	2.0E-3	4.3E-3	5.2E-3	1.4E-3	2.5E-2	3.0E-2
6.5	1.6E-1	-	-	4.4E-3	1.3E-3	2.4E-2	2.9E-2
7	1.5E-1	1.6E-3	1.9E-3	4.0E-3	1.2E-3	2.3E-2	2.8E-2
7.5	1.4E-1	-	-	3.6E-3	1.1E-3	2.3E-2	2.7E-2
8	1.4E-1	1.4E-3	1.2E-3	3.4E-3	1.0E-3	2.2E-2	2.6E-2
8.5	1.3E-1	-	-	3.2E-3	9.6E-4	2.1E-2	2.5E-2
9	1.3E-1	1.2E-3	9.5E-4	3.0E-3	9.1E-4	2.1E-2	2.4E-2
9.5	1.2E-1	-	-	2.8E-3	8.6E-4	2.0E-2	2.3E-2
10	1.2E-1	1.0E-3	8.0E-4	2.6E-3	8.2E-4	1.9E-2	2.2E-2
11	1.1E-1	8.8E-4	6.8E-4	2.4E-3	7.4E-4	1.8E-2	2.1E-2
12	1.0E-1	7.7E-4	5.9E-4	2.1E-3	6.8E-4	1.7E-2	1.9E-2
13	9.6E-2	6.8E-4	5.1E-4	1.9E-3	6.3E-4	1.6E-2	1.8E-2
14	9.0E-2	6.0E-4	4.4E-4	1.8E-3	5.8E-4	1.5E-2	1.7E-2
15	8.4E-2	5.3E-4	3.8E-4	1.6E-3	5.4E-4	1.4E-2	1.5E-2
16	7.8E-2	4.7E-4	3.3E-4	1.5E-3	5.0E-4	1.3E-2	1.4E-2
17	7.3E-2	4.2E-4	2.9E-4	1.3E-3	4.6E-4	1.3E-2	1.3E-2
18	6.8E-2	3.8E-4	2.6E-4	1.2E-3	4.3E-4	1.2E-2	1.3E-2
19	6.4E-2	3.4E-4	2.3E-4	1.1E-3	4.0E-4	1.1E-2	1.2E-2
20	6.0E-2	3.0E-4	2.0E-4	1.0E-3	3.7E-4	1.0E-2	1.1E-2
21	5.6E-2	2.7E-4	1.8E-4	9.4E-4	3.4E-4	9.7E-3	1.0E-2
22	5.2E-2	2.5E-4	1.6E-4	8.7E-4	3.2E-4	9.1E-3	9.7E-3
23	4.9E-2	2.2E-4	1.4E-4	8.0E-4	3.0E-4	8.5E-3	9.2E-3
24	4.6E-2	2.0E-4	1.3E-4	7.4E-4	2.8E-4	8.0E-3	8.6E-3
25	4.3E-2	1.8E-4	1.1E-4	6.8E-4	2.6E-4	7.5E-3	8.1E-3
26	4.0E-2	1.7E-4	1.0E-4	6.3E-4	2.4E-4	7.0E-3	7.6E-3
27	3.8E-2	1.5E-4	9.2E-5	5.9E-4	2.3E-4	6.6E-3	7.1E-3
28	3.5E-2	1.4E-4	8.3E-5	5.4E-4	2.1E-4	6.2E-3	6.7E-3
29	3.3E-2	1.3E-4	7.5E-5	5.1E-4	2.0E-4	5.8E-3	6.3E-3
30	3.1E-2	1.2E-4	6.8E-5	4.7E-4	1.8E-4	5.4E-3	5.9E-3
31	2.9E-2	1.1E-4	6.2E-5	4.4E-4	1.7E-4	5.1E-3	5.6E-3
32	2.7E-2	9.7E-5	5.6E-5	4.1E-4	1.6E-4	4.7E-3	5.2E-3
33	2.5E-2	8.9E-5	5.1E-5	3.8E-4	1.5E-4	4.4E-3	4.9E-3
34	2.4E-2	8.2E-5	4.6E-5	3.5E-4	1.4E-4	4.2E-3	4.6E-3
35	2.2E-2	7.5E-5	4.2E-5	3.3E-4	1.3E-4	3.9E-3	4.4E-3
36	2.1E-2	6.9E-5	3.9E-5	3.1E-4	1.2E-4	3.6E-3	4.1E-3
37	2.0E-2	6.4E-5	3.6E-5	2.9E-4	1.2E-4	3.4E-3	3.9E-3
38	1.8E-2	5.9E-5	3.3E-5	2.7E-4	1.1E-4	3.2E-3	3.6E-3
39	1.7E-2	5.4E-5	3.0E-5	2.5E-4	1.0E-4	3.0E-3	3.4E-3
40	1.6E-2	5.0E-5	2.7E-5	2.3E-4	9.4E-5	2.8E-3	3.2E-3
41	1.5E-2	4.6E-5	2.5E-5	2.2E-4	8.8E-5	2.6E-3	3.0E-3
42	1.4E-2	4.3E-5	2.3E-5	2.0E-4	8.3E-5	2.5E-3	2.8E-3
43	1.3E-2	4.0E-5	2.1E-5	1.9E-4	7.8E-5	2.3E-3	2.7E-3
44	1.3E-2	3.7E-5	2.0E-5	1.8E-4	7.3E-5	2.2E-3	2.5E-3
45	1.2E-2	3.4E-5	1.8E-5	1.7E-4	6.8E-5	2.0E-3	2.4E-3
46	1.1E-2	3.2E-5	1.7E-5	1.6E-4	6.4E-5	1.9E-3	2.2E-3
47	1.0E-2	2.9E-5	1.6E-5	1.5E-4	6.0E-5	1.8E-3	2.1E-3
48	9.8E-3	2.7E-5	1.4E-5	1.4E-4	5.6E-5	1.7E-3	2.0E-3
49	9.2E-3	2.5E-5	1.3E-5	1.3E-4	5.3E-5	1.6E-3	1.9E-3
50	8.6E-3	2.3E-5	1.2E-5	1.2E-4	4.9E-5	1.5E-3	1.7E-3
51	8.1E-3	2.2E-5	1.1E-5	1.1E-4	4.6E-5	1.4E-3	1.6E-3
52	7.6E-3	2.0E-5	1.1E-5	1.1E-4	4.3E-5	1.3E-3	1.5E-3
53	7.2E-3	1.9E-5	9.8E-6	9.9E-5	4.1E-5	1.2E-3	1.5E-3
54	6.7E-3	1.7E-5	9.1E-6	9.3E-5	3.8E-5	1.1E-3	1.4E-3
55	6.3E-3	1.6E-5	8.5E-6	8.7E-5	3.6E-5	1.1E-3	1.3E-3
56	5.9E-3	1.5E-5	7.9E-6	8.1E-5	3.4E-5	9.8E-4	1.2E-3
57	5.6E-3	1.4E-5	7.3E-6	7.6E-5	3.2E-5	9.2E-4	1.1E-3
58	5.2E-3	1.3E-5	6.8E-6	7.2E-5	3.0E-5	8.6E-4	1.1E-3
59	4.9E-3	1.2E-5	6.3E-6	6.7E-5	2.8E-5	8.1E-4	1.0E-3
60	4.6E-3	1.1E-5	5.9E-6	6.3E-5	2.6E-5	7.6E-4	9.4E-4
61	4.3E-3	1.1E-5	5.5E-6	5.9E-5	2.4E-5	7.1E-4	8.9E-4
62	4.1E-3	9.9E-6	5.1E-6	5.5E-5	2.3E-5	6.7E-4	8.4E-4
63	3.8E-3	9.2E-6	4.8E-6	5.2E-5	2.2E-5	6.2E-4	7.9E-4
64	3.6E-3	8.6E-6	4.4E-6	4.9E-5	2.0E-5	5.9E-4	7.4E-4
65	3.4E-3	8.0E-6	4.1E-6	4.6E-5	1.9E-5	5.5E-4	6.9E-4
66	3.2E-3	7.5E-6	3.9E-6	4.3E-5	1.8E-5	5.1E-4	6.5E-4
67	3.0E-3	7.0E-6	3.6E-6	4.0E-5	1.7E-5	4.8E-4	6.1E-4
68	2.8E-3	6.5E-6	3.4E-6	3.8E-5	1.6E-5	4.5E-4	5.8E-4
69	2.6E-3	6.1E-6	3.1E-6	3.6E-5	1.5E-5	4.2E-4	5.4E-4
70	2.5E-3	5.7E-6	2.9E-6	3.3E-5	1.4E-5	4.0E-4	5.1E-4
71	2.3E-3	5.3E-6	2.7E-6	3.1E-5	1.3E-5	3.7E-4	4.8E-4
72	2.2E-3	5.0E-6	2.5E-6	2.9E-5	1.2E-5	3.5E-4	4.5E-4
73	2.1E-3	4.6E-6	2.4E-6	2.8E-5	1.2E-5	3.3E-4	4.2E-4
74	1.9E-3	4.3E-6	2.2E-6	2.6E-5	1.1E-5	3.1E-4	4.0E-4
75	1.8E-3	4.1E-6	2.1E-6	2.4E-5	1.0E-5	2.9E-4	3.8E-4
76	1.7E-3	3.8E-6	1.9E-6	2.3E-5	9.5E-6	2.7E-4	3.5E-4
77	1.6E-3	3.6E-6	1.8E-6	2.1E-5	9.0E-6	2.5E-4	3.3E-4
78	1.5E-3	3.3E-6	1.7E-6	2.0E-5	8.4E-6	2.4E-4	3.1E-4
79	1.4E-3	3.1E-6	1.6E-6	1.9E-5	7.9E-6	2.2E-4	2.9E-4
80	1.3E-3	2.9E-6	1.5E-6	1.8E-5	7.4E-6	2.1E-4	2.8E-4
81	1.2E-3	2.7E-6	1.4E-6	1.7E-5	7.0E-6	2.0E-4	2.6E-4
82	1.2E-3	2.5E-6	1.3E-6	1.6E-5	6.6E-6	1.8E-4	2.4E-4
83	1.1E-3	2.4E-6	1.2E-6	1.5E-5	6.2E-6	1.7E-4	2.3E-4
84	1.0E-3	2.2E-6	1.1E-6	1.4E-5	5.8E-6	1.6E-4	2.2E-4
85	9.7E-4	2.1E-6	1.1E-6	1.3E-5	5.4E-6	1.5E-4	2.0E-4
86	9.2E-4	2.0E-6	9.9E-7	1.2E-5	5.1E-6	1.4E-4	1.9E-4
87	8.6E-4	1.8E-6	9.3E-7	1.1E-5	4.8E-6	1.3E-4	1.8E-4
88	8.1E-4	1.7E-6	8.7E-7	1.1E-5	4.5E-6	1.3E-4	1.7E-4
89	7.6E-4	1.6E-6	8.1E-7	1.0E-5	4.2E-6	1.2E-4	1.6E-4
90	7.1E-4	1.5E-6	7.6E-7	9.5E-6	4.0E-6	1.1E-4	1.5E-4
91	6.7E-4	1.4E-6	7.1E-7	9.0E-6	3.7E-6	1.0E-4	1.4E-4
92	6.3E-4	1.3E-6	6.7E-7	8.4E-6	3.5E-6	9.8E-5	1.3E-4
93	5.9E-4	1.2E-6	6.3E-7	7.9E-6	3.3E-6	9.2E-5	1.2E-4
94	5.6E-4	1.2E-6	5.9E-7	7.4E-6	3.1E-6	8.7E-5	1.2E-4
95	5.2E-4	1.1E-6	5.5E-7	7.0E-6	2.9E-6	8.1E-5	1.1E-4
96	4.9E-4	1.0E-6	5.2E-7	6.6E-6	2.7E-6	7.6E-5	1.0E-4
97	4.6E-4	9.5E-7	4.8E-7	6.2E-6	2.6E-6	7.2E-5	9.6E-5
98	4.3E-4	8.9E-7	4.5E-7	5.8E-6	2.4E-6	6.7E-5	9.1E-5
99	4.1E-4	8.4E-7	4.2E-7	5.4E-6	2.3E-6	6.3E-5	8.5E-5
100	3.8E-4	7.9E-7	4.0E-7	5.1E-6	2.1E-6	5.9E-5	8.0E-5
110	2.1E-4	4.1E-7	2.1E-7	2.7E-6	1.2E-6	3.2E-5	4.3E-5
120	1.1E-4	2.2E-7	1.1E-7	1.5E-6	6.2E-7	1.7E-5	2.3E-5
130	6.0E-5	1.2E-7	5.8E-8	7.9E-7	3.3E-7	9.4E-6	1.2E-5
140	3.2E-5	6.1E-8	3.1E-8	4.3E-7	1.8E-7	5.1E-6	6.7E-6
150	1.8E-5	3.3E-8	1.6E-8	2.3E-7	9.7E-8	2.8E-6	3.6E-6
160	9.5E-6	1.7E-8	8.7E-9	1.2E-7	5.2E-8	1.5E-6	1.9E-6
170	5.1E-6	9.3E-9	4.6E-9	6.7E-8	2.8E-8	8.4E-7	1.0E-6
180	2.8E-6	4.9E-9	2.5E-9	3.6E-8	1.5E-8	4.6E-7	5.6E-7
190	1.5E-6	2.6E-9	1.3E-9	1.9E-8	8.2E-9	2.5E-7	3.0E-7
200	8.1E-7	1.4E-9	7.1E-10	1.0E-8	4.4E-9	1.4E-7	1.6E-7
210	4.4E-7	7.6E-10	3.8E-10	5.6E-9	2.4E-9	7.7E-8	8.6E-8
220	2.4E-7	4.0E-10	2.0E-10	3.0E-9	1.3E-9	4.3E-8	4.6E-8
230	1.3E-7	2.2E-10	1.1E-10	1.6E-9	6.9E-10	2.4E-8	2.5E-8
240	6.9E-8	1.2E-10	-	8.8E-10	3.7E-10	1.3E-8	1.3E-8
250	3.8E-8	-	-	4.7E-10	2.0E-10	7.3E-9	7.1E-9
260	2.0E-8	-	-	2.6E-10	1.1E-10	4.0E-9	3.8E-9
270	1.1E-8	-	-	1.4E-10	-	2.2E-9	2.1E-9
280	6.0E-9	-	-	-	-	1.2E-9	1.1E-9
290	3.2E-9	-	-	-	-	6.8E-10	5.9E-10
300	1.8E-9	-	-	-	-	3.8E-10	3.2E-10
310	9.5E-10	-	-	-	-	2.1E-10	1.7E-10
320	5.2E-10	-	-	-	-	1.2E-10	-
330	2.8E-10	-	-	-	-	-	-
340	1.5E-10	-	-	-	-	-	-
