Radionuclide	Ce-141
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including chloride and citrate, fA=2.5E-4
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
6.5	4.0E-1	-	-	6.8E-3	2.0E-1	6.2E-2	1.0E-1
7	3.9E-1	2.1E-4	4.3E-3	6.1E-3	2.0E-1	6.2E-2	1.0E-1
7.5	3.8E-1	-	-	5.5E-3	1.9E-1	6.1E-2	1.0E-1
8	3.8E-1	1.8E-4	3.3E-3	5.0E-3	1.9E-1	6.1E-2	1.0E-1
8.5	3.7E-1	-	-	4.6E-3	1.9E-1	6.0E-2	9.9E-2
9	3.7E-1	1.6E-4	2.7E-3	4.2E-3	1.8E-1	6.0E-2	9.8E-2
9.5	3.6E-1	-	-	3.9E-3	1.8E-1	5.9E-2	9.7E-2
10	3.6E-1	1.4E-4	2.2E-3	3.6E-3	1.8E-1	5.9E-2	9.6E-2
11	3.5E-1	1.3E-4	1.9E-3	3.1E-3	1.7E-1	5.7E-2	9.4E-2
12	3.4E-1	1.1E-4	1.6E-3	2.7E-3	1.7E-1	5.6E-2	9.2E-2
13	3.3E-1	1.0E-4	1.4E-3	2.4E-3	1.6E-1	5.5E-2	9.0E-2
14	3.2E-1	9.3E-5	1.2E-3	2.1E-3	1.6E-1	5.4E-2	8.8E-2
15	3.1E-1	8.3E-5	1.0E-3	1.9E-3	1.5E-1	5.3E-2	8.6E-2
16	3.1E-1	7.5E-5	8.9E-4	1.7E-3	1.5E-1	5.2E-2	8.4E-2
17	3.0E-1	6.8E-5	7.9E-4	1.6E-3	1.5E-1	5.1E-2	8.3E-2
18	2.9E-1	6.2E-5	7.1E-4	1.4E-3	1.4E-1	5.0E-2	8.1E-2
19	2.9E-1	5.6E-5	6.4E-4	1.3E-3	1.4E-1	4.9E-2	7.9E-2
20	2.8E-1	5.1E-5	5.8E-4	1.3E-3	1.3E-1	4.8E-2	7.8E-2
21	2.7E-1	4.6E-5	5.3E-4	1.2E-3	1.3E-1	4.8E-2	7.6E-2
22	2.7E-1	4.2E-5	4.9E-4	1.1E-3	1.3E-1	4.7E-2	7.4E-2
23	2.6E-1	3.8E-5	4.6E-4	1.1E-3	1.2E-1	4.6E-2	7.3E-2
24	2.5E-1	3.5E-5	4.3E-4	1.0E-3	1.2E-1	4.5E-2	7.1E-2
25	2.5E-1	3.2E-5	4.0E-4	9.6E-4	1.2E-1	4.4E-2	7.0E-2
26	2.4E-1	2.9E-5	3.8E-4	9.2E-4	1.2E-1	4.3E-2	6.8E-2
27	2.4E-1	2.7E-5	3.6E-4	8.9E-4	1.1E-1	4.2E-2	6.7E-2
28	2.3E-1	2.5E-5	3.5E-4	8.5E-4	1.1E-1	4.2E-2	6.6E-2
29	2.3E-1	2.3E-5	3.3E-4	8.2E-4	1.1E-1	4.1E-2	6.4E-2
30	2.2E-1	2.1E-5	3.2E-4	8.0E-4	1.0E-1	4.0E-2	6.3E-2
31	2.2E-1	2.0E-5	3.0E-4	7.7E-4	1.0E-1	3.9E-2	6.2E-2
32	2.1E-1	1.8E-5	2.9E-4	7.5E-4	9.9E-2	3.8E-2	6.0E-2
33	2.1E-1	1.7E-5	2.8E-4	7.3E-4	9.6E-2	3.8E-2	5.9E-2
34	2.0E-1	1.6E-5	2.7E-4	7.0E-4	9.4E-2	3.7E-2	5.8E-2
35	2.0E-1	1.5E-5	2.6E-4	6.8E-4	9.2E-2	3.6E-2	5.7E-2
36	1.9E-1	1.4E-5	2.5E-4	6.6E-4	8.9E-2	3.6E-2	5.6E-2
37	1.9E-1	1.3E-5	2.5E-4	6.5E-4	8.7E-2	3.5E-2	5.4E-2
38	1.8E-1	1.2E-5	2.4E-4	6.3E-4	8.5E-2	3.4E-2	5.3E-2
39	1.8E-1	1.2E-5	2.3E-4	6.1E-4	8.3E-2	3.4E-2	5.2E-2
40	1.8E-1	1.1E-5	2.2E-4	5.9E-4	8.1E-2	3.3E-2	5.1E-2
41	1.7E-1	1.1E-5	2.2E-4	5.8E-4	7.9E-2	3.2E-2	5.0E-2
42	1.7E-1	1.0E-5	2.1E-4	5.6E-4	7.7E-2	3.2E-2	4.9E-2
43	1.6E-1	9.5E-6	2.0E-4	5.5E-4	7.5E-2	3.1E-2	4.8E-2
44	1.6E-1	9.1E-6	2.0E-4	5.3E-4	7.3E-2	3.0E-2	4.7E-2
45	1.6E-1	8.6E-6	1.9E-4	5.2E-4	7.1E-2	3.0E-2	4.6E-2
46	1.5E-1	8.3E-6	1.9E-4	5.1E-4	6.9E-2	2.9E-2	4.5E-2
47	1.5E-1	7.9E-6	1.8E-4	4.9E-4	6.8E-2	2.9E-2	4.4E-2
48	1.5E-1	7.6E-6	1.8E-4	4.8E-4	6.6E-2	2.8E-2	4.3E-2
49	1.4E-1	7.3E-6	1.7E-4	4.7E-4	6.4E-2	2.8E-2	4.2E-2
50	1.4E-1	7.0E-6	1.7E-4	4.6E-4	6.3E-2	2.7E-2	4.2E-2
51	1.4E-1	6.7E-6	1.6E-4	4.5E-4	6.1E-2	2.7E-2	4.1E-2
52	1.3E-1	6.5E-6	1.6E-4	4.3E-4	6.0E-2	2.6E-2	4.0E-2
53	1.3E-1	6.2E-6	1.5E-4	4.2E-4	5.8E-2	2.6E-2	3.9E-2
54	1.3E-1	6.0E-6	1.5E-4	4.1E-4	5.7E-2	2.5E-2	3.8E-2
55	1.3E-1	5.8E-6	1.4E-4	4.0E-4	5.5E-2	2.5E-2	3.7E-2
56	1.2E-1	5.6E-6	1.4E-4	3.9E-4	5.4E-2	2.4E-2	3.7E-2
57	1.2E-1	5.4E-6	1.3E-4	3.8E-4	5.3E-2	2.4E-2	3.6E-2
58	1.2E-1	5.3E-6	1.3E-4	3.7E-4	5.1E-2	2.3E-2	3.5E-2
59	1.1E-1	5.1E-6	1.3E-4	3.6E-4	5.0E-2	2.3E-2	3.4E-2
60	1.1E-1	4.9E-6	1.2E-4	3.5E-4	4.9E-2	2.2E-2	3.4E-2
61	1.1E-1	4.8E-6	1.2E-4	3.5E-4	4.8E-2	2.2E-2	3.3E-2
62	1.1E-1	4.6E-6	1.2E-4	3.4E-4	4.6E-2	2.1E-2	3.2E-2
63	1.0E-1	4.5E-6	1.1E-4	3.3E-4	4.5E-2	2.1E-2	3.2E-2
64	1.0E-1	4.4E-6	1.1E-4	3.2E-4	4.4E-2	2.1E-2	3.1E-2
65	1.0E-1	4.3E-6	1.1E-4	3.1E-4	4.3E-2	2.0E-2	3.0E-2
66	9.8E-2	4.1E-6	1.0E-4	3.0E-4	4.2E-2	2.0E-2	3.0E-2
67	9.6E-2	4.0E-6	1.0E-4	3.0E-4	4.1E-2	1.9E-2	2.9E-2
68	9.4E-2	3.9E-6	9.9E-5	2.9E-4	4.0E-2	1.9E-2	2.9E-2
69	9.2E-2	3.8E-6	9.6E-5	2.8E-4	3.9E-2	1.9E-2	2.8E-2
70	9.0E-2	3.7E-6	9.3E-5	2.8E-4	3.8E-2	1.8E-2	2.7E-2
71	8.8E-2	3.6E-6	9.1E-5	2.7E-4	3.7E-2	1.8E-2	2.7E-2
72	8.6E-2	3.5E-6	8.8E-5	2.6E-4	3.6E-2	1.8E-2	2.6E-2
73	8.4E-2	3.4E-6	8.6E-5	2.6E-4	3.5E-2	1.7E-2	2.6E-2
74	8.2E-2	3.3E-6	8.3E-5	2.5E-4	3.4E-2	1.7E-2	2.5E-2
75	8.0E-2	3.2E-6	8.1E-5	2.4E-4	3.4E-2	1.7E-2	2.5E-2
76	7.8E-2	3.2E-6	7.9E-5	2.4E-4	3.3E-2	1.6E-2	2.4E-2
77	7.7E-2	3.1E-6	7.7E-5	2.3E-4	3.2E-2	1.6E-2	2.4E-2
78	7.5E-2	3.0E-6	7.5E-5	2.3E-4	3.1E-2	1.6E-2	2.3E-2
79	7.3E-2	2.9E-6	7.3E-5	2.2E-4	3.0E-2	1.5E-2	2.3E-2
80	7.2E-2	2.8E-6	7.1E-5	2.1E-4	3.0E-2	1.5E-2	2.2E-2
81	7.0E-2	2.8E-6	6.9E-5	2.1E-4	2.9E-2	1.5E-2	2.2E-2
82	6.9E-2	2.7E-6	6.7E-5	2.0E-4	2.8E-2	1.4E-2	2.1E-2
83	6.7E-2	2.6E-6	6.5E-5	2.0E-4	2.7E-2	1.4E-2	2.1E-2
84	6.6E-2	2.6E-6	6.3E-5	1.9E-4	2.7E-2	1.4E-2	2.0E-2
85	6.4E-2	2.5E-6	6.2E-5	1.9E-4	2.6E-2	1.4E-2	2.0E-2
86	6.3E-2	2.4E-6	6.0E-5	1.9E-4	2.5E-2	1.3E-2	2.0E-2
87	6.1E-2	2.4E-6	5.8E-5	1.8E-4	2.5E-2	1.3E-2	1.9E-2
88	6.0E-2	2.3E-6	5.7E-5	1.8E-4	2.4E-2	1.3E-2	1.9E-2
89	5.9E-2	2.3E-6	5.5E-5	1.7E-4	2.4E-2	1.3E-2	1.8E-2
90	5.7E-2	2.2E-6	5.4E-5	1.7E-4	2.3E-2	1.2E-2	1.8E-2
91	5.6E-2	2.2E-6	5.2E-5	1.6E-4	2.2E-2	1.2E-2	1.8E-2
92	5.5E-2	2.1E-6	5.1E-5	1.6E-4	2.2E-2	1.2E-2	1.7E-2
93	5.4E-2	2.1E-6	4.9E-5	1.6E-4	2.1E-2	1.2E-2	1.7E-2
94	5.2E-2	2.0E-6	4.8E-5	1.5E-4	2.1E-2	1.1E-2	1.7E-2
95	5.1E-2	2.0E-6	4.7E-5	1.5E-4	2.0E-2	1.1E-2	1.6E-2
96	5.0E-2	1.9E-6	4.6E-5	1.5E-4	2.0E-2	1.1E-2	1.6E-2
97	4.9E-2	1.9E-6	4.4E-5	1.4E-4	1.9E-2	1.1E-2	1.6E-2
98	4.8E-2	1.8E-6	4.3E-5	1.4E-4	1.9E-2	1.0E-2	1.5E-2
99	4.7E-2	1.8E-6	4.2E-5	1.4E-4	1.8E-2	1.0E-2	1.5E-2
100	4.6E-2	1.7E-6	4.1E-5	1.3E-4	1.8E-2	1.0E-2	1.5E-2
110	3.7E-2	1.4E-6	3.1E-5	1.0E-4	1.4E-2	8.2E-3	1.2E-2
120	2.9E-2	1.1E-6	2.4E-5	8.2E-5	1.1E-2	6.7E-3	9.7E-3
130	2.4E-2	8.5E-7	1.8E-5	6.4E-5	8.6E-3	5.5E-3	7.8E-3
140	1.9E-2	6.7E-7	1.4E-5	5.1E-5	6.7E-3	4.5E-3	6.4E-3
150	1.5E-2	5.3E-7	1.1E-5	4.0E-5	5.2E-3	3.7E-3	5.2E-3
160	1.2E-2	4.2E-7	8.4E-6	3.2E-5	4.1E-3	3.0E-3	4.2E-3
170	9.8E-3	3.4E-7	6.5E-6	2.5E-5	3.2E-3	2.5E-3	3.4E-3
180	7.8E-3	2.7E-7	5.0E-6	2.0E-5	2.5E-3	2.0E-3	2.8E-3
190	6.3E-3	2.1E-7	3.9E-6	1.6E-5	2.0E-3	1.6E-3	2.2E-3
200	5.0E-3	1.7E-7	3.0E-6	1.3E-5	1.5E-3	1.3E-3	1.8E-3
210	4.1E-3	1.3E-7	2.3E-6	1.0E-5	1.2E-3	1.1E-3	1.5E-3
220	3.3E-3	1.1E-7	1.8E-6	7.9E-6	9.4E-4	8.8E-4	1.2E-3
230	2.6E-3	8.5E-8	1.4E-6	6.3E-6	7.4E-4	7.2E-4	9.6E-4
240	2.1E-3	6.8E-8	1.1E-6	5.0E-6	5.8E-4	5.9E-4	7.8E-4
250	1.7E-3	5.4E-8	8.5E-7	4.0E-6	4.5E-4	4.8E-4	6.3E-4
260	1.4E-3	4.3E-8	6.6E-7	3.2E-6	3.6E-4	3.9E-4	5.1E-4
270	1.1E-3	3.5E-8	5.1E-7	2.5E-6	2.8E-4	3.2E-4	4.1E-4
280	8.8E-4	2.8E-8	4.0E-7	2.0E-6	2.2E-4	2.6E-4	3.3E-4
290	7.0E-4	2.2E-8	3.1E-7	1.6E-6	1.7E-4	2.1E-4	2.7E-4
300	5.7E-4	1.8E-8	2.4E-7	1.3E-6	1.4E-4	1.7E-4	2.2E-4
310	4.6E-4	1.4E-8	1.9E-7	1.0E-6	1.1E-4	1.4E-4	1.8E-4
320	3.7E-4	1.1E-8	1.5E-7	8.1E-7	8.3E-5	1.1E-4	1.4E-4
330	3.0E-4	9.0E-9	1.1E-7	6.5E-7	6.6E-5	9.1E-5	1.2E-4
340	2.4E-4	7.2E-9	8.8E-8	5.2E-7	5.1E-5	7.4E-5	9.3E-5
350	1.9E-4	5.8E-9	6.9E-8	4.1E-7	4.0E-5	6.0E-5	7.6E-5
360	1.5E-4	4.6E-9	5.4E-8	3.3E-7	3.2E-5	4.9E-5	6.1E-5
365	1.4E-4	4.1E-9	4.7E-8	2.9E-7	2.8E-5	4.4E-5	5.5E-5
370	1.2E-4	3.7E-9	4.2E-8	2.6E-7	2.5E-5	4.0E-5	4.9E-5
380	1.0E-4	3.0E-9	3.3E-8	2.1E-7	2.0E-5	3.2E-5	4.0E-5
390	8.0E-5	2.4E-9	2.6E-8	1.7E-7	1.5E-5	2.6E-5	3.2E-5
400	6.5E-5	1.9E-9	2.0E-8	1.3E-7	1.2E-5	2.1E-5	2.6E-5
410	5.2E-5	1.5E-9	1.6E-8	1.1E-7	9.6E-6	1.7E-5	2.1E-5
420	4.2E-5	1.2E-9	1.2E-8	8.6E-8	7.6E-6	1.4E-5	1.7E-5
430	3.4E-5	9.7E-10	9.5E-9	6.9E-8	5.9E-6	1.1E-5	1.4E-5
440	2.7E-5	7.8E-10	7.4E-9	5.5E-8	4.7E-6	9.3E-6	1.1E-5
450	2.2E-5	6.3E-10	5.8E-9	4.4E-8	3.7E-6	7.5E-6	9.0E-6
460	1.8E-5	5.0E-10	4.5E-9	3.5E-8	2.9E-6	6.1E-6	7.2E-6
470	1.4E-5	4.0E-10	3.6E-9	2.8E-8	2.3E-6	5.0E-6	5.9E-6
480	1.1E-5	3.2E-10	2.8E-9	2.3E-8	1.8E-6	4.0E-6	4.7E-6
490	9.2E-6	2.6E-10	2.2E-9	1.8E-8	1.4E-6	3.3E-6	3.8E-6
500	7.4E-6	2.1E-10	1.7E-9	1.5E-8	1.1E-6	2.7E-6	3.1E-6
510	6.0E-6	1.7E-10	1.3E-9	1.2E-8	8.9E-7	2.2E-6	2.5E-6
520	4.8E-6	1.3E-10	1.1E-9	9.4E-9	7.0E-7	1.7E-6	2.0E-6
530	3.9E-6	1.1E-10	8.2E-10	7.5E-9	5.5E-7	1.4E-6	1.6E-6
540	3.1E-6	-	6.5E-10	6.0E-9	4.3E-7	1.2E-6	1.3E-6
550	2.5E-6	-	5.1E-10	4.8E-9	3.4E-7	9.3E-7	1.1E-6
560	2.0E-6	-	4.0E-10	3.9E-9	2.7E-7	7.6E-7	8.5E-7
570	1.6E-6	-	3.1E-10	3.1E-9	2.1E-7	6.1E-7	6.9E-7
580	1.3E-6	-	2.5E-10	2.5E-9	1.7E-7	5.0E-7	5.6E-7
590	1.1E-6	-	1.9E-10	2.0E-9	1.3E-7	4.0E-7	4.5E-7
600	8.6E-7	-	1.5E-10	1.6E-9	1.1E-7	3.3E-7	3.6E-7
610	7.0E-7	-	1.2E-10	1.3E-9	8.3E-8	2.7E-7	2.9E-7
620	5.6E-7	-	-	1.0E-9	6.6E-8	2.2E-7	2.4E-7
630	4.5E-7	-	-	8.3E-10	5.2E-8	1.7E-7	1.9E-7
640	3.6E-7	-	-	6.7E-10	4.1E-8	1.4E-7	1.5E-7
650	2.9E-7	-	-	5.4E-10	3.3E-8	1.1E-7	1.2E-7
660	2.4E-7	-	-	4.3E-10	2.6E-8	9.3E-8	1.0E-7
670	1.9E-7	-	-	3.5E-10	2.0E-8	7.5E-8	8.1E-8
680	1.5E-7	-	-	2.8E-10	1.6E-8	6.1E-8	6.5E-8
690	1.2E-7	-	-	2.2E-10	1.3E-8	4.9E-8	5.3E-8
700	1.0E-7	-	-	1.8E-10	1.0E-8	4.0E-8	4.2E-8
710	8.1E-8	-	-	1.4E-10	8.0E-9	3.2E-8	3.4E-8
720	6.5E-8	-	-	1.2E-10	6.3E-9	2.6E-8	2.8E-8
730	5.3E-8	-	-	-	5.0E-9	2.1E-8	2.2E-8
740	4.3E-8	-	-	-	4.0E-9	1.7E-8	1.8E-8
750	3.4E-8	-	-	-	3.1E-9	1.4E-8	1.5E-8
760	2.8E-8	-	-	-	2.5E-9	1.1E-8	1.2E-8
770	2.2E-8	-	-	-	2.0E-9	9.2E-9	9.4E-9
780	1.8E-8	-	-	-	1.6E-9	7.5E-9	7.6E-9
790	1.5E-8	-	-	-	1.2E-9	6.0E-9	6.1E-9
800	1.2E-8	-	-	-	9.8E-10	4.9E-9	5.0E-9
810	9.5E-9	-	-	-	7.7E-10	4.0E-9	4.0E-9
820	7.6E-9	-	-	-	6.1E-10	3.2E-9	3.2E-9
830	6.2E-9	-	-	-	4.9E-10	2.6E-9	2.6E-9
840	5.0E-9	-	-	-	3.8E-10	2.1E-9	2.1E-9
850	4.0E-9	-	-	-	3.0E-10	1.7E-9	1.7E-9
860	3.2E-9	-	-	-	2.4E-10	1.4E-9	1.4E-9
870	2.6E-9	-	-	-	1.9E-10	1.1E-9	1.1E-9
880	2.1E-9	-	-	-	1.5E-10	9.1E-10	8.9E-10
890	1.7E-9	-	-	-	1.2E-10	7.3E-10	7.2E-10
900	1.4E-9	-	-	-	-	5.9E-10	5.8E-10
910	1.1E-9	-	-	-	-	4.8E-10	4.7E-10
920	8.9E-10	-	-	-	-	3.9E-10	3.8E-10
930	7.2E-10	-	-	-	-	3.2E-10	3.0E-10
940	5.8E-10	-	-	-	-	2.6E-10	2.4E-10
950	4.7E-10	-	-	-	-	2.1E-10	2.0E-10
960	3.8E-10	-	-	-	-	1.7E-10	1.6E-10
970	3.1E-10	-	-	-	-	1.3E-10	1.3E-10
980	2.5E-10	-	-	-	-	1.1E-10	1.0E-10
990	2.0E-10	-	-	-	-	-	-
1000	1.6E-10	-	-	-	-	-	-
1010	1.3E-10	-	-	-	-	-	-
1020	1.0E-10	-	-	-	-	-	-
