Radionuclide	Pu-246
Route of Intake	Inhalation
Material	Aerosols Type F, fA=5E-4
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
26	1.1E-1	2.5E-5	3.5E-5	2.9E-4	3.9E-4	3.3E-2	6.5E-2
27	1.0E-1	2.3E-5	3.1E-5	2.6E-4	3.6E-4	3.1E-2	6.1E-2
28	9.6E-2	2.1E-5	2.8E-5	2.4E-4	3.3E-4	2.9E-2	5.7E-2
29	9.0E-2	1.9E-5	2.5E-5	2.2E-4	3.0E-4	2.8E-2	5.4E-2
30	8.4E-2	1.7E-5	2.2E-5	2.0E-4	2.8E-4	2.6E-2	5.1E-2
31	7.9E-2	1.6E-5	2.0E-5	1.8E-4	2.6E-4	2.5E-2	4.8E-2
32	7.4E-2	1.4E-5	1.8E-5	1.6E-4	2.4E-4	2.3E-2	4.5E-2
33	7.0E-2	1.3E-5	1.6E-5	1.5E-4	2.2E-4	2.2E-2	4.2E-2
34	6.5E-2	1.2E-5	1.4E-5	1.3E-4	2.0E-4	2.0E-2	3.9E-2
35	6.1E-2	1.1E-5	1.3E-5	1.2E-4	1.9E-4	1.9E-2	3.7E-2
36	5.7E-2	1.0E-5	1.2E-5	1.1E-4	1.8E-4	1.8E-2	3.5E-2
37	5.4E-2	9.2E-6	1.0E-5	1.0E-4	1.6E-4	1.7E-2	3.3E-2
38	5.0E-2	8.5E-6	9.4E-6	9.4E-5	1.5E-4	1.6E-2	3.1E-2
39	4.7E-2	7.8E-6	8.4E-6	8.7E-5	1.4E-4	1.5E-2	2.9E-2
40	4.4E-2	7.2E-6	7.6E-6	8.0E-5	1.3E-4	1.4E-2	2.7E-2
41	4.2E-2	6.7E-6	6.8E-6	7.4E-5	1.2E-4	1.3E-2	2.5E-2
42	3.9E-2	6.1E-6	6.2E-6	6.8E-5	1.1E-4	1.2E-2	2.4E-2
43	3.7E-2	5.7E-6	5.5E-6	6.3E-5	1.1E-4	1.2E-2	2.2E-2
44	3.4E-2	5.2E-6	5.0E-6	5.8E-5	1.0E-4	1.1E-2	2.1E-2
45	3.2E-2	4.8E-6	4.5E-6	5.4E-5	9.3E-5	1.0E-2	2.0E-2
46	3.0E-2	4.5E-6	4.1E-6	5.0E-5	8.7E-5	9.6E-3	1.8E-2
47	2.8E-2	4.1E-6	3.7E-6	4.6E-5	8.1E-5	9.0E-3	1.7E-2
48	2.7E-2	3.8E-6	3.3E-6	4.3E-5	7.6E-5	8.5E-3	1.6E-2
49	2.5E-2	3.6E-6	3.0E-6	4.0E-5	7.1E-5	8.0E-3	1.5E-2
50	2.3E-2	3.3E-6	2.7E-6	3.7E-5	6.7E-5	7.5E-3	1.4E-2
51	2.2E-2	3.1E-6	2.4E-6	3.4E-5	6.2E-5	7.0E-3	1.3E-2
52	2.1E-2	2.8E-6	2.2E-6	3.2E-5	5.8E-5	6.6E-3	1.2E-2
53	1.9E-2	2.6E-6	2.0E-6	3.0E-5	5.5E-5	6.2E-3	1.2E-2
54	1.8E-2	2.4E-6	1.8E-6	2.8E-5	5.1E-5	5.8E-3	1.1E-2
55	1.7E-2	2.3E-6	1.6E-6	2.6E-5	4.8E-5	5.5E-3	1.0E-2
56	1.6E-2	2.1E-6	1.5E-6	2.4E-5	4.5E-5	5.1E-3	9.7E-3
57	1.5E-2	2.0E-6	1.3E-6	2.3E-5	4.2E-5	4.8E-3	9.1E-3
58	1.4E-2	1.8E-6	1.2E-6	2.1E-5	4.0E-5	4.5E-3	8.5E-3
59	1.3E-2	1.7E-6	1.1E-6	2.0E-5	3.7E-5	4.2E-3	8.0E-3
60	1.2E-2	1.6E-6	9.9E-7	1.8E-5	3.5E-5	4.0E-3	7.5E-3
61	1.2E-2	1.5E-6	9.0E-7	1.7E-5	3.3E-5	3.7E-3	7.0E-3
62	1.1E-2	1.4E-6	8.2E-7	1.6E-5	3.1E-5	3.5E-3	6.6E-3
63	1.0E-2	1.3E-6	7.4E-7	1.5E-5	2.9E-5	3.3E-3	6.1E-3
64	9.5E-3	1.2E-6	6.8E-7	1.4E-5	2.7E-5	3.1E-3	5.8E-3
65	8.9E-3	1.1E-6	6.2E-7	1.3E-5	2.5E-5	2.9E-3	5.4E-3
66	8.4E-3	1.0E-6	5.6E-7	1.2E-5	2.4E-5	2.7E-3	5.1E-3
67	7.8E-3	9.4E-7	5.1E-7	1.1E-5	2.2E-5	2.6E-3	4.8E-3
68	7.4E-3	8.7E-7	4.7E-7	1.1E-5	2.1E-5	2.4E-3	4.5E-3
69	6.9E-3	8.1E-7	4.2E-7	1.0E-5	1.9E-5	2.3E-3	4.2E-3
70	6.5E-3	7.6E-7	3.9E-7	9.4E-6	1.8E-5	2.1E-3	3.9E-3
71	6.1E-3	7.0E-7	3.5E-7	8.8E-6	1.7E-5	2.0E-3	3.7E-3
72	5.7E-3	6.5E-7	3.2E-7	8.2E-6	1.6E-5	1.9E-3	3.4E-3
73	5.3E-3	6.1E-7	2.9E-7	7.7E-6	1.5E-5	1.7E-3	3.2E-3
74	5.0E-3	5.7E-7	2.7E-7	7.2E-6	1.4E-5	1.6E-3	3.0E-3
75	4.7E-3	5.3E-7	2.5E-7	6.7E-6	1.3E-5	1.5E-3	2.8E-3
76	4.4E-3	4.9E-7	2.3E-7	6.3E-6	1.2E-5	1.4E-3	2.7E-3
77	4.1E-3	4.6E-7	2.1E-7	5.9E-6	1.2E-5	1.4E-3	2.5E-3
78	3.9E-3	4.3E-7	1.9E-7	5.5E-6	1.1E-5	1.3E-3	2.3E-3
79	3.6E-3	4.0E-7	1.7E-7	5.2E-6	1.0E-5	1.2E-3	2.2E-3
80	3.4E-3	3.7E-7	1.6E-7	4.9E-6	9.6E-6	1.1E-3	2.1E-3
81	3.2E-3	3.4E-7	1.5E-7	4.6E-6	9.0E-6	1.1E-3	1.9E-3
82	3.0E-3	3.2E-7	1.3E-7	4.3E-6	8.5E-6	9.9E-4	1.8E-3
83	2.8E-3	3.0E-7	1.2E-7	4.0E-6	7.9E-6	9.3E-4	1.7E-3
84	2.6E-3	2.8E-7	1.1E-7	3.8E-6	7.5E-6	8.7E-4	1.6E-3
85	2.5E-3	2.6E-7	1.0E-7	3.5E-6	7.0E-6	8.2E-4	1.5E-3
86	2.3E-3	2.4E-7	9.6E-8	3.3E-6	6.6E-6	7.7E-4	1.4E-3
87	2.2E-3	2.2E-7	8.8E-8	3.1E-6	6.2E-6	7.2E-4	1.3E-3
88	2.0E-3	2.1E-7	8.1E-8	2.9E-6	5.8E-6	6.8E-4	1.2E-3
89	1.9E-3	1.9E-7	7.5E-8	2.7E-6	5.4E-6	6.4E-4	1.1E-3
90	1.8E-3	1.8E-7	6.9E-8	2.5E-6	5.1E-6	6.0E-4	1.1E-3
91	1.7E-3	1.7E-7	6.4E-8	2.4E-6	4.8E-6	5.6E-4	1.0E-3
92	1.6E-3	1.6E-7	5.9E-8	2.2E-6	4.5E-6	5.3E-4	9.5E-4
93	1.5E-3	1.5E-7	5.4E-8	2.1E-6	4.2E-6	4.9E-4	8.9E-4
94	1.4E-3	1.4E-7	5.0E-8	2.0E-6	3.9E-6	4.6E-4	8.3E-4
95	1.3E-3	1.3E-7	4.7E-8	1.8E-6	3.7E-6	4.3E-4	7.8E-4
96	1.2E-3	1.2E-7	4.3E-8	1.7E-6	3.5E-6	4.1E-4	7.3E-4
97	1.1E-3	1.1E-7	4.0E-8	1.6E-6	3.2E-6	3.8E-4	6.9E-4
98	1.1E-3	1.0E-7	3.7E-8	1.5E-6	3.0E-6	3.6E-4	6.4E-4
99	1.0E-3	9.6E-8	3.4E-8	1.4E-6	2.9E-6	3.4E-4	6.0E-4
100	9.5E-4	9.0E-8	3.2E-8	1.3E-6	2.7E-6	3.2E-4	5.7E-4
110	5.0E-4	4.5E-8	1.5E-8	7.1E-7	1.4E-6	1.7E-4	3.0E-4
120	2.6E-4	2.2E-8	7.4E-9	3.7E-7	7.5E-7	8.9E-5	1.6E-4
130	1.4E-4	1.1E-8	3.7E-9	2.0E-7	3.9E-7	4.7E-5	8.2E-5
140	7.3E-5	5.7E-9	1.9E-9	1.0E-7	2.1E-7	2.5E-5	4.3E-5
150	3.8E-5	2.9E-9	9.8E-10	5.5E-8	1.1E-7	1.3E-5	2.3E-5
160	2.0E-5	1.5E-9	5.1E-10	2.9E-8	5.8E-8	7.1E-6	1.2E-5
170	1.1E-5	7.5E-10	2.7E-10	1.5E-8	3.1E-8	3.8E-6	6.2E-6
180	5.6E-6	3.9E-10	1.4E-10	8.1E-9	1.6E-8	2.0E-6	3.3E-6
190	3.0E-6	2.0E-10	-	4.3E-9	8.5E-9	1.1E-6	1.7E-6
200	1.6E-6	1.0E-10	-	2.2E-9	4.5E-9	5.6E-7	9.0E-7
210	8.2E-7	-	-	1.2E-9	2.4E-9	3.0E-7	4.7E-7
220	4.3E-7	-	-	6.3E-10	1.2E-9	1.6E-7	2.5E-7
230	2.3E-7	-	-	3.3E-10	6.6E-10	8.4E-8	1.3E-7
240	1.2E-7	-	-	1.7E-10	3.5E-10	4.4E-8	6.8E-8
250	6.4E-8	-	-	-	1.8E-10	2.4E-8	3.6E-8
260	3.4E-8	-	-	-	-	1.2E-8	1.9E-8
270	1.8E-8	-	-	-	-	6.6E-9	9.9E-9
280	9.3E-9	-	-	-	-	3.5E-9	5.2E-9
290	4.9E-9	-	-	-	-	1.9E-9	2.7E-9
300	2.6E-9	-	-	-	-	9.8E-10	1.4E-9
310	1.4E-9	-	-	-	-	5.2E-10	7.5E-10
320	7.2E-10	-	-	-	-	2.8E-10	4.0E-10
330	3.8E-10	-	-	-	-	1.5E-10	2.1E-10
340	2.0E-10	-	-	-	-	-	1.1E-10
350	1.1E-10	-	-	-	-	-	-
