Radionuclide	Eu-150
Route of Intake	Inhalation
Material	Aerosols Type M, Nitrate, oxide, fA=1E-4
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	5.1E-1	-	-	1.4E-1	1.3E-1	2.1E-4	1.8E-4
0.083333	5.0E-1	-	-	1.6E-1	1.3E-1	4.5E-4	3.6E-4
0.125	5.0E-1	-	-	1.8E-1	1.2E-1	7.0E-4	5.3E-4
0.25	4.8E-1	-	-	2.1E-1	1.2E-1	1.4E-3	1.0E-3
0.375	4.7E-1	-	-	2.4E-1	1.2E-1	2.0E-3	1.5E-3
0.5	4.6E-1	-	-	2.5E-1	1.1E-1	2.6E-3	1.9E-3
0.625	4.5E-1	-	-	2.6E-1	1.1E-1	3.1E-3	2.2E-3
0.75	4.4E-1	-	-	2.6E-1	1.1E-1	3.6E-3	2.6E-3
0.875	4.2E-1	-	-	2.6E-1	1.1E-1	4.1E-3	2.9E-3
1	4.0E-1	2.4E-3	4.4E-2	2.5E-1	1.1E-1	4.5E-3	3.2E-3
1.125	3.9E-1	-	-	2.4E-1	1.0E-1	4.8E-3	3.5E-3
1.25	3.7E-1	-	-	2.3E-1	1.0E-1	5.2E-3	3.7E-3
1.375	3.5E-1	-	-	2.2E-1	1.0E-1	5.5E-3	3.9E-3
1.5	3.3E-1	-	-	2.0E-1	1.0E-1	5.8E-3	4.2E-3
1.625	3.1E-1	-	-	1.9E-1	1.0E-1	6.1E-3	4.3E-3
1.75	2.9E-1	-	-	1.7E-1	9.9E-2	6.3E-3	4.5E-3
1.875	2.7E-1	-	-	1.5E-1	9.9E-2	6.6E-3	4.7E-3
2	2.6E-1	1.4E-3	1.4E-1	1.4E-1	9.8E-2	6.8E-3	4.8E-3
2.25	2.3E-1	-	-	1.1E-1	9.7E-2	7.1E-3	5.1E-3
2.5	2.0E-1	-	-	8.5E-2	9.6E-2	7.4E-3	5.3E-3
2.75	1.8E-1	-	-	6.5E-2	9.5E-2	7.7E-3	5.5E-3
3	1.6E-1	7.3E-4	9.2E-2	4.9E-2	9.4E-2	7.9E-3	5.6E-3
3.25	1.5E-1	-	-	3.7E-2	9.3E-2	8.1E-3	5.8E-3
3.5	1.4E-1	-	-	2.8E-2	9.2E-2	8.3E-3	5.9E-3
3.75	1.3E-1	-	-	2.1E-2	9.2E-2	8.4E-3	6.0E-3
4	1.3E-1	4.0E-4	3.6E-2	1.5E-2	9.1E-2	8.5E-3	6.0E-3
4.25	1.2E-1	-	-	1.2E-2	9.1E-2	8.6E-3	6.1E-3
4.5	1.2E-1	-	-	8.9E-3	9.0E-2	8.7E-3	6.2E-3
4.75	1.2E-1	-	-	6.9E-3	9.0E-2	8.8E-3	6.2E-3
5	1.2E-1	2.4E-4	1.1E-2	5.4E-3	8.9E-2	8.9E-3	6.3E-3
5.5	1.1E-1	-	-	3.6E-3	8.9E-2	9.0E-3	6.4E-3
6	1.1E-1	1.7E-4	3.7E-3	2.7E-3	8.8E-2	9.1E-3	6.4E-3
6.5	1.1E-1	-	-	2.2E-3	8.7E-2	9.2E-3	6.5E-3
7	1.1E-1	1.4E-4	1.7E-3	1.9E-3	8.7E-2	9.3E-3	6.6E-3
7.5	1.1E-1	-	-	1.7E-3	8.6E-2	9.4E-3	6.6E-3
8	1.1E-1	1.2E-4	1.1E-3	1.5E-3	8.5E-2	9.5E-3	6.7E-3
8.5	1.1E-1	-	-	1.4E-3	8.5E-2	9.6E-3	6.7E-3
9	1.1E-1	1.2E-4	8.4E-4	1.3E-3	8.4E-2	9.7E-3	6.8E-3
9.5	1.1E-1	-	-	1.2E-3	8.4E-2	9.7E-3	6.8E-3
10	1.1E-1	1.1E-4	7.1E-4	1.1E-3	8.4E-2	9.8E-3	6.9E-3
11	1.1E-1	1.1E-4	6.0E-4	9.8E-4	8.3E-2	1.0E-2	7.0E-3
12	1.1E-1	1.1E-4	5.2E-4	8.7E-4	8.2E-2	1.0E-2	7.1E-3
13	1.0E-1	1.0E-4	4.6E-4	7.8E-4	8.1E-2	1.0E-2	7.2E-3
14	1.0E-1	1.0E-4	4.0E-4	7.1E-4	8.0E-2	1.0E-2	7.3E-3
15	1.0E-1	1.0E-4	3.6E-4	6.5E-4	8.0E-2	1.1E-2	7.3E-3
16	1.0E-1	9.9E-5	3.2E-4	6.0E-4	7.9E-2	1.1E-2	7.4E-3
17	1.0E-1	9.8E-5	3.0E-4	5.6E-4	7.8E-2	1.1E-2	7.5E-3
18	1.0E-1	9.7E-5	2.7E-4	5.3E-4	7.8E-2	1.1E-2	7.6E-3
19	1.0E-1	9.6E-5	2.5E-4	5.1E-4	7.7E-2	1.1E-2	7.7E-3
20	1.0E-1	9.5E-5	2.3E-4	4.8E-4	7.7E-2	1.1E-2	7.8E-3
21	1.0E-1	9.4E-5	2.2E-4	4.7E-4	7.6E-2	1.1E-2	7.9E-3
22	1.0E-1	9.3E-5	2.1E-4	4.5E-4	7.5E-2	1.2E-2	8.0E-3
23	1.0E-1	9.2E-5	2.0E-4	4.4E-4	7.5E-2	1.2E-2	8.0E-3
24	1.0E-1	9.1E-5	1.9E-4	4.3E-4	7.4E-2	1.2E-2	8.1E-3
25	1.0E-1	9.1E-5	1.8E-4	4.2E-4	7.4E-2	1.2E-2	8.2E-3
26	1.0E-1	9.0E-5	1.8E-4	4.1E-4	7.3E-2	1.2E-2	8.3E-3
27	1.0E-1	8.9E-5	1.7E-4	4.0E-4	7.3E-2	1.2E-2	8.4E-3
28	9.9E-2	8.9E-5	1.7E-4	4.0E-4	7.2E-2	1.2E-2	8.5E-3
29	9.9E-2	8.8E-5	1.7E-4	3.9E-4	7.2E-2	1.3E-2	8.5E-3
30	9.9E-2	8.7E-5	1.6E-4	3.9E-4	7.1E-2	1.3E-2	8.6E-3
31	9.9E-2	8.7E-5	1.6E-4	3.9E-4	7.1E-2	1.3E-2	8.7E-3
32	9.8E-2	8.6E-5	1.6E-4	3.8E-4	7.0E-2	1.3E-2	8.8E-3
33	9.8E-2	8.6E-5	1.6E-4	3.8E-4	7.0E-2	1.3E-2	8.9E-3
34	9.8E-2	8.5E-5	1.5E-4	3.8E-4	6.9E-2	1.3E-2	8.9E-3
35	9.8E-2	8.4E-5	1.5E-4	3.8E-4	6.9E-2	1.3E-2	9.0E-3
36	9.7E-2	8.4E-5	1.5E-4	3.7E-4	6.8E-2	1.4E-2	9.1E-3
37	9.7E-2	8.3E-5	1.5E-4	3.7E-4	6.8E-2	1.4E-2	9.2E-3
38	9.7E-2	8.3E-5	1.5E-4	3.7E-4	6.7E-2	1.4E-2	9.2E-3
39	9.7E-2	8.2E-5	1.5E-4	3.7E-4	6.7E-2	1.4E-2	9.3E-3
40	9.6E-2	8.2E-5	1.4E-4	3.7E-4	6.7E-2	1.4E-2	9.4E-3
41	9.6E-2	8.2E-5	1.4E-4	3.7E-4	6.6E-2	1.4E-2	9.5E-3
42	9.6E-2	8.1E-5	1.4E-4	3.6E-4	6.6E-2	1.4E-2	9.5E-3
43	9.6E-2	8.1E-5	1.4E-4	3.6E-4	6.5E-2	1.4E-2	9.6E-3
44	9.6E-2	8.0E-5	1.4E-4	3.6E-4	6.5E-2	1.5E-2	9.7E-3
45	9.5E-2	8.0E-5	1.4E-4	3.6E-4	6.4E-2	1.5E-2	9.7E-3
46	9.5E-2	7.9E-5	1.4E-4	3.6E-4	6.4E-2	1.5E-2	9.8E-3
47	9.5E-2	7.9E-5	1.4E-4	3.6E-4	6.3E-2	1.5E-2	9.9E-3
48	9.5E-2	7.8E-5	1.4E-4	3.6E-4	6.3E-2	1.5E-2	1.0E-2
49	9.4E-2	7.8E-5	1.3E-4	3.6E-4	6.3E-2	1.5E-2	1.0E-2
50	9.4E-2	7.8E-5	1.3E-4	3.5E-4	6.2E-2	1.5E-2	1.0E-2
51	9.4E-2	7.7E-5	1.3E-4	3.5E-4	6.2E-2	1.5E-2	1.0E-2
52	9.4E-2	7.7E-5	1.3E-4	3.5E-4	6.1E-2	1.6E-2	1.0E-2
53	9.4E-2	7.6E-5	1.3E-4	3.5E-4	6.1E-2	1.6E-2	1.0E-2
54	9.3E-2	7.6E-5	1.3E-4	3.5E-4	6.0E-2	1.6E-2	1.0E-2
55	9.3E-2	7.6E-5	1.3E-4	3.5E-4	6.0E-2	1.6E-2	1.0E-2
56	9.3E-2	7.5E-5	1.3E-4	3.5E-4	6.0E-2	1.6E-2	1.0E-2
57	9.3E-2	7.5E-5	1.3E-4	3.5E-4	5.9E-2	1.6E-2	1.1E-2
58	9.3E-2	7.4E-5	1.2E-4	3.4E-4	5.9E-2	1.6E-2	1.1E-2
59	9.2E-2	7.4E-5	1.2E-4	3.4E-4	5.8E-2	1.6E-2	1.1E-2
60	9.2E-2	7.4E-5	1.2E-4	3.4E-4	5.8E-2	1.7E-2	1.1E-2
61	9.2E-2	7.3E-5	1.2E-4	3.4E-4	5.8E-2	1.7E-2	1.1E-2
62	9.2E-2	7.3E-5	1.2E-4	3.4E-4	5.7E-2	1.7E-2	1.1E-2
63	9.2E-2	7.3E-5	1.2E-4	3.4E-4	5.7E-2	1.7E-2	1.1E-2
64	9.1E-2	7.2E-5	1.2E-4	3.4E-4	5.6E-2	1.7E-2	1.1E-2
65	9.1E-2	7.2E-5	1.2E-4	3.4E-4	5.6E-2	1.7E-2	1.1E-2
66	9.1E-2	7.2E-5	1.2E-4	3.4E-4	5.6E-2	1.7E-2	1.1E-2
67	9.1E-2	7.1E-5	1.2E-4	3.3E-4	5.5E-2	1.7E-2	1.1E-2
68	9.1E-2	7.1E-5	1.2E-4	3.3E-4	5.5E-2	1.7E-2	1.1E-2
69	9.0E-2	7.0E-5	1.1E-4	3.3E-4	5.5E-2	1.8E-2	1.1E-2
70	9.0E-2	7.0E-5	1.1E-4	3.3E-4	5.4E-2	1.8E-2	1.1E-2
71	9.0E-2	7.0E-5	1.1E-4	3.3E-4	5.4E-2	1.8E-2	1.1E-2
72	9.0E-2	6.9E-5	1.1E-4	3.3E-4	5.3E-2	1.8E-2	1.1E-2
73	9.0E-2	6.9E-5	1.1E-4	3.3E-4	5.3E-2	1.8E-2	1.2E-2
74	8.9E-2	6.9E-5	1.1E-4	3.3E-4	5.3E-2	1.8E-2	1.2E-2
75	8.9E-2	6.8E-5	1.1E-4	3.3E-4	5.2E-2	1.8E-2	1.2E-2
76	8.9E-2	6.8E-5	1.1E-4	3.2E-4	5.2E-2	1.8E-2	1.2E-2
77	8.9E-2	6.8E-5	1.1E-4	3.2E-4	5.2E-2	1.8E-2	1.2E-2
78	8.9E-2	6.7E-5	1.1E-4	3.2E-4	5.1E-2	1.9E-2	1.2E-2
79	8.9E-2	6.7E-5	1.1E-4	3.2E-4	5.1E-2	1.9E-2	1.2E-2
80	8.8E-2	6.7E-5	1.1E-4	3.2E-4	5.1E-2	1.9E-2	1.2E-2
81	8.8E-2	6.6E-5	1.0E-4	3.2E-4	5.0E-2	1.9E-2	1.2E-2
82	8.8E-2	6.6E-5	1.0E-4	3.2E-4	5.0E-2	1.9E-2	1.2E-2
83	8.8E-2	6.6E-5	1.0E-4	3.2E-4	5.0E-2	1.9E-2	1.2E-2
84	8.8E-2	6.6E-5	1.0E-4	3.2E-4	4.9E-2	1.9E-2	1.2E-2
85	8.8E-2	6.5E-5	1.0E-4	3.1E-4	4.9E-2	1.9E-2	1.2E-2
86	8.7E-2	6.5E-5	1.0E-4	3.1E-4	4.9E-2	1.9E-2	1.2E-2
87	8.7E-2	6.5E-5	1.0E-4	3.1E-4	4.8E-2	1.9E-2	1.2E-2
88	8.7E-2	6.4E-5	9.9E-5	3.1E-4	4.8E-2	2.0E-2	1.2E-2
89	8.7E-2	6.4E-5	9.8E-5	3.1E-4	4.8E-2	2.0E-2	1.2E-2
90	8.7E-2	6.4E-5	9.8E-5	3.1E-4	4.7E-2	2.0E-2	1.2E-2
91	8.7E-2	6.3E-5	9.7E-5	3.1E-4	4.7E-2	2.0E-2	1.2E-2
92	8.6E-2	6.3E-5	9.6E-5	3.1E-4	4.7E-2	2.0E-2	1.2E-2
93	8.6E-2	6.3E-5	9.6E-5	3.1E-4	4.6E-2	2.0E-2	1.3E-2
94	8.6E-2	6.2E-5	9.5E-5	3.1E-4	4.6E-2	2.0E-2	1.3E-2
95	8.6E-2	6.2E-5	9.4E-5	3.0E-4	4.6E-2	2.0E-2	1.3E-2
96	8.6E-2	6.2E-5	9.3E-5	3.0E-4	4.5E-2	2.0E-2	1.3E-2
97	8.6E-2	6.2E-5	9.3E-5	3.0E-4	4.5E-2	2.0E-2	1.3E-2
98	8.5E-2	6.1E-5	9.2E-5	3.0E-4	4.5E-2	2.1E-2	1.3E-2
99	8.5E-2	6.1E-5	9.1E-5	3.0E-4	4.4E-2	2.1E-2	1.3E-2
100	8.5E-2	6.1E-5	9.1E-5	3.0E-4	4.4E-2	2.1E-2	1.3E-2
110	8.4E-2	5.8E-5	8.4E-5	2.9E-4	4.1E-2	2.2E-2	1.3E-2
120	8.2E-2	5.5E-5	7.8E-5	2.8E-4	3.8E-2	2.3E-2	1.4E-2
130	8.1E-2	5.3E-5	7.2E-5	2.7E-4	3.6E-2	2.3E-2	1.4E-2
140	8.0E-2	5.0E-5	6.7E-5	2.6E-4	3.4E-2	2.4E-2	1.4E-2
150	7.8E-2	4.8E-5	6.2E-5	2.5E-4	3.1E-2	2.5E-2	1.5E-2
160	7.7E-2	4.6E-5	5.7E-5	2.5E-4	2.9E-2	2.6E-2	1.5E-2
170	7.6E-2	4.4E-5	5.3E-5	2.4E-4	2.7E-2	2.6E-2	1.5E-2
180	7.5E-2	4.2E-5	4.9E-5	2.3E-4	2.6E-2	2.7E-2	1.5E-2
190	7.4E-2	4.1E-5	4.6E-5	2.2E-4	2.4E-2	2.8E-2	1.5E-2
200	7.3E-2	3.9E-5	4.3E-5	2.2E-4	2.3E-2	2.8E-2	1.6E-2
210	7.3E-2	3.7E-5	4.0E-5	2.1E-4	2.1E-2	2.9E-2	1.6E-2
220	7.2E-2	3.6E-5	3.7E-5	2.0E-4	2.0E-2	2.9E-2	1.6E-2
230	7.1E-2	3.4E-5	3.4E-5	2.0E-4	1.8E-2	3.0E-2	1.6E-2
240	7.0E-2	3.3E-5	3.2E-5	1.9E-4	1.7E-2	3.0E-2	1.6E-2
250	7.0E-2	3.2E-5	3.0E-5	1.9E-4	1.6E-2	3.1E-2	1.6E-2
260	6.9E-2	3.1E-5	2.7E-5	1.8E-4	1.5E-2	3.1E-2	1.6E-2
270	6.9E-2	3.0E-5	2.6E-5	1.8E-4	1.4E-2	3.2E-2	1.6E-2
280	6.8E-2	2.8E-5	2.4E-5	1.7E-4	1.3E-2	3.2E-2	1.6E-2
290	6.7E-2	2.7E-5	2.2E-5	1.7E-4	1.3E-2	3.2E-2	1.6E-2
300	6.7E-2	2.7E-5	2.1E-5	1.6E-4	1.2E-2	3.3E-2	1.6E-2
310	6.6E-2	2.6E-5	1.9E-5	1.6E-4	1.1E-2	3.3E-2	1.6E-2
320	6.6E-2	2.5E-5	1.8E-5	1.6E-4	1.0E-2	3.3E-2	1.6E-2
330	6.5E-2	2.4E-5	1.7E-5	1.5E-4	9.7E-3	3.4E-2	1.6E-2
340	6.5E-2	2.3E-5	1.6E-5	1.5E-4	9.1E-3	3.4E-2	1.6E-2
350	6.5E-2	2.2E-5	1.5E-5	1.4E-4	8.6E-3	3.4E-2	1.6E-2
360	6.4E-2	2.2E-5	1.4E-5	1.4E-4	8.1E-3	3.4E-2	1.6E-2
365	6.4E-2	2.1E-5	1.3E-5	1.4E-4	7.8E-3	3.5E-2	1.6E-2
370	6.4E-2	2.1E-5	1.3E-5	1.4E-4	7.6E-3	3.5E-2	1.6E-2
380	6.4E-2	2.0E-5	1.2E-5	1.3E-4	7.1E-3	3.5E-2	1.6E-2
390	6.3E-2	2.0E-5	1.1E-5	1.3E-4	6.7E-3	3.5E-2	1.6E-2
400	6.3E-2	1.9E-5	1.1E-5	1.3E-4	6.3E-3	3.5E-2	1.6E-2
410	6.2E-2	1.9E-5	9.9E-6	1.3E-4	5.9E-3	3.6E-2	1.5E-2
420	6.2E-2	1.8E-5	9.3E-6	1.2E-4	5.6E-3	3.6E-2	1.5E-2
430	6.2E-2	1.8E-5	8.7E-6	1.2E-4	5.2E-3	3.6E-2	1.5E-2
440	6.2E-2	1.7E-5	8.2E-6	1.2E-4	4.9E-3	3.6E-2	1.5E-2
450	6.1E-2	1.7E-5	7.7E-6	1.2E-4	4.6E-3	3.6E-2	1.5E-2
460	6.1E-2	1.6E-5	7.3E-6	1.2E-4	4.4E-3	3.6E-2	1.5E-2
470	6.1E-2	1.6E-5	6.9E-6	1.1E-4	4.1E-3	3.7E-2	1.5E-2
480	6.1E-2	1.6E-5	6.5E-6	1.1E-4	3.9E-3	3.7E-2	1.5E-2
490	6.0E-2	1.5E-5	6.1E-6	1.1E-4	3.6E-3	3.7E-2	1.5E-2
500	6.0E-2	1.5E-5	5.8E-6	1.1E-4	3.4E-3	3.7E-2	1.5E-2
510	6.0E-2	1.5E-5	5.5E-6	1.1E-4	3.2E-3	3.7E-2	1.4E-2
520	6.0E-2	1.4E-5	5.2E-6	1.0E-4	3.1E-3	3.7E-2	1.4E-2
530	5.9E-2	1.4E-5	4.9E-6	1.0E-4	2.9E-3	3.7E-2	1.4E-2
540	5.9E-2	1.4E-5	4.7E-6	1.0E-4	2.7E-3	3.8E-2	1.4E-2
550	5.9E-2	1.3E-5	4.5E-6	1.0E-4	2.6E-3	3.8E-2	1.4E-2
560	5.9E-2	1.3E-5	4.2E-6	9.9E-5	2.4E-3	3.8E-2	1.4E-2
570	5.9E-2	1.3E-5	4.0E-6	9.7E-5	2.3E-3	3.8E-2	1.4E-2
580	5.8E-2	1.3E-5	3.9E-6	9.6E-5	2.2E-3	3.8E-2	1.4E-2
590	5.8E-2	1.2E-5	3.7E-6	9.5E-5	2.0E-3	3.8E-2	1.3E-2
600	5.8E-2	1.2E-5	3.5E-6	9.4E-5	1.9E-3	3.8E-2	1.3E-2
610	5.8E-2	1.2E-5	3.4E-6	9.3E-5	1.8E-3	3.8E-2	1.3E-2
620	5.8E-2	1.2E-5	3.2E-6	9.2E-5	1.7E-3	3.8E-2	1.3E-2
