Radionuclide	Fe-59
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.1
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	8.7E-1	-	-	7.8E-2	8.3E-2	1.6E-1	6.5E-2
0.083333	8.7E-1	-	-	6.8E-2	4.9E-2	3.2E-1	5.6E-2
0.125	8.7E-1	-	-	6.2E-2	3.2E-2	4.2E-1	5.0E-2
0.25	8.6E-1	-	-	5.6E-2	1.2E-2	5.6E-1	4.3E-2
0.375	8.5E-1	-	-	5.9E-2	8.6E-3	5.9E-1	4.3E-2
0.5	8.5E-1	-	-	6.2E-2	9.2E-3	5.9E-1	4.5E-2
0.625	8.4E-1	-	-	6.4E-2	1.1E-2	5.8E-1	4.7E-2
0.75	8.3E-1	-	-	6.5E-2	1.3E-2	5.7E-1	4.9E-2
0.875	8.3E-1	-	-	6.5E-2	1.5E-2	5.6E-1	5.1E-2
1	8.2E-1	1.1E-4	1.0E-2	6.4E-2	1.6E-2	5.5E-1	5.3E-2
1.125	8.2E-1	-	-	6.3E-2	1.8E-2	5.4E-1	5.5E-2
1.25	8.1E-1	-	-	6.1E-2	2.0E-2	5.3E-1	5.7E-2
1.375	8.0E-1	-	-	5.8E-2	2.2E-2	5.1E-1	5.9E-2
1.5	8.0E-1	-	-	5.6E-2	2.3E-2	5.0E-1	6.0E-2
1.625	7.9E-1	-	-	5.3E-2	2.5E-2	4.9E-1	6.2E-2
1.75	7.9E-1	-	-	5.0E-2	2.6E-2	4.8E-1	6.4E-2
1.875	7.8E-1	-	-	4.7E-2	2.8E-2	4.7E-1	6.5E-2
2	7.8E-1	9.6E-6	3.0E-2	4.5E-2	2.9E-2	4.5E-1	6.7E-2
2.25	7.7E-1	-	-	4.0E-2	3.2E-2	4.3E-1	6.9E-2
2.5	7.6E-1	-	-	3.7E-2	3.5E-2	4.1E-1	7.2E-2
2.75	7.5E-1	-	-	3.4E-2	3.7E-2	3.9E-1	7.4E-2
3	7.5E-1	1.0E-5	1.9E-2	3.2E-2	3.9E-2	3.7E-1	7.6E-2
3.25	7.4E-1	-	-	3.1E-2	4.1E-2	3.5E-1	7.9E-2
3.5	7.4E-1	-	-	3.0E-2	4.3E-2	3.3E-1	8.0E-2
3.75	7.3E-1	-	-	2.9E-2	4.5E-2	3.2E-1	8.2E-2
4	7.3E-1	1.0E-5	6.9E-3	2.9E-2	4.7E-2	3.0E-1	8.4E-2
