Radionuclide	In-115
Route of Intake	Inhalation
Material	Aerosols Type M, fA=1E-3
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
6.5	6.4E-2	-	-	2.1E-3	4.4E-2	2.2E-3	2.8E-3
7	6.4E-2	1.2E-5	1.8E-3	1.6E-3	4.3E-2	2.2E-3	2.9E-3
7.5	6.3E-2	-	-	1.4E-3	4.3E-2	2.2E-3	2.9E-3
8	6.3E-2	1.2E-5	8.6E-4	1.2E-3	4.3E-2	2.2E-3	2.9E-3
8.5	6.3E-2	-	-	1.1E-3	4.2E-2	2.2E-3	2.9E-3
9	6.2E-2	1.2E-5	5.8E-4	1.1E-3	4.2E-2	2.3E-3	2.9E-3
9.5	6.2E-2	-	-	9.9E-4	4.2E-2	2.3E-3	2.9E-3
10	6.2E-2	1.1E-5	4.6E-4	9.3E-4	4.1E-2	2.3E-3	2.9E-3
11	6.1E-2	1.1E-5	3.9E-4	8.4E-4	4.1E-2	2.3E-3	3.0E-3
12	6.1E-2	1.1E-5	3.3E-4	7.6E-4	4.0E-2	2.3E-3	3.0E-3
13	6.1E-2	1.1E-5	2.8E-4	7.0E-4	4.0E-2	2.3E-3	3.0E-3
14	6.0E-2	1.0E-5	2.5E-4	6.6E-4	4.0E-2	2.3E-3	3.1E-3
15	6.0E-2	1.0E-5	2.2E-4	6.2E-4	3.9E-2	2.4E-3	3.1E-3
16	6.0E-2	1.0E-5	1.9E-4	5.9E-4	3.9E-2	2.4E-3	3.1E-3
17	6.0E-2	9.8E-6	1.7E-4	5.6E-4	3.9E-2	2.4E-3	3.2E-3
18	6.0E-2	9.6E-6	1.6E-4	5.4E-4	3.8E-2	2.4E-3	3.2E-3
19	6.0E-2	9.4E-6	1.4E-4	5.3E-4	3.8E-2	2.4E-3	3.2E-3
20	5.9E-2	9.2E-6	1.3E-4	5.1E-4	3.8E-2	2.5E-3	3.2E-3
21	5.9E-2	9.0E-6	1.2E-4	5.0E-4	3.7E-2	2.5E-3	3.3E-3
22	5.9E-2	8.9E-6	1.1E-4	4.9E-4	3.7E-2	2.5E-3	3.3E-3
23	5.9E-2	8.7E-6	1.1E-4	4.9E-4	3.7E-2	2.5E-3	3.3E-3
24	5.9E-2	8.5E-6	1.0E-4	4.8E-4	3.7E-2	2.5E-3	3.4E-3
25	5.9E-2	8.4E-6	9.9E-5	4.8E-4	3.6E-2	2.6E-3	3.4E-3
26	5.9E-2	8.2E-6	9.6E-5	4.8E-4	3.6E-2	2.6E-3	3.4E-3
27	5.9E-2	8.1E-6	9.2E-5	4.7E-4	3.6E-2	2.6E-3	3.4E-3
28	5.9E-2	8.0E-6	9.0E-5	4.7E-4	3.6E-2	2.6E-3	3.5E-3
29	5.8E-2	7.8E-6	8.8E-5	4.7E-4	3.5E-2	2.6E-3	3.5E-3
30	5.8E-2	7.7E-6	8.6E-5	4.7E-4	3.5E-2	2.6E-3	3.5E-3
31	5.8E-2	7.6E-6	8.4E-5	4.7E-4	3.5E-2	2.7E-3	3.5E-3
32	5.8E-2	7.5E-6	8.3E-5	4.7E-4	3.5E-2	2.7E-3	3.6E-3
33	5.8E-2	7.4E-6	8.2E-5	4.7E-4	3.4E-2	2.7E-3	3.6E-3
34	5.8E-2	7.3E-6	8.0E-5	4.7E-4	3.4E-2	2.7E-3	3.6E-3
35	5.8E-2	7.1E-6	7.9E-5	4.7E-4	3.4E-2	2.7E-3	3.6E-3
36	5.8E-2	7.0E-6	7.8E-5	4.7E-4	3.4E-2	2.7E-3	3.7E-3
37	5.8E-2	7.0E-6	7.8E-5	4.7E-4	3.3E-2	2.8E-3	3.7E-3
38	5.8E-2	6.9E-6	7.7E-5	4.7E-4	3.3E-2	2.8E-3	3.7E-3
39	5.8E-2	6.8E-6	7.6E-5	4.7E-4	3.3E-2	2.8E-3	3.7E-3
40	5.7E-2	6.7E-6	7.5E-5	4.8E-4	3.3E-2	2.8E-3	3.8E-3
41	5.7E-2	6.6E-6	7.5E-5	4.8E-4	3.3E-2	2.8E-3	3.8E-3
42	5.7E-2	6.5E-6	7.4E-5	4.8E-4	3.2E-2	2.8E-3	3.8E-3
43	5.7E-2	6.4E-6	7.4E-5	4.8E-4	3.2E-2	2.9E-3	3.8E-3
44	5.7E-2	6.4E-6	7.3E-5	4.8E-4	3.2E-2	2.9E-3	3.9E-3
45	5.7E-2	6.3E-6	7.2E-5	4.8E-4	3.2E-2	2.9E-3	3.9E-3
46	5.7E-2	6.2E-6	7.2E-5	4.8E-4	3.1E-2	2.9E-3	3.9E-3
47	5.7E-2	6.2E-6	7.1E-5	4.8E-4	3.1E-2	2.9E-3	3.9E-3
48	5.7E-2	6.1E-6	7.1E-5	4.8E-4	3.1E-2	2.9E-3	4.0E-3
49	5.7E-2	6.0E-6	7.0E-5	4.8E-4	3.1E-2	2.9E-3	4.0E-3
50	5.7E-2	6.0E-6	7.0E-5	4.9E-4	3.1E-2	3.0E-3	4.0E-3
51	5.7E-2	5.9E-6	6.9E-5	4.9E-4	3.0E-2	3.0E-3	4.0E-3
52	5.7E-2	5.9E-6	6.9E-5	4.9E-4	3.0E-2	3.0E-3	4.1E-3
53	5.6E-2	5.8E-6	6.9E-5	4.9E-4	3.0E-2	3.0E-3	4.1E-3
54	5.6E-2	5.8E-6	6.8E-5	4.9E-4	3.0E-2	3.0E-3	4.1E-3
55	5.6E-2	5.7E-6	6.8E-5	4.9E-4	3.0E-2	3.0E-3	4.1E-3
56	5.6E-2	5.7E-6	6.7E-5	4.9E-4	2.9E-2	3.0E-3	4.1E-3
57	5.6E-2	5.6E-6	6.7E-5	4.9E-4	2.9E-2	3.1E-3	4.2E-3
58	5.6E-2	5.6E-6	6.6E-5	4.9E-4	2.9E-2	3.1E-3	4.2E-3
59	5.6E-2	5.5E-6	6.6E-5	4.9E-4	2.9E-2	3.1E-3	4.2E-3
60	5.6E-2	5.5E-6	6.5E-5	5.0E-4	2.9E-2	3.1E-3	4.2E-3
61	5.6E-2	5.5E-6	6.5E-5	5.0E-4	2.8E-2	3.1E-3	4.3E-3
62	5.6E-2	5.4E-6	6.5E-5	5.0E-4	2.8E-2	3.1E-3	4.3E-3
63	5.6E-2	5.4E-6	6.4E-5	5.0E-4	2.8E-2	3.1E-3	4.3E-3
64	5.6E-2	5.3E-6	6.4E-5	5.0E-4	2.8E-2	3.1E-3	4.3E-3
65	5.6E-2	5.3E-6	6.3E-5	5.0E-4	2.8E-2	3.2E-3	4.3E-3
66	5.6E-2	5.3E-6	6.3E-5	5.0E-4	2.7E-2	3.2E-3	4.4E-3
67	5.5E-2	5.2E-6	6.2E-5	5.0E-4	2.7E-2	3.2E-3	4.4E-3
68	5.5E-2	5.2E-6	6.2E-5	5.0E-4	2.7E-2	3.2E-3	4.4E-3
69	5.5E-2	5.2E-6	6.2E-5	5.0E-4	2.7E-2	3.2E-3	4.4E-3
70	5.5E-2	5.1E-6	6.1E-5	5.0E-4	2.7E-2	3.2E-3	4.4E-3
71	5.5E-2	5.1E-6	6.1E-5	5.1E-4	2.7E-2	3.2E-3	4.5E-3
72	5.5E-2	5.1E-6	6.0E-5	5.1E-4	2.6E-2	3.2E-3	4.5E-3
73	5.5E-2	5.1E-6	6.0E-5	5.1E-4	2.6E-2	3.2E-3	4.5E-3
74	5.5E-2	5.0E-6	6.0E-5	5.1E-4	2.6E-2	3.3E-3	4.5E-3
75	5.5E-2	5.0E-6	5.9E-5	5.1E-4	2.6E-2	3.3E-3	4.5E-3
76	5.5E-2	5.0E-6	5.9E-5	5.1E-4	2.6E-2	3.3E-3	4.6E-3
77	5.5E-2	4.9E-6	5.9E-5	5.1E-4	2.5E-2	3.3E-3	4.6E-3
78	5.5E-2	4.9E-6	5.8E-5	5.1E-4	2.5E-2	3.3E-3	4.6E-3
79	5.5E-2	4.9E-6	5.8E-5	5.1E-4	2.5E-2	3.3E-3	4.6E-3
80	5.5E-2	4.9E-6	5.7E-5	5.1E-4	2.5E-2	3.3E-3	4.6E-3
81	5.5E-2	4.9E-6	5.7E-5	5.1E-4	2.5E-2	3.3E-3	4.7E-3
82	5.4E-2	4.8E-6	5.7E-5	5.1E-4	2.5E-2	3.3E-3	4.7E-3
83	5.4E-2	4.8E-6	5.6E-5	5.2E-4	2.4E-2	3.4E-3	4.7E-3
84	5.4E-2	4.8E-6	5.6E-5	5.2E-4	2.4E-2	3.4E-3	4.7E-3
85	5.4E-2	4.8E-6	5.6E-5	5.2E-4	2.4E-2	3.4E-3	4.7E-3
86	5.4E-2	4.8E-6	5.5E-5	5.2E-4	2.4E-2	3.4E-3	4.7E-3
87	5.4E-2	4.7E-6	5.5E-5	5.2E-4	2.4E-2	3.4E-3	4.8E-3
88	5.4E-2	4.7E-6	5.5E-5	5.2E-4	2.4E-2	3.4E-3	4.8E-3
89	5.4E-2	4.7E-6	5.4E-5	5.2E-4	2.3E-2	3.4E-3	4.8E-3
90	5.4E-2	4.7E-6	5.4E-5	5.2E-4	2.3E-2	3.4E-3	4.8E-3
91	5.4E-2	4.7E-6	5.4E-5	5.2E-4	2.3E-2	3.4E-3	4.8E-3
92	5.4E-2	4.6E-6	5.3E-5	5.2E-4	2.3E-2	3.4E-3	4.9E-3
93	5.4E-2	4.6E-6	5.3E-5	5.2E-4	2.3E-2	3.5E-3	4.9E-3
94	5.4E-2	4.6E-6	5.3E-5	5.2E-4	2.3E-2	3.5E-3	4.9E-3
95	5.4E-2	4.6E-6	5.2E-5	5.3E-4	2.3E-2	3.5E-3	4.9E-3
96	5.4E-2	4.6E-6	5.2E-5	5.3E-4	2.2E-2	3.5E-3	4.9E-3
97	5.4E-2	4.6E-6	5.2E-5	5.3E-4	2.2E-2	3.5E-3	4.9E-3
98	5.4E-2	4.6E-6	5.1E-5	5.3E-4	2.2E-2	3.5E-3	5.0E-3
99	5.4E-2	4.5E-6	5.1E-5	5.3E-4	2.2E-2	3.5E-3	5.0E-3
100	5.3E-2	4.5E-6	5.1E-5	5.3E-4	2.2E-2	3.5E-3	5.0E-3
110	5.3E-2	4.4E-6	4.8E-5	5.4E-4	2.0E-2	3.6E-3	5.1E-3
120	5.2E-2	4.3E-6	4.5E-5	5.4E-4	1.9E-2	3.7E-3	5.3E-3
130	5.2E-2	4.2E-6	4.2E-5	5.5E-4	1.8E-2	3.7E-3	5.4E-3
140	5.1E-2	4.1E-6	4.0E-5	5.5E-4	1.7E-2	3.8E-3	5.6E-3
150	5.1E-2	4.1E-6	3.8E-5	5.6E-4	1.6E-2	3.9E-3	5.7E-3
160	5.1E-2	4.0E-6	3.6E-5	5.6E-4	1.5E-2	3.9E-3	5.8E-3
170	5.0E-2	3.9E-6	3.4E-5	5.7E-4	1.4E-2	4.0E-3	5.9E-3
180	5.0E-2	3.9E-6	3.2E-5	5.7E-4	1.3E-2	4.0E-3	6.0E-3
190	5.0E-2	3.8E-6	3.1E-5	5.8E-4	1.2E-2	4.0E-3	6.1E-3
200	4.9E-2	3.8E-6	2.9E-5	5.8E-4	1.1E-2	4.1E-3	6.2E-3
210	4.9E-2	3.8E-6	2.8E-5	5.8E-4	1.1E-2	4.1E-3	6.2E-3
220	4.9E-2	3.7E-6	2.7E-5	5.8E-4	1.0E-2	4.1E-3	6.3E-3
230	4.8E-2	3.7E-6	2.5E-5	5.9E-4	9.3E-3	4.1E-3	6.4E-3
240	4.8E-2	3.6E-6	2.4E-5	5.9E-4	8.8E-3	4.2E-3	6.4E-3
250	4.8E-2	3.6E-6	2.3E-5	5.9E-4	8.2E-3	4.2E-3	6.5E-3
260	4.7E-2	3.6E-6	2.2E-5	5.9E-4	7.7E-3	4.2E-3	6.5E-3
270	4.7E-2	3.5E-6	2.2E-5	5.9E-4	7.3E-3	4.2E-3	6.6E-3
280	4.7E-2	3.5E-6	2.1E-5	5.9E-4	6.8E-3	4.2E-3	6.6E-3
290	4.7E-2	3.5E-6	2.0E-5	6.0E-4	6.4E-3	4.2E-3	6.7E-3
300	4.6E-2	3.4E-6	1.9E-5	6.0E-4	6.1E-3	4.2E-3	6.7E-3
310	4.6E-2	3.4E-6	1.9E-5	6.0E-4	5.7E-3	4.2E-3	6.7E-3
320	4.6E-2	3.4E-6	1.8E-5	6.0E-4	5.4E-3	4.2E-3	6.8E-3
330	4.6E-2	3.4E-6	1.8E-5	6.0E-4	5.1E-3	4.2E-3	6.8E-3
340	4.6E-2	3.4E-6	1.7E-5	6.0E-4	4.8E-3	4.2E-3	6.8E-3
350	4.5E-2	3.3E-6	1.7E-5	6.0E-4	4.5E-3	4.2E-3	6.8E-3
360	4.5E-2	3.3E-6	1.6E-5	6.0E-4	4.2E-3	4.2E-3	6.8E-3
365	4.5E-2	3.3E-6	1.6E-5	6.0E-4	4.1E-3	4.2E-3	6.9E-3
370	4.5E-2	3.3E-6	1.6E-5	6.0E-4	4.0E-3	4.2E-3	6.9E-3
380	4.5E-2	3.3E-6	1.6E-5	6.0E-4	3.8E-3	4.2E-3	6.9E-3
390	4.5E-2	3.2E-6	1.5E-5	6.0E-4	3.6E-3	4.2E-3	6.9E-3
400	4.4E-2	3.2E-6	1.5E-5	6.0E-4	3.4E-3	4.2E-3	6.9E-3
410	4.4E-2	3.2E-6	1.5E-5	6.0E-4	3.2E-3	4.2E-3	6.9E-3
420	4.4E-2	3.2E-6	1.4E-5	6.0E-4	3.0E-3	4.2E-3	6.9E-3
430	4.4E-2	3.2E-6	1.4E-5	6.0E-4	2.9E-3	4.2E-3	6.9E-3
440	4.4E-2	3.2E-6	1.4E-5	6.0E-4	2.7E-3	4.2E-3	6.9E-3
450	4.4E-2	3.1E-6	1.4E-5	6.0E-4	2.6E-3	4.2E-3	6.9E-3
460	4.3E-2	3.1E-6	1.3E-5	5.9E-4	2.4E-3	4.1E-3	6.9E-3
470	4.3E-2	3.1E-6	1.3E-5	5.9E-4	2.3E-3	4.1E-3	6.9E-3
480	4.3E-2	3.1E-6	1.3E-5	5.9E-4	2.2E-3	4.1E-3	6.9E-3
490	4.3E-2	3.1E-6	1.3E-5	5.9E-4	2.1E-3	4.1E-3	6.9E-3
500	4.3E-2	3.1E-6	1.3E-5	5.9E-4	2.0E-3	4.1E-3	6.9E-3
510	4.3E-2	3.1E-6	1.3E-5	5.9E-4	1.9E-3	4.1E-3	6.9E-3
520	4.2E-2	3.0E-6	1.2E-5	5.9E-4	1.8E-3	4.1E-3	6.9E-3
530	4.2E-2	3.0E-6	1.2E-5	5.9E-4	1.7E-3	4.1E-3	6.9E-3
540	4.2E-2	3.0E-6	1.2E-5	5.9E-4	1.6E-3	4.1E-3	6.9E-3
550	4.2E-2	3.0E-6	1.2E-5	5.8E-4	1.5E-3	4.0E-3	6.9E-3
560	4.2E-2	3.0E-6	1.2E-5	5.8E-4	1.5E-3	4.0E-3	6.9E-3
570	4.2E-2	3.0E-6	1.2E-5	5.8E-4	1.4E-3	4.0E-3	6.9E-3
580	4.2E-2	3.0E-6	1.2E-5	5.8E-4	1.3E-3	4.0E-3	6.9E-3
590	4.1E-2	3.0E-6	1.2E-5	5.8E-4	1.3E-3	4.0E-3	6.9E-3
600	4.1E-2	2.9E-6	1.2E-5	5.8E-4	1.2E-3	4.0E-3	6.9E-3
610	4.1E-2	2.9E-6	1.1E-5	5.8E-4	1.2E-3	4.0E-3	6.8E-3
620	4.1E-2	2.9E-6	1.1E-5	5.8E-4	1.1E-3	4.0E-3	6.8E-3
630	4.1E-2	2.9E-6	1.1E-5	5.7E-4	1.1E-3	3.9E-3	6.8E-3
640	4.1E-2	2.9E-6	1.1E-5	5.7E-4	1.0E-3	3.9E-3	6.8E-3
650	4.1E-2	2.9E-6	1.1E-5	5.7E-4	9.8E-4	3.9E-3	6.8E-3
660	4.0E-2	2.9E-6	1.1E-5	5.7E-4	9.4E-4	3.9E-3	6.8E-3
670	4.0E-2	2.9E-6	1.1E-5	5.7E-4	9.0E-4	3.9E-3	6.8E-3
680	4.0E-2	2.9E-6	1.1E-5	5.7E-4	8.6E-4	3.9E-3	6.8E-3
690	4.0E-2	2.8E-6	1.1E-5	5.6E-4	8.3E-4	3.9E-3	6.7E-3
700	4.0E-2	2.8E-6	1.1E-5	5.6E-4	8.0E-4	3.9E-3	6.7E-3
710	4.0E-2	2.8E-6	1.1E-5	5.6E-4	7.7E-4	3.8E-3	6.7E-3
720	4.0E-2	2.8E-6	1.1E-5	5.6E-4	7.4E-4	3.8E-3	6.7E-3
730	3.9E-2	2.8E-6	1.1E-5	5.6E-4	7.1E-4	3.8E-3	6.7E-3
740	3.9E-2	2.8E-6	1.1E-5	5.6E-4	6.9E-4	3.8E-3	6.7E-3
750	3.9E-2	2.8E-6	1.1E-5	5.5E-4	6.6E-4	3.8E-3	6.6E-3
760	3.9E-2	2.8E-6	1.1E-5	5.5E-4	6.4E-4	3.8E-3	6.6E-3
770	3.9E-2	2.8E-6	1.1E-5	5.5E-4	6.2E-4	3.8E-3	6.6E-3
780	3.9E-2	2.8E-6	1.0E-5	5.5E-4	6.0E-4	3.8E-3	6.6E-3
790	3.9E-2	2.7E-6	1.0E-5	5.5E-4	5.8E-4	3.7E-3	6.6E-3
800	3.9E-2	2.7E-6	1.0E-5	5.5E-4	5.6E-4	3.7E-3	6.6E-3
810	3.8E-2	2.7E-6	1.0E-5	5.4E-4	5.5E-4	3.7E-3	6.5E-3
820	3.8E-2	2.7E-6	1.0E-5	5.4E-4	5.3E-4	3.7E-3	6.5E-3
830	3.8E-2	2.7E-6	1.0E-5	5.4E-4	5.1E-4	3.7E-3	6.5E-3
840	3.8E-2	2.7E-6	1.0E-5	5.4E-4	5.0E-4	3.7E-3	6.5E-3
850	3.8E-2	2.7E-6	1.0E-5	5.4E-4	4.9E-4	3.7E-3	6.5E-3
860	3.8E-2	2.7E-6	1.0E-5	5.4E-4	4.7E-4	3.7E-3	6.4E-3
870	3.8E-2	2.7E-6	1.0E-5	5.3E-4	4.6E-4	3.6E-3	6.4E-3
880	3.7E-2	2.7E-6	1.0E-5	5.3E-4	4.5E-4	3.6E-3	6.4E-3
890	3.7E-2	2.6E-6	1.0E-5	5.3E-4	4.4E-4	3.6E-3	6.4E-3
900	3.7E-2	2.6E-6	1.0E-5	5.3E-4	4.3E-4	3.6E-3	6.4E-3
910	3.7E-2	2.6E-6	1.0E-5	5.3E-4	4.2E-4	3.6E-3	6.4E-3
920	3.7E-2	2.6E-6	9.9E-6	5.3E-4	4.1E-4	3.6E-3	6.3E-3
930	3.7E-2	2.6E-6	9.9E-6	5.2E-4	4.0E-4	3.6E-3	6.3E-3
940	3.7E-2	2.6E-6	9.8E-6	5.2E-4	3.9E-4	3.6E-3	6.3E-3
950	3.7E-2	2.6E-6	9.8E-6	5.2E-4	3.8E-4	3.5E-3	6.3E-3
960	3.6E-2	2.6E-6	9.8E-6	5.2E-4	3.7E-4	3.5E-3	6.3E-3
970	3.6E-2	2.6E-6	9.7E-6	5.2E-4	3.7E-4	3.5E-3	6.2E-3
980	3.6E-2	2.6E-6	9.7E-6	5.2E-4	3.6E-4	3.5E-3	6.2E-3
990	3.6E-2	2.6E-6	9.7E-6	5.1E-4	3.5E-4	3.5E-3	6.2E-3
1000	3.6E-2	2.5E-6	9.6E-6	5.1E-4	3.4E-4	3.5E-3	6.2E-3
1010	3.6E-2	2.5E-6	9.6E-6	5.1E-4	3.4E-4	3.5E-3	6.2E-3
1020	3.6E-2	2.5E-6	9.6E-6	5.1E-4	3.3E-4	3.5E-3	6.1E-3
1030	3.6E-2	2.5E-6	9.5E-6	5.1E-4	3.3E-4	3.4E-3	6.1E-3
1040	3.6E-2	2.5E-6	9.5E-6	5.1E-4	3.2E-4	3.4E-3	6.1E-3
1050	3.5E-2	2.5E-6	9.5E-6	5.0E-4	3.2E-4	3.4E-3	6.1E-3
1060	3.5E-2	2.5E-6	9.4E-6	5.0E-4	3.1E-4	3.4E-3	6.1E-3
1070	3.5E-2	2.5E-6	9.4E-6	5.0E-4	3.1E-4	3.4E-3	6.1E-3
1080	3.5E-2	2.5E-6	9.4E-6	5.0E-4	3.0E-4	3.4E-3	6.0E-3
1090	3.5E-2	2.5E-6	9.4E-6	5.0E-4	3.0E-4	3.4E-3	6.0E-3
1095	3.5E-2	2.5E-6	9.3E-6	5.0E-4	3.0E-4	3.4E-3	6.0E-3
1100	3.5E-2	2.5E-6	9.3E-6	5.0E-4	2.9E-4	3.4E-3	6.0E-3
1200	3.4E-2	2.4E-6	9.0E-6	4.8E-4	2.6E-4	3.3E-3	5.8E-3
1300	3.3E-2	2.3E-6	8.7E-6	4.6E-4	2.4E-4	3.1E-3	5.6E-3
1400	3.1E-2	2.2E-6	8.4E-6	4.5E-4	2.2E-4	3.0E-3	5.4E-3
1500	3.0E-2	2.1E-6	8.1E-6	4.3E-4	2.1E-4	2.9E-3	5.3E-3
1600	2.9E-2	2.1E-6	7.9E-6	4.2E-4	2.0E-4	2.8E-3	5.1E-3
1700	2.8E-2	2.0E-6	7.6E-6	4.1E-4	1.9E-4	2.7E-3	4.9E-3
1800	2.7E-2	1.9E-6	7.4E-6	3.9E-4	1.8E-4	2.7E-3	4.8E-3
1900	2.7E-2	1.9E-6	7.1E-6	3.8E-4	1.8E-4	2.6E-3	4.6E-3
2000	2.6E-2	1.8E-6	6.9E-6	3.7E-4	1.7E-4	2.5E-3	4.4E-3
2100	2.5E-2	1.8E-6	6.6E-6	3.5E-4	1.7E-4	2.4E-3	4.3E-3
2200	2.4E-2	1.7E-6	6.4E-6	3.4E-4	1.6E-4	2.3E-3	4.2E-3
2300	2.3E-2	1.6E-6	6.2E-6	3.3E-4	1.5E-4	2.2E-3	4.0E-3
2400	2.2E-2	1.6E-6	6.0E-6	3.2E-4	1.5E-4	2.2E-3	3.9E-3
2500	2.2E-2	1.5E-6	5.8E-6	3.1E-4	1.4E-4	2.1E-3	3.7E-3
2600	2.1E-2	1.5E-6	5.6E-6	3.0E-4	1.4E-4	2.0E-3	3.6E-3
2700	2.0E-2	1.4E-6	5.4E-6	2.9E-4	1.3E-4	2.0E-3	3.5E-3
2800	2.0E-2	1.4E-6	5.2E-6	2.8E-4	1.3E-4	1.9E-3	3.4E-3
2900	1.9E-2	1.3E-6	5.1E-6	2.7E-4	1.3E-4	1.8E-3	3.3E-3
3000	1.8E-2	1.3E-6	4.9E-6	2.6E-4	1.2E-4	1.8E-3	3.2E-3
3100	1.8E-2	1.2E-6	4.7E-6	2.5E-4	1.2E-4	1.7E-3	3.1E-3
3200	1.7E-2	1.2E-6	4.6E-6	2.4E-4	1.1E-4	1.7E-3	3.0E-3
3300	1.7E-2	1.2E-6	4.4E-6	2.4E-4	1.1E-4	1.6E-3	2.9E-3
3400	1.6E-2	1.1E-6	4.3E-6	2.3E-4	1.1E-4	1.5E-3	2.8E-3
3500	1.5E-2	1.1E-6	4.1E-6	2.2E-4	1.0E-4	1.5E-3	2.7E-3
3600	1.5E-2	1.1E-6	4.0E-6	2.1E-4	9.9E-5	1.4E-3	2.6E-3
3650	1.5E-2	1.0E-6	3.9E-6	2.1E-4	9.8E-5	1.4E-3	2.5E-3
4000	1.3E-2	9.2E-7	3.5E-6	1.9E-4	8.7E-5	1.3E-3	2.3E-3
5000	9.3E-3	6.6E-7	2.5E-6	1.3E-4	6.2E-5	9.0E-4	1.6E-3
6000	6.6E-3	4.7E-7	1.8E-6	9.5E-5	4.4E-5	6.4E-4	1.1E-3
7000	4.7E-3	3.3E-7	1.3E-6	6.7E-5	3.1E-5	4.6E-4	8.2E-4
8000	3.4E-3	2.4E-7	9.0E-7	4.8E-5	2.2E-5	3.3E-4	5.8E-4
9000	2.4E-3	1.7E-7	6.4E-7	3.4E-5	1.6E-5	2.3E-4	4.1E-4
10000	1.7E-3	1.2E-7	4.6E-7	2.4E-5	1.1E-5	1.7E-4	3.0E-4
11000	1.2E-3	8.6E-8	3.3E-7	1.7E-5	8.1E-6	1.2E-4	2.1E-4
12000	8.7E-4	6.1E-8	2.3E-7	1.2E-5	5.8E-6	8.4E-5	1.5E-4
13000	6.2E-4	4.4E-8	1.7E-7	8.8E-6	4.1E-6	6.0E-5	1.1E-4
14000	4.4E-4	3.1E-8	1.2E-7	6.3E-6	2.9E-6	4.3E-5	7.6E-5
15000	3.1E-4	2.2E-8	8.4E-8	4.5E-6	2.1E-6	3.0E-5	5.4E-5
16000	2.2E-4	1.6E-8	6.0E-8	3.2E-6	1.5E-6	2.2E-5	3.9E-5
