Radionuclide	Se-72
Route of Intake	Inhalation
Material	Aerosols Type M, fA=0.16
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
39	5.1E-3	1.5E-5	1.0E-5	6.0E-5	2.7E-3	2.9E-4	2.7E-4
40	4.7E-3	1.4E-5	9.5E-6	5.5E-5	2.4E-3	2.7E-4	2.5E-4
41	4.3E-3	1.2E-5	8.6E-6	5.1E-5	2.2E-3	2.5E-4	2.3E-4
42	3.9E-3	1.1E-5	7.9E-6	4.7E-5	2.0E-3	2.3E-4	2.1E-4
43	3.6E-3	1.0E-5	7.2E-6	4.3E-5	1.9E-3	2.1E-4	1.9E-4
44	3.3E-3	9.4E-6	6.6E-6	3.9E-5	1.7E-3	2.0E-4	1.7E-4
45	3.0E-3	8.6E-6	6.0E-6	3.6E-5	1.6E-3	1.8E-4	1.6E-4
46	2.8E-3	7.9E-6	5.5E-6	3.3E-5	1.4E-3	1.7E-4	1.4E-4
47	2.5E-3	7.2E-6	5.0E-6	3.0E-5	1.3E-3	1.6E-4	1.3E-4
48	2.3E-3	6.6E-6	4.6E-6	2.8E-5	1.2E-3	1.4E-4	1.2E-4
49	2.1E-3	6.0E-6	4.2E-6	2.5E-5	1.1E-3	1.3E-4	1.1E-4
50	1.9E-3	5.5E-6	3.8E-6	2.3E-5	1.0E-3	1.2E-4	1.0E-4
51	1.8E-3	5.0E-6	3.5E-6	2.1E-5	9.1E-4	1.1E-4	9.2E-5
52	1.6E-3	4.6E-6	3.2E-6	2.0E-5	8.4E-4	1.0E-4	8.4E-5
53	1.5E-3	4.2E-6	2.9E-6	1.8E-5	7.6E-4	9.7E-5	7.7E-5
54	1.4E-3	3.9E-6	2.7E-6	1.7E-5	7.0E-4	8.9E-5	7.0E-5
55	1.3E-3	3.5E-6	2.4E-6	1.5E-5	6.4E-4	8.2E-5	6.4E-5
56	1.2E-3	3.2E-6	2.2E-6	1.4E-5	5.8E-4	7.6E-5	5.9E-5
57	1.1E-3	3.0E-6	2.0E-6	1.3E-5	5.3E-4	7.0E-5	5.4E-5
58	9.7E-4	2.7E-6	1.9E-6	1.2E-5	4.9E-4	6.5E-5	4.9E-5
59	8.9E-4	2.5E-6	1.7E-6	1.1E-5	4.5E-4	6.0E-5	4.5E-5
60	8.1E-4	2.3E-6	1.6E-6	9.8E-6	4.1E-4	5.5E-5	4.1E-5
61	7.5E-4	2.1E-6	1.4E-6	9.0E-6	3.7E-4	5.1E-5	3.8E-5
62	6.8E-4	1.9E-6	1.3E-6	8.3E-6	3.4E-4	4.7E-5	3.4E-5
63	6.3E-4	1.7E-6	1.2E-6	7.6E-6	3.1E-4	4.3E-5	3.1E-5
64	5.7E-4	1.6E-6	1.1E-6	7.0E-6	2.9E-4	4.0E-5	2.9E-5
65	5.3E-4	1.4E-6	1.0E-6	6.4E-6	2.6E-4	3.7E-5	2.6E-5
66	4.8E-4	1.3E-6	9.1E-7	5.9E-6	2.4E-4	3.4E-5	2.4E-5
67	4.4E-4	1.2E-6	8.3E-7	5.4E-6	2.2E-4	3.1E-5	2.2E-5
68	4.1E-4	1.1E-6	7.6E-7	4.9E-6	2.0E-4	2.9E-5	2.0E-5
69	3.7E-4	1.0E-6	7.0E-7	4.5E-6	1.8E-4	2.7E-5	1.8E-5
70	3.4E-4	9.3E-7	6.4E-7	4.1E-6	1.7E-4	2.4E-5	1.7E-5
71	3.1E-4	8.5E-7	5.8E-7	3.8E-6	1.5E-4	2.3E-5	1.5E-5
72	2.9E-4	7.8E-7	5.3E-7	3.5E-6	1.4E-4	2.1E-5	1.4E-5
73	2.6E-4	7.1E-7	4.9E-7	3.2E-6	1.3E-4	1.9E-5	1.3E-5
74	2.4E-4	6.5E-7	4.5E-7	2.9E-6	1.2E-4	1.8E-5	1.2E-5
75	2.2E-4	6.0E-7	4.1E-7	2.7E-6	1.1E-4	1.6E-5	1.1E-5
76	2.0E-4	5.5E-7	3.7E-7	2.5E-6	9.8E-5	1.5E-5	9.9E-6
77	1.9E-4	5.0E-7	3.4E-7	2.3E-6	9.0E-5	1.4E-5	9.0E-6
78	1.7E-4	4.6E-7	3.1E-7	2.1E-6	8.2E-5	1.3E-5	8.3E-6
79	1.6E-4	4.2E-7	2.9E-7	1.9E-6	7.5E-5	1.2E-5	7.6E-6
80	1.4E-4	3.8E-7	2.6E-7	1.7E-6	6.9E-5	1.1E-5	6.9E-6
81	1.3E-4	3.5E-7	2.4E-7	1.6E-6	6.3E-5	9.9E-6	6.3E-6
82	1.2E-4	3.2E-7	2.2E-7	1.5E-6	5.7E-5	9.1E-6	5.8E-6
83	1.1E-4	3.0E-7	2.0E-7	1.3E-6	5.2E-5	8.4E-6	5.3E-6
84	1.0E-4	2.7E-7	1.8E-7	1.2E-6	4.8E-5	7.7E-6	4.8E-6
85	9.2E-5	2.5E-7	1.7E-7	1.1E-6	4.4E-5	7.1E-6	4.4E-6
86	8.5E-5	2.3E-7	1.5E-7	1.0E-6	4.0E-5	6.5E-6	4.1E-6
87	7.8E-5	2.1E-7	1.4E-7	9.6E-7	3.7E-5	6.0E-6	3.7E-6
88	7.1E-5	1.9E-7	1.3E-7	8.8E-7	3.4E-5	5.5E-6	3.4E-6
89	6.5E-5	1.7E-7	1.2E-7	8.0E-7	3.1E-5	5.1E-6	3.1E-6
90	6.0E-5	1.6E-7	1.1E-7	7.4E-7	2.8E-5	4.7E-6	2.9E-6
91	5.5E-5	1.5E-7	9.8E-8	6.8E-7	2.6E-5	4.3E-6	2.6E-6
92	5.0E-5	1.3E-7	9.0E-8	6.2E-7	2.3E-5	4.0E-6	2.4E-6
93	4.6E-5	1.2E-7	8.2E-8	5.7E-7	2.1E-5	3.6E-6	2.2E-6
94	4.2E-5	1.1E-7	7.5E-8	5.2E-7	2.0E-5	3.3E-6	2.0E-6
95	3.9E-5	1.0E-7	6.9E-8	4.8E-7	1.8E-5	3.1E-6	1.8E-6
96	3.5E-5	9.4E-8	6.3E-8	4.4E-7	1.6E-5	2.8E-6	1.7E-6
97	3.3E-5	8.6E-8	5.7E-8	4.0E-7	1.5E-5	2.6E-6	1.5E-6
98	3.0E-5	7.9E-8	5.3E-8	3.7E-7	1.4E-5	2.4E-6	1.4E-6
99	2.7E-5	7.2E-8	4.8E-8	3.4E-7	1.3E-5	2.2E-6	1.3E-6
100	2.5E-5	6.6E-8	4.4E-8	3.1E-7	1.1E-5	2.0E-6	1.2E-6
110	1.1E-5	2.8E-8	1.8E-8	1.3E-7	4.7E-6	8.7E-7	4.9E-7
120	4.4E-6	1.1E-8	7.5E-9	5.6E-8	1.9E-6	3.7E-7	2.0E-7
130	1.9E-6	4.8E-9	3.1E-9	2.4E-8	7.9E-7	1.6E-7	8.5E-8
140	7.8E-7	2.0E-9	1.3E-9	1.0E-8	3.2E-7	6.8E-8	3.5E-8
150	3.3E-7	8.4E-10	5.2E-10	4.2E-9	1.3E-7	2.9E-8	1.5E-8
160	1.4E-7	3.5E-10	2.2E-10	1.8E-9	5.4E-8	1.2E-8	6.2E-9
170	5.8E-8	1.5E-10	-	7.6E-10	2.2E-8	5.2E-9	2.6E-9
180	2.4E-8	-	-	3.2E-10	9.2E-9	2.2E-9	1.1E-9
190	1.0E-8	-	-	1.4E-10	3.8E-9	9.3E-10	4.5E-10
200	4.3E-9	-	-	-	1.5E-9	3.9E-10	1.9E-10
210	1.8E-9	-	-	-	6.3E-10	1.7E-10	-
220	7.6E-10	-	-	-	2.6E-10	-	-
230	3.2E-10	-	-	-	1.1E-10	-	-
240	1.4E-10	-	-	-	-	-	-
