Radionuclide	Pa-230
Route of Intake	Inhalation
Material	Aerosols Type S, Oxide, fA=5E-6
AMTD/AMAD, µm	3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
8	5.9E-2	1.9E-6	8.5E-4	1.0E-3	5.7E-2	5.8E-4	4.2E-5
8.5	5.8E-2	-	-	9.3E-4	5.6E-2	5.7E-4	4.1E-5
9	5.6E-2	1.7E-6	6.1E-4	8.4E-4	5.4E-2	5.6E-4	4.1E-5
9.5	5.5E-2	-	-	7.6E-4	5.3E-2	5.6E-4	4.0E-5
10	5.4E-2	1.5E-6	4.8E-4	6.9E-4	5.2E-2	5.5E-4	3.9E-5
11	5.1E-2	1.3E-6	3.9E-4	5.7E-4	5.0E-2	5.3E-4	3.8E-5
12	4.9E-2	1.2E-6	3.2E-4	4.8E-4	4.7E-2	5.2E-4	3.7E-5
13	4.7E-2	1.1E-6	2.7E-4	4.0E-4	4.5E-2	5.0E-4	3.6E-5
14	4.5E-2	9.9E-7	2.3E-4	3.4E-4	4.3E-2	4.9E-4	3.5E-5
15	4.3E-2	9.1E-7	1.9E-4	3.0E-4	4.2E-2	4.7E-4	3.3E-5
16	4.1E-2	8.4E-7	1.7E-4	2.6E-4	4.0E-2	4.6E-4	3.2E-5
17	3.9E-2	7.8E-7	1.4E-4	2.3E-4	3.8E-2	4.4E-4	3.1E-5
18	3.7E-2	7.3E-7	1.3E-4	2.0E-4	3.6E-2	4.3E-4	3.0E-5
19	3.6E-2	6.8E-7	1.1E-4	1.8E-4	3.5E-2	4.1E-4	2.9E-5
20	3.4E-2	6.3E-7	1.0E-4	1.6E-4	3.3E-2	4.0E-4	2.8E-5
21	3.3E-2	5.9E-7	9.0E-5	1.5E-4	3.2E-2	3.9E-4	2.7E-5
22	3.2E-2	5.5E-7	8.2E-5	1.3E-4	3.1E-2	3.7E-4	2.6E-5
23	3.0E-2	5.2E-7	7.5E-5	1.2E-4	2.9E-2	3.6E-4	2.5E-5
24	2.9E-2	4.9E-7	6.9E-5	1.1E-4	2.8E-2	3.5E-4	2.5E-5
25	2.8E-2	4.6E-7	6.4E-5	1.1E-4	2.7E-2	3.4E-4	2.4E-5
26	2.7E-2	4.3E-7	5.9E-5	1.0E-4	2.6E-2	3.3E-4	2.3E-5
27	2.6E-2	4.1E-7	5.5E-5	9.4E-5	2.5E-2	3.1E-4	2.2E-5
28	2.5E-2	3.8E-7	5.2E-5	8.8E-5	2.4E-2	3.0E-4	2.1E-5
29	2.4E-2	3.6E-7	4.9E-5	8.4E-5	2.3E-2	2.9E-4	2.1E-5
30	2.3E-2	3.4E-7	4.6E-5	7.9E-5	2.2E-2	2.8E-4	2.0E-5
31	2.2E-2	3.2E-7	4.4E-5	7.5E-5	2.1E-2	2.7E-4	1.9E-5
32	2.1E-2	3.0E-7	4.1E-5	7.1E-5	2.0E-2	2.7E-4	1.9E-5
33	2.0E-2	2.9E-7	3.9E-5	6.8E-5	1.9E-2	2.6E-4	1.8E-5
34	1.9E-2	2.7E-7	3.7E-5	6.5E-5	1.9E-2	2.5E-4	1.7E-5
35	1.8E-2	2.5E-7	3.6E-5	6.2E-5	1.8E-2	2.4E-4	1.7E-5
36	1.8E-2	2.4E-7	3.4E-5	5.9E-5	1.7E-2	2.3E-4	1.6E-5
37	1.7E-2	2.3E-7	3.2E-5	5.6E-5	1.6E-2	2.2E-4	1.6E-5
38	1.6E-2	2.2E-7	3.1E-5	5.4E-5	1.6E-2	2.2E-4	1.5E-5
39	1.5E-2	2.0E-7	3.0E-5	5.2E-5	1.5E-2	2.1E-4	1.5E-5
40	1.5E-2	1.9E-7	2.8E-5	4.9E-5	1.4E-2	2.0E-4	1.4E-5
41	1.4E-2	1.8E-7	2.7E-5	4.7E-5	1.4E-2	1.9E-4	1.4E-5
42	1.4E-2	1.7E-7	2.6E-5	4.5E-5	1.3E-2	1.9E-4	1.3E-5
43	1.3E-2	1.6E-7	2.5E-5	4.3E-5	1.3E-2	1.8E-4	1.3E-5
44	1.3E-2	1.6E-7	2.4E-5	4.1E-5	1.2E-2	1.8E-4	1.2E-5
45	1.2E-2	1.5E-7	2.3E-5	4.0E-5	1.2E-2	1.7E-4	1.2E-5
46	1.2E-2	1.4E-7	2.2E-5	3.8E-5	1.1E-2	1.6E-4	1.1E-5
47	1.1E-2	1.3E-7	2.1E-5	3.6E-5	1.1E-2	1.6E-4	1.1E-5
48	1.1E-2	1.3E-7	2.0E-5	3.5E-5	1.0E-2	1.5E-4	1.1E-5
49	1.0E-2	1.2E-7	1.9E-5	3.3E-5	9.9E-3	1.5E-4	1.0E-5
50	9.8E-3	1.1E-7	1.8E-5	3.2E-5	9.5E-3	1.4E-4	9.8E-6
51	9.4E-3	1.1E-7	1.8E-5	3.1E-5	9.1E-3	1.4E-4	9.5E-6
52	9.0E-3	1.0E-7	1.7E-5	2.9E-5	8.7E-3	1.3E-4	9.1E-6
53	8.6E-3	9.9E-8	1.6E-5	2.8E-5	8.4E-3	1.3E-4	8.8E-6
54	8.3E-3	9.4E-8	1.5E-5	2.7E-5	8.0E-3	1.2E-4	8.5E-6
55	7.9E-3	8.9E-8	1.5E-5	2.6E-5	7.7E-3	1.2E-4	8.2E-6
56	7.6E-3	8.5E-8	1.4E-5	2.5E-5	7.4E-3	1.2E-4	7.9E-6
57	7.3E-3	8.1E-8	1.4E-5	2.4E-5	7.1E-3	1.1E-4	7.6E-6
58	7.0E-3	7.7E-8	1.3E-5	2.3E-5	6.8E-3	1.1E-4	7.4E-6
59	6.7E-3	7.4E-8	1.2E-5	2.2E-5	6.5E-3	1.0E-4	7.1E-6
60	6.4E-3	7.0E-8	1.2E-5	2.1E-5	6.3E-3	1.0E-4	6.9E-6
61	6.2E-3	6.7E-8	1.1E-5	2.0E-5	6.0E-3	9.7E-5	6.6E-6
62	5.9E-3	6.4E-8	1.1E-5	1.9E-5	5.8E-3	9.3E-5	6.4E-6
63	5.7E-3	6.1E-8	1.0E-5	1.8E-5	5.5E-3	9.0E-5	6.2E-6
64	5.5E-3	5.8E-8	1.0E-5	1.8E-5	5.3E-3	8.7E-5	5.9E-6
65	5.2E-3	5.5E-8	9.6E-6	1.7E-5	5.1E-3	8.4E-5	5.7E-6
66	5.0E-3	5.3E-8	9.2E-6	1.6E-5	4.9E-3	8.1E-5	5.5E-6
67	4.8E-3	5.0E-8	8.8E-6	1.5E-5	4.7E-3	7.8E-5	5.3E-6
68	4.6E-3	4.8E-8	8.4E-6	1.5E-5	4.5E-3	7.5E-5	5.1E-6
69	4.4E-3	4.6E-8	8.1E-6	1.4E-5	4.3E-3	7.3E-5	5.0E-6
70	4.3E-3	4.4E-8	7.7E-6	1.4E-5	4.1E-3	7.0E-5	4.8E-6
71	4.1E-3	4.2E-8	7.4E-6	1.3E-5	3.9E-3	6.8E-5	4.6E-6
72	3.9E-3	4.0E-8	7.1E-6	1.2E-5	3.8E-3	6.5E-5	4.5E-6
73	3.8E-3	3.8E-8	6.8E-6	1.2E-5	3.6E-3	6.3E-5	4.3E-6
74	3.6E-3	3.7E-8	6.5E-6	1.1E-5	3.5E-3	6.1E-5	4.1E-6
75	3.5E-3	3.5E-8	6.2E-6	1.1E-5	3.3E-3	5.9E-5	4.0E-6
76	3.3E-3	3.4E-8	6.0E-6	1.0E-5	3.2E-3	5.7E-5	3.9E-6
77	3.2E-3	3.2E-8	5.7E-6	1.0E-5	3.1E-3	5.5E-5	3.7E-6
78	3.0E-3	3.1E-8	5.5E-6	9.6E-6	2.9E-3	5.3E-5	3.6E-6
79	2.9E-3	2.9E-8	5.3E-6	9.2E-6	2.8E-3	5.1E-5	3.5E-6
80	2.8E-3	2.8E-8	5.0E-6	8.8E-6	2.7E-3	4.9E-5	3.3E-6
81	2.7E-3	2.7E-8	4.8E-6	8.5E-6	2.6E-3	4.7E-5	3.2E-6
82	2.6E-3	2.6E-8	4.6E-6	8.1E-6	2.5E-3	4.6E-5	3.1E-6
83	2.5E-3	2.5E-8	4.4E-6	7.8E-6	2.4E-3	4.4E-5	3.0E-6
84	2.4E-3	2.4E-8	4.2E-6	7.4E-6	2.3E-3	4.3E-5	2.9E-6
85	2.3E-3	2.3E-8	4.1E-6	7.1E-6	2.2E-3	4.1E-5	2.8E-6
86	2.2E-3	2.2E-8	3.9E-6	6.8E-6	2.1E-3	4.0E-5	2.7E-6
87	2.1E-3	2.1E-8	3.7E-6	6.5E-6	2.0E-3	3.8E-5	2.6E-6
88	2.0E-3	2.0E-8	3.6E-6	6.3E-6	1.9E-3	3.7E-5	2.5E-6
89	1.9E-3	1.9E-8	3.4E-6	6.0E-6	1.9E-3	3.6E-5	2.4E-6
90	1.8E-3	1.8E-8	3.3E-6	5.8E-6	1.8E-3	3.4E-5	2.3E-6
91	1.8E-3	1.7E-8	3.1E-6	5.5E-6	1.7E-3	3.3E-5	2.2E-6
92	1.7E-3	1.7E-8	3.0E-6	5.3E-6	1.6E-3	3.2E-5	2.1E-6
93	1.6E-3	1.6E-8	2.9E-6	5.1E-6	1.6E-3	3.1E-5	2.1E-6
94	1.6E-3	1.5E-8	2.8E-6	4.9E-6	1.5E-3	3.0E-5	2.0E-6
95	1.5E-3	1.5E-8	2.6E-6	4.6E-6	1.4E-3	2.9E-5	1.9E-6
96	1.4E-3	1.4E-8	2.5E-6	4.5E-6	1.4E-3	2.8E-5	1.9E-6
97	1.4E-3	1.3E-8	2.4E-6	4.3E-6	1.3E-3	2.7E-5	1.8E-6
98	1.3E-3	1.3E-8	2.3E-6	4.1E-6	1.3E-3	2.6E-5	1.7E-6
99	1.3E-3	1.2E-8	2.2E-6	3.9E-6	1.2E-3	2.5E-5	1.7E-6
100	1.2E-3	1.2E-8	2.1E-6	3.8E-6	1.2E-3	2.4E-5	1.6E-6
110	8.0E-4	7.8E-9	1.4E-6	2.4E-6	7.7E-4	1.7E-5	1.1E-6
120	5.3E-4	5.1E-9	9.0E-7	1.6E-6	5.1E-4	1.2E-5	7.6E-7
130	3.5E-4	3.4E-9	5.9E-7	1.0E-6	3.4E-4	8.0E-6	5.3E-7
140	2.3E-4	2.2E-9	3.8E-7	6.8E-7	2.2E-4	5.5E-6	3.6E-7
150	1.5E-4	1.5E-9	2.5E-7	4.4E-7	1.5E-4	3.8E-6	2.5E-7
160	1.0E-4	9.7E-10	1.6E-7	2.9E-7	9.7E-5	2.6E-6	1.7E-7
170	6.7E-5	6.4E-10	1.1E-7	1.9E-7	6.4E-5	1.8E-6	1.2E-7
180	4.4E-5	4.3E-10	6.9E-8	1.2E-7	4.2E-5	1.2E-6	8.1E-8
190	2.9E-5	2.8E-10	4.5E-8	8.0E-8	2.8E-5	8.6E-7	5.5E-8
200	1.9E-5	1.9E-10	2.9E-8	5.2E-8	1.8E-5	5.9E-7	3.8E-8
210	1.3E-5	1.2E-10	1.9E-8	3.4E-8	1.2E-5	4.1E-7	2.6E-8
220	8.4E-6	-	1.2E-8	2.2E-8	8.0E-6	2.8E-7	1.8E-8
230	5.6E-6	-	8.0E-9	1.5E-8	5.3E-6	1.9E-7	1.2E-8
240	3.7E-6	-	5.2E-9	9.5E-9	3.5E-6	1.3E-7	8.2E-9
250	2.4E-6	-	3.4E-9	6.2E-9	2.3E-6	8.9E-8	5.6E-9
260	1.6E-6	-	2.2E-9	4.0E-9	1.5E-6	6.1E-8	3.8E-9
270	1.1E-6	-	1.4E-9	2.6E-9	1.0E-6	4.2E-8	2.6E-9
280	7.1E-7	-	9.4E-10	1.7E-9	6.7E-7	2.9E-8	1.8E-9
290	4.7E-7	-	6.1E-10	1.1E-9	4.4E-7	1.9E-8	1.2E-9
300	3.1E-7	-	4.0E-10	7.3E-10	2.9E-7	1.3E-8	8.2E-10
310	2.1E-7	-	2.6E-10	4.8E-10	1.9E-7	9.1E-9	5.6E-10
320	1.4E-7	-	1.7E-10	3.1E-10	1.3E-7	6.2E-9	3.8E-10
330	9.1E-8	-	1.1E-10	2.0E-10	8.5E-8	4.2E-9	2.6E-10
340	6.0E-8	-	-	1.3E-10	5.6E-8	2.9E-9	1.8E-10
350	4.0E-8	-	-	-	3.7E-8	2.0E-9	1.2E-10
360	2.7E-8	-	-	-	2.5E-8	1.3E-9	-
365	2.2E-8	-	-	-	2.0E-8	1.1E-9	-
370	1.8E-8	-	-	-	1.6E-8	9.1E-10	-
380	1.2E-8	-	-	-	1.1E-8	6.2E-10	-
390	7.8E-9	-	-	-	7.2E-9	4.2E-10	-
400	5.2E-9	-	-	-	4.7E-9	2.9E-10	-
410	3.4E-9	-	-	-	3.1E-9	1.9E-10	-
420	2.3E-9	-	-	-	2.1E-9	1.3E-10	-
430	1.5E-9	-	-	-	1.4E-9	-	-
440	1.0E-9	-	-	-	9.2E-10	-	-
450	6.7E-10	-	-	-	6.1E-10	-	-
460	4.5E-10	-	-	-	4.0E-10	-	-
470	3.0E-10	-	-	-	2.7E-10	-	-
480	2.0E-10	-	-	-	1.8E-10	-	-
490	1.3E-10	-	-	-	1.2E-10	-	-
