Radionuclide	Ir-189
Route of Intake	Inhalation
Material	Aerosols Type F, Iridium chloride, fA=1E-2
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
3.5	4.6E-1	-	-	2.4E-2	6.2E-3	6.5E-2	8.5E-2
3.75	4.5E-1	-	-	2.1E-2	5.7E-3	6.4E-2	8.4E-2
4	4.4E-1	7.0E-3	1.7E-2	1.8E-2	5.3E-3	6.3E-2	8.2E-2
4.25	4.3E-1	-	-	1.6E-2	4.9E-3	6.3E-2	8.1E-2
4.5	4.2E-1	-	-	1.5E-2	4.6E-3	6.2E-2	7.9E-2
4.75	4.1E-1	-	-	1.4E-2	4.3E-3	6.1E-2	7.8E-2
5	4.1E-1	5.5E-3	7.6E-3	1.3E-2	4.0E-3	6.0E-2	7.6E-2
5.5	3.9E-1	-	-	1.1E-2	3.6E-3	5.9E-2	7.3E-2
6	3.8E-1	4.5E-3	4.4E-3	1.0E-2	3.3E-3	5.7E-2	7.0E-2
6.5	3.6E-1	-	-	9.5E-3	3.0E-3	5.6E-2	6.8E-2
7	3.5E-1	3.8E-3	3.2E-3	8.9E-3	2.7E-3	5.5E-2	6.5E-2
7.5	3.4E-1	-	-	8.3E-3	2.6E-3	5.3E-2	6.3E-2
8	3.3E-1	3.2E-3	2.6E-3	7.8E-3	2.4E-3	5.2E-2	6.1E-2
8.5	3.2E-1	-	-	7.4E-3	2.3E-3	5.0E-2	5.8E-2
9	3.0E-1	2.7E-3	2.2E-3	7.0E-3	2.1E-3	4.9E-2	5.6E-2
9.5	2.9E-1	-	-	6.6E-3	2.0E-3	4.8E-2	5.4E-2
10	2.8E-1	2.4E-3	1.9E-3	6.3E-3	1.9E-3	4.6E-2	5.3E-2
11	2.7E-1	2.1E-3	1.6E-3	5.7E-3	1.8E-3	4.4E-2	4.9E-2
12	2.5E-1	1.8E-3	1.4E-3	5.1E-3	1.6E-3	4.2E-2	4.6E-2
13	2.3E-1	1.6E-3	1.2E-3	4.7E-3	1.5E-3	3.9E-2	4.3E-2
14	2.2E-1	1.5E-3	1.1E-3	4.3E-3	1.4E-3	3.7E-2	4.0E-2
15	2.1E-1	1.3E-3	9.3E-4	3.9E-3	1.3E-3	3.5E-2	3.8E-2
16	1.9E-1	1.2E-3	8.2E-4	3.6E-3	1.2E-3	3.3E-2	3.6E-2
17	1.8E-1	1.0E-3	7.3E-4	3.3E-3	1.1E-3	3.1E-2	3.4E-2
18	1.7E-1	9.4E-4	6.4E-4	3.0E-3	1.1E-3	3.0E-2	3.2E-2
19	1.6E-1	8.5E-4	5.7E-4	2.8E-3	1.0E-3	2.8E-2	3.0E-2
20	1.5E-1	7.7E-4	5.1E-4	2.6E-3	9.4E-4	2.6E-2	2.8E-2
21	1.4E-1	7.0E-4	4.5E-4	2.4E-3	8.8E-4	2.5E-2	2.7E-2
22	1.3E-1	6.3E-4	4.1E-4	2.2E-3	8.2E-4	2.3E-2	2.5E-2
23	1.3E-1	5.8E-4	3.6E-4	2.1E-3	7.7E-4	2.2E-2	2.4E-2
24	1.2E-1	5.3E-4	3.3E-4	1.9E-3	7.2E-4	2.1E-2	2.2E-2
25	1.1E-1	4.8E-4	3.0E-4	1.8E-3	6.8E-4	2.0E-2	2.1E-2
26	1.1E-1	4.4E-4	2.7E-4	1.7E-3	6.4E-4	1.9E-2	2.0E-2
27	1.0E-1	4.0E-4	2.4E-4	1.6E-3	6.0E-4	1.7E-2	1.9E-2
28	9.4E-2	3.7E-4	2.2E-4	1.5E-3	5.6E-4	1.6E-2	1.8E-2
29	8.9E-2	3.4E-4	2.0E-4	1.4E-3	5.3E-4	1.6E-2	1.7E-2
30	8.3E-2	3.1E-4	1.8E-4	1.3E-3	5.0E-4	1.5E-2	1.6E-2
31	7.9E-2	2.9E-4	1.7E-4	1.2E-3	4.7E-4	1.4E-2	1.5E-2
32	7.4E-2	2.7E-4	1.5E-4	1.1E-3	4.4E-4	1.3E-2	1.4E-2
33	7.0E-2	2.5E-4	1.4E-4	1.0E-3	4.1E-4	1.2E-2	1.4E-2
34	6.6E-2	2.3E-4	1.3E-4	9.8E-4	3.9E-4	1.2E-2	1.3E-2
35	6.2E-2	2.1E-4	1.2E-4	9.2E-4	3.7E-4	1.1E-2	1.2E-2
36	5.9E-2	1.9E-4	1.1E-4	8.6E-4	3.5E-4	1.0E-2	1.2E-2
37	5.6E-2	1.8E-4	1.0E-4	8.1E-4	3.2E-4	9.7E-3	1.1E-2
38	5.3E-2	1.7E-4	9.2E-5	7.6E-4	3.1E-4	9.1E-3	1.0E-2
39	5.0E-2	1.6E-4	8.5E-5	7.1E-4	2.9E-4	8.6E-3	9.8E-3
40	4.7E-2	1.4E-4	7.9E-5	6.7E-4	2.7E-4	8.1E-3	9.3E-3
41	4.4E-2	1.3E-4	7.3E-5	6.3E-4	2.6E-4	7.6E-3	8.8E-3
42	4.2E-2	1.2E-4	6.8E-5	5.9E-4	2.4E-4	7.2E-3	8.3E-3
43	3.9E-2	1.2E-4	6.3E-5	5.6E-4	2.3E-4	6.8E-3	7.9E-3
44	3.7E-2	1.1E-4	5.8E-5	5.3E-4	2.1E-4	6.4E-3	7.4E-3
45	3.5E-2	1.0E-4	5.4E-5	5.0E-4	2.0E-4	6.0E-3	7.0E-3
46	3.3E-2	9.4E-5	5.0E-5	4.7E-4	1.9E-4	5.7E-3	6.7E-3
47	3.1E-2	8.8E-5	4.7E-5	4.4E-4	1.8E-4	5.3E-3	6.3E-3
48	3.0E-2	8.2E-5	4.4E-5	4.1E-4	1.7E-4	5.0E-3	6.0E-3
49	2.8E-2	7.7E-5	4.1E-5	3.9E-4	1.6E-4	4.7E-3	5.7E-3
50	2.7E-2	7.2E-5	3.8E-5	3.7E-4	1.5E-4	4.5E-3	5.4E-3
51	2.5E-2	6.7E-5	3.5E-5	3.5E-4	1.4E-4	4.2E-3	5.1E-3
52	2.4E-2	6.3E-5	3.3E-5	3.3E-4	1.3E-4	4.0E-3	4.8E-3
53	2.2E-2	5.9E-5	3.1E-5	3.1E-4	1.3E-4	3.7E-3	4.5E-3
54	2.1E-2	5.5E-5	2.9E-5	2.9E-4	1.2E-4	3.5E-3	4.3E-3
55	2.0E-2	5.1E-5	2.7E-5	2.7E-4	1.1E-4	3.3E-3	4.1E-3
56	1.9E-2	4.8E-5	2.5E-5	2.6E-4	1.1E-4	3.1E-3	3.8E-3
57	1.8E-2	4.5E-5	2.3E-5	2.4E-4	1.0E-4	3.0E-3	3.6E-3
58	1.7E-2	4.2E-5	2.2E-5	2.3E-4	9.6E-5	2.8E-3	3.4E-3
59	1.6E-2	4.0E-5	2.1E-5	2.2E-4	9.0E-5	2.6E-3	3.3E-3
60	1.5E-2	3.7E-5	1.9E-5	2.1E-4	8.5E-5	2.5E-3	3.1E-3
61	1.4E-2	3.5E-5	1.8E-5	1.9E-4	8.1E-5	2.3E-3	2.9E-3
62	1.3E-2	3.3E-5	1.7E-5	1.8E-4	7.6E-5	2.2E-3	2.8E-3
63	1.3E-2	3.1E-5	1.6E-5	1.7E-4	7.2E-5	2.1E-3	2.6E-3
64	1.2E-2	2.9E-5	1.5E-5	1.6E-4	6.8E-5	2.0E-3	2.5E-3
65	1.1E-2	2.7E-5	1.4E-5	1.5E-4	6.4E-5	1.9E-3	2.3E-3
66	1.1E-2	2.5E-5	1.3E-5	1.5E-4	6.1E-5	1.7E-3	2.2E-3
67	1.0E-2	2.4E-5	1.2E-5	1.4E-4	5.7E-5	1.6E-3	2.1E-3
68	9.6E-3	2.2E-5	1.2E-5	1.3E-4	5.4E-5	1.6E-3	2.0E-3
69	9.1E-3	2.1E-5	1.1E-5	1.2E-4	5.1E-5	1.5E-3	1.9E-3
70	8.6E-3	2.0E-5	1.0E-5	1.2E-4	4.8E-5	1.4E-3	1.8E-3
71	8.1E-3	1.9E-5	9.6E-6	1.1E-4	4.6E-5	1.3E-3	1.7E-3
72	7.7E-3	1.8E-5	9.0E-6	1.0E-4	4.3E-5	1.2E-3	1.6E-3
73	7.3E-3	1.6E-5	8.4E-6	9.8E-5	4.1E-5	1.2E-3	1.5E-3
74	6.9E-3	1.6E-5	7.9E-6	9.3E-5	3.9E-5	1.1E-3	1.4E-3
75	6.5E-3	1.5E-5	7.5E-6	8.8E-5	3.7E-5	1.0E-3	1.3E-3
76	6.2E-3	1.4E-5	7.0E-6	8.3E-5	3.5E-5	9.8E-4	1.3E-3
77	5.8E-3	1.3E-5	6.6E-6	7.8E-5	3.3E-5	9.2E-4	1.2E-3
78	5.5E-3	1.2E-5	6.2E-6	7.4E-5	3.1E-5	8.7E-4	1.1E-3
79	5.2E-3	1.1E-5	5.8E-6	7.0E-5	2.9E-5	8.2E-4	1.1E-3
80	4.9E-3	1.1E-5	5.5E-6	6.6E-5	2.8E-5	7.8E-4	1.0E-3
81	4.7E-3	1.0E-5	5.2E-6	6.2E-5	2.6E-5	7.3E-4	9.7E-4
82	4.4E-3	9.6E-6	4.9E-6	5.9E-5	2.5E-5	6.9E-4	9.2E-4
83	4.2E-3	9.0E-6	4.6E-6	5.6E-5	2.3E-5	6.5E-4	8.7E-4
84	3.9E-3	8.5E-6	4.3E-6	5.3E-5	2.2E-5	6.2E-4	8.2E-4
85	3.7E-3	8.0E-6	4.1E-6	5.0E-5	2.1E-5	5.8E-4	7.7E-4
86	3.5E-3	7.5E-6	3.8E-6	4.7E-5	2.0E-5	5.5E-4	7.3E-4
87	3.3E-3	7.1E-6	3.6E-6	4.5E-5	1.9E-5	5.2E-4	6.9E-4
88	3.2E-3	6.7E-6	3.4E-6	4.2E-5	1.8E-5	4.9E-4	6.6E-4
89	3.0E-3	6.3E-6	3.2E-6	4.0E-5	1.7E-5	4.7E-4	6.2E-4
90	2.8E-3	5.9E-6	3.0E-6	3.8E-5	1.6E-5	4.4E-4	5.9E-4
91	2.7E-3	5.6E-6	2.8E-6	3.6E-5	1.5E-5	4.2E-4	5.6E-4
92	2.5E-3	5.3E-6	2.7E-6	3.4E-5	1.4E-5	3.9E-4	5.3E-4
93	2.4E-3	5.0E-6	2.5E-6	3.2E-5	1.3E-5	3.7E-4	5.0E-4
94	2.3E-3	4.7E-6	2.4E-6	3.0E-5	1.3E-5	3.5E-4	4.7E-4
95	2.1E-3	4.4E-6	2.2E-6	2.8E-5	1.2E-5	3.3E-4	4.4E-4
96	2.0E-3	4.2E-6	2.1E-6	2.7E-5	1.1E-5	3.1E-4	4.2E-4
97	1.9E-3	3.9E-6	2.0E-6	2.5E-5	1.1E-5	3.0E-4	4.0E-4
98	1.8E-3	3.7E-6	1.9E-6	2.4E-5	1.0E-5	2.8E-4	3.8E-4
99	1.7E-3	3.5E-6	1.8E-6	2.3E-5	9.5E-6	2.6E-4	3.6E-4
100	1.6E-3	3.3E-6	1.7E-6	2.2E-5	9.0E-6	2.5E-4	3.4E-4
110	9.3E-4	1.9E-6	9.3E-7	1.2E-5	5.2E-6	1.4E-4	1.9E-4
120	5.3E-4	1.0E-6	5.2E-7	7.1E-6	3.0E-6	8.2E-5	1.1E-4
130	3.1E-4	5.9E-7	3.0E-7	4.0E-6	1.7E-6	4.8E-5	6.3E-5
140	1.8E-4	3.3E-7	1.7E-7	2.3E-6	9.8E-7	2.8E-5	3.6E-5
150	1.0E-4	1.9E-7	9.5E-8	1.3E-6	5.6E-7	1.6E-5	2.1E-5
160	5.8E-5	1.1E-7	5.4E-8	7.6E-7	3.2E-7	9.4E-6	1.2E-5
170	3.4E-5	6.1E-8	3.0E-8	4.4E-7	1.8E-7	5.5E-6	6.8E-6
180	1.9E-5	3.5E-8	1.7E-8	2.5E-7	1.1E-7	3.2E-6	3.9E-6
190	1.1E-5	2.0E-8	9.9E-9	1.4E-7	6.1E-8	1.9E-6	2.2E-6
200	6.4E-6	1.1E-8	5.6E-9	8.3E-8	3.5E-8	1.1E-6	1.3E-6
210	3.7E-6	6.4E-9	3.2E-9	4.7E-8	2.0E-8	6.5E-7	7.3E-7
220	2.1E-6	3.6E-9	1.8E-9	2.7E-8	1.2E-8	3.9E-7	4.2E-7
230	1.2E-6	2.1E-9	1.0E-9	1.6E-8	6.6E-9	2.3E-7	2.4E-7
240	7.1E-7	1.2E-9	6.0E-10	9.0E-9	3.8E-9	1.3E-7	1.4E-7
250	4.1E-7	6.8E-10	3.4E-10	5.2E-9	2.2E-9	7.9E-8	7.8E-8
260	2.4E-7	3.9E-10	1.9E-10	3.0E-9	1.3E-9	4.7E-8	4.4E-8
270	1.4E-7	2.2E-10	1.1E-10	1.7E-9	7.2E-10	2.8E-8	2.5E-8
280	7.9E-8	1.3E-10	-	9.8E-10	4.1E-10	1.6E-8	1.4E-8
290	4.5E-8	-	-	5.6E-10	2.4E-10	9.6E-9	8.3E-9
300	2.6E-8	-	-	3.2E-10	1.4E-10	5.7E-9	4.7E-9
310	1.5E-8	-	-	1.9E-10	-	3.3E-9	2.7E-9
320	8.7E-9	-	-	1.1E-10	-	2.0E-9	1.5E-9
330	5.1E-9	-	-	-	-	1.2E-9	8.8E-10
340	2.9E-9	-	-	-	-	6.9E-10	5.1E-10
350	1.7E-9	-	-	-	-	4.1E-10	2.9E-10
360	9.8E-10	-	-	-	-	2.4E-10	1.7E-10
365	7.4E-10	-	-	-	-	1.8E-10	1.2E-10
370	5.7E-10	-	-	-	-	1.4E-10	-
380	3.3E-10	-	-	-	-	-	-
390	1.9E-10	-	-	-	-	-	-
400	1.1E-10	-	-	-	-	-	-
