Radionuclide	Eu-154
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including chloride and citrate, fA=2.5E-4
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
95	4.2E-1	1.4E-4	3.5E-4	1.4E-3	1.7E-1	1.3E-1	7.8E-2
96	4.2E-1	1.4E-4	3.5E-4	1.4E-3	1.7E-1	1.3E-1	7.8E-2
97	4.2E-1	1.4E-4	3.5E-4	1.4E-3	1.7E-1	1.3E-1	7.8E-2
98	4.2E-1	1.4E-4	3.5E-4	1.4E-3	1.7E-1	1.3E-1	7.8E-2
99	4.2E-1	1.4E-4	3.4E-4	1.4E-3	1.7E-1	1.3E-1	7.8E-2
100	4.2E-1	1.4E-4	3.4E-4	1.4E-3	1.7E-1	1.3E-1	7.7E-2
110	4.1E-1	1.4E-4	3.2E-4	1.3E-3	1.6E-1	1.3E-1	7.7E-2
120	4.1E-1	1.3E-4	3.1E-4	1.3E-3	1.6E-1	1.3E-1	7.7E-2
130	4.0E-1	1.3E-4	2.9E-4	1.2E-3	1.5E-1	1.3E-1	7.7E-2
140	4.0E-1	1.2E-4	2.8E-4	1.2E-3	1.5E-1	1.4E-1	7.7E-2
150	3.9E-1	1.2E-4	2.6E-4	1.2E-3	1.4E-1	1.4E-1	7.7E-2
160	3.9E-1	1.2E-4	2.5E-4	1.1E-3	1.4E-1	1.4E-1	7.6E-2
170	3.8E-1	1.1E-4	2.4E-4	1.1E-3	1.3E-1	1.4E-1	7.6E-2
180	3.8E-1	1.1E-4	2.3E-4	1.0E-3	1.3E-1	1.4E-1	7.6E-2
190	3.7E-1	1.1E-4	2.2E-4	1.0E-3	1.2E-1	1.4E-1	7.5E-2
200	3.7E-1	1.1E-4	2.1E-4	9.8E-4	1.2E-1	1.4E-1	7.5E-2
210	3.7E-1	1.0E-4	2.0E-4	9.5E-4	1.2E-1	1.5E-1	7.4E-2
220	3.6E-1	1.0E-4	1.9E-4	9.2E-4	1.1E-1	1.5E-1	7.4E-2
230	3.6E-1	9.9E-5	1.8E-4	8.9E-4	1.1E-1	1.5E-1	7.4E-2
240	3.5E-1	9.7E-5	1.7E-4	8.6E-4	1.0E-1	1.5E-1	7.3E-2
250	3.5E-1	9.5E-5	1.7E-4	8.4E-4	1.0E-1	1.5E-1	7.3E-2
260	3.5E-1	9.3E-5	1.6E-4	8.1E-4	9.8E-2	1.5E-1	7.2E-2
270	3.4E-1	9.1E-5	1.5E-4	7.9E-4	9.5E-2	1.5E-1	7.2E-2
280	3.4E-1	8.9E-5	1.4E-4	7.7E-4	9.2E-2	1.5E-1	7.1E-2
290	3.4E-1	8.7E-5	1.4E-4	7.5E-4	8.9E-2	1.5E-1	7.1E-2
300	3.4E-1	8.5E-5	1.3E-4	7.3E-4	8.7E-2	1.5E-1	7.0E-2
310	3.3E-1	8.4E-5	1.3E-4	7.1E-4	8.4E-2	1.5E-1	7.0E-2
320	3.3E-1	8.2E-5	1.2E-4	6.9E-4	8.1E-2	1.5E-1	6.9E-2
330	3.3E-1	8.1E-5	1.2E-4	6.8E-4	7.9E-2	1.5E-1	6.9E-2
340	3.2E-1	7.9E-5	1.1E-4	6.6E-4	7.7E-2	1.6E-1	6.8E-2
350	3.2E-1	7.8E-5	1.1E-4	6.5E-4	7.4E-2	1.6E-1	6.8E-2
360	3.2E-1	7.6E-5	1.0E-4	6.3E-4	7.2E-2	1.6E-1	6.7E-2
365	3.2E-1	7.6E-5	9.9E-5	6.2E-4	7.1E-2	1.6E-1	6.7E-2
370	3.2E-1	7.5E-5	9.7E-5	6.2E-4	7.0E-2	1.6E-1	6.6E-2
380	3.1E-1	7.4E-5	9.3E-5	6.0E-4	6.8E-2	1.6E-1	6.6E-2
390	3.1E-1	7.2E-5	8.9E-5	5.9E-4	6.6E-2	1.6E-1	6.5E-2
400	3.1E-1	7.1E-5	8.5E-5	5.8E-4	6.4E-2	1.6E-1	6.5E-2
410	3.1E-1	7.0E-5	8.2E-5	5.7E-4	6.3E-2	1.6E-1	6.4E-2
420	3.1E-1	6.9E-5	7.8E-5	5.6E-4	6.1E-2	1.6E-1	6.4E-2
430	3.0E-1	6.8E-5	7.5E-5	5.5E-4	5.9E-2	1.6E-1	6.3E-2
440	3.0E-1	6.7E-5	7.2E-5	5.4E-4	5.8E-2	1.6E-1	6.3E-2
450	3.0E-1	6.6E-5	6.9E-5	5.3E-4	5.6E-2	1.6E-1	6.2E-2
460	3.0E-1	6.5E-5	6.6E-5	5.2E-4	5.4E-2	1.6E-1	6.1E-2
470	3.0E-1	6.4E-5	6.3E-5	5.1E-4	5.3E-2	1.6E-1	6.1E-2
480	2.9E-1	6.3E-5	6.1E-5	5.0E-4	5.2E-2	1.6E-1	6.0E-2
490	2.9E-1	6.2E-5	5.8E-5	4.9E-4	5.0E-2	1.6E-1	6.0E-2
500	2.9E-1	6.1E-5	5.6E-5	4.8E-4	4.9E-2	1.6E-1	5.9E-2
510	2.9E-1	6.0E-5	5.4E-5	4.8E-4	4.8E-2	1.6E-1	5.9E-2
520	2.9E-1	5.9E-5	5.2E-5	4.7E-4	4.6E-2	1.6E-1	5.8E-2
530	2.8E-1	5.8E-5	5.0E-5	4.6E-4	4.5E-2	1.6E-1	5.7E-2
540	2.8E-1	5.7E-5	4.8E-5	4.6E-4	4.4E-2	1.6E-1	5.7E-2
550	2.8E-1	5.7E-5	4.6E-5	4.5E-4	4.3E-2	1.6E-1	5.6E-2
560	2.8E-1	5.6E-5	4.4E-5	4.4E-4	4.2E-2	1.6E-1	5.6E-2
570	2.8E-1	5.5E-5	4.2E-5	4.4E-4	4.1E-2	1.6E-1	5.5E-2
580	2.8E-1	5.4E-5	4.0E-5	4.3E-4	4.0E-2	1.6E-1	5.5E-2
590	2.7E-1	5.4E-5	3.9E-5	4.3E-4	3.9E-2	1.6E-1	5.4E-2
600	2.7E-1	5.3E-5	3.7E-5	4.2E-4	3.8E-2	1.6E-1	5.4E-2
610	2.7E-1	5.2E-5	3.6E-5	4.2E-4	3.7E-2	1.6E-1	5.3E-2
620	2.7E-1	5.2E-5	3.5E-5	4.1E-4	3.6E-2	1.6E-1	5.3E-2
630	2.7E-1	5.1E-5	3.3E-5	4.1E-4	3.5E-2	1.6E-1	5.2E-2
640	2.7E-1	5.0E-5	3.2E-5	4.0E-4	3.4E-2	1.6E-1	5.2E-2
650	2.7E-1	5.0E-5	3.1E-5	4.0E-4	3.4E-2	1.6E-1	5.1E-2
660	2.6E-1	4.9E-5	3.0E-5	3.9E-4	3.3E-2	1.6E-1	5.0E-2
670	2.6E-1	4.8E-5	2.9E-5	3.9E-4	3.2E-2	1.6E-1	5.0E-2
680	2.6E-1	4.8E-5	2.8E-5	3.9E-4	3.1E-2	1.6E-1	4.9E-2
690	2.6E-1	4.7E-5	2.7E-5	3.8E-4	3.1E-2	1.6E-1	4.9E-2
700	2.6E-1	4.7E-5	2.6E-5	3.8E-4	3.0E-2	1.6E-1	4.8E-2
710	2.6E-1	4.6E-5	2.5E-5	3.8E-4	2.9E-2	1.6E-1	4.8E-2
720	2.6E-1	4.6E-5	2.4E-5	3.7E-4	2.8E-2	1.6E-1	4.7E-2
730	2.6E-1	4.5E-5	2.3E-5	3.7E-4	2.8E-2	1.6E-1	4.7E-2
740	2.5E-1	4.4E-5	2.2E-5	3.7E-4	2.7E-2	1.6E-1	4.7E-2
750	2.5E-1	4.4E-5	2.1E-5	3.6E-4	2.7E-2	1.6E-1	4.6E-2
760	2.5E-1	4.3E-5	2.1E-5	3.6E-4	2.6E-2	1.6E-1	4.6E-2
770	2.5E-1	4.3E-5	2.0E-5	3.6E-4	2.5E-2	1.6E-1	4.5E-2
780	2.5E-1	4.2E-5	1.9E-5	3.5E-4	2.5E-2	1.6E-1	4.5E-2
790	2.5E-1	4.2E-5	1.9E-5	3.5E-4	2.4E-2	1.6E-1	4.4E-2
800	2.5E-1	4.2E-5	1.8E-5	3.5E-4	2.4E-2	1.6E-1	4.4E-2
810	2.5E-1	4.1E-5	1.7E-5	3.5E-4	2.3E-2	1.6E-1	4.3E-2
820	2.4E-1	4.1E-5	1.7E-5	3.4E-4	2.3E-2	1.6E-1	4.3E-2
830	2.4E-1	4.0E-5	1.6E-5	3.4E-4	2.2E-2	1.6E-1	4.2E-2
840	2.4E-1	4.0E-5	1.6E-5	3.4E-4	2.2E-2	1.6E-1	4.2E-2
850	2.4E-1	3.9E-5	1.5E-5	3.4E-4	2.1E-2	1.6E-1	4.1E-2
860	2.4E-1	3.9E-5	1.5E-5	3.4E-4	2.1E-2	1.6E-1	4.1E-2
870	2.4E-1	3.9E-5	1.4E-5	3.3E-4	2.1E-2	1.6E-1	4.1E-2
880	2.4E-1	3.8E-5	1.4E-5	3.3E-4	2.0E-2	1.6E-1	4.0E-2
890	2.4E-1	3.8E-5	1.4E-5	3.3E-4	2.0E-2	1.6E-1	4.0E-2
900	2.4E-1	3.7E-5	1.3E-5	3.3E-4	1.9E-2	1.6E-1	3.9E-2
910	2.4E-1	3.7E-5	1.3E-5	3.3E-4	1.9E-2	1.6E-1	3.9E-2
920	2.3E-1	3.7E-5	1.2E-5	3.2E-4	1.8E-2	1.6E-1	3.9E-2
930	2.3E-1	3.6E-5	1.2E-5	3.2E-4	1.8E-2	1.6E-1	3.8E-2
940	2.3E-1	3.6E-5	1.2E-5	3.2E-4	1.8E-2	1.6E-1	3.8E-2
950	2.3E-1	3.5E-5	1.1E-5	3.2E-4	1.7E-2	1.6E-1	3.7E-2
960	2.3E-1	3.5E-5	1.1E-5	3.2E-4	1.7E-2	1.6E-1	3.7E-2
970	2.3E-1	3.5E-5	1.1E-5	3.2E-4	1.7E-2	1.6E-1	3.7E-2
980	2.3E-1	3.4E-5	1.0E-5	3.1E-4	1.6E-2	1.6E-1	3.6E-2
990	2.3E-1	3.4E-5	1.0E-5	3.1E-4	1.6E-2	1.6E-1	3.6E-2
1000	2.3E-1	3.4E-5	9.9E-6	3.1E-4	1.6E-2	1.6E-1	3.5E-2
1010	2.3E-1	3.3E-5	9.7E-6	3.1E-4	1.5E-2	1.6E-1	3.5E-2
1020	2.2E-1	3.3E-5	9.4E-6	3.1E-4	1.5E-2	1.6E-1	3.5E-2
1030	2.2E-1	3.3E-5	9.2E-6	3.1E-4	1.5E-2	1.6E-1	3.4E-2
1040	2.2E-1	3.2E-5	9.0E-6	3.1E-4	1.5E-2	1.6E-1	3.4E-2
1050	2.2E-1	3.2E-5	8.8E-6	3.0E-4	1.4E-2	1.6E-1	3.4E-2
1060	2.2E-1	3.2E-5	8.6E-6	3.0E-4	1.4E-2	1.6E-1	3.3E-2
1070	2.2E-1	3.2E-5	8.4E-6	3.0E-4	1.4E-2	1.6E-1	3.3E-2
1080	2.2E-1	3.1E-5	8.2E-6	3.0E-4	1.3E-2	1.6E-1	3.3E-2
1090	2.2E-1	3.1E-5	8.0E-6	3.0E-4	1.3E-2	1.6E-1	3.2E-2
1095	2.2E-1	3.1E-5	7.9E-6	3.0E-4	1.3E-2	1.6E-1	3.2E-2
1100	2.2E-1	3.1E-5	7.8E-6	3.0E-4	1.3E-2	1.6E-1	3.2E-2
1200	2.1E-1	2.8E-5	6.3E-6	2.9E-4	1.1E-2	1.6E-1	2.9E-2
1300	2.0E-1	2.6E-5	5.3E-6	2.8E-4	8.9E-3	1.5E-1	2.6E-2
1400	1.9E-1	2.4E-5	4.6E-6	2.7E-4	7.5E-3	1.5E-1	2.4E-2
1500	1.9E-1	2.2E-5	4.0E-6	2.6E-4	6.2E-3	1.5E-1	2.1E-2
1600	1.8E-1	2.0E-5	3.6E-6	2.5E-4	5.2E-3	1.4E-1	2.0E-2
1700	1.7E-1	1.9E-5	3.3E-6	2.5E-4	4.4E-3	1.4E-1	1.8E-2
1800	1.7E-1	1.7E-5	3.0E-6	2.4E-4	3.7E-3	1.4E-1	1.6E-2
1900	1.6E-1	1.6E-5	2.7E-6	2.3E-4	3.1E-3	1.3E-1	1.5E-2
2000	1.6E-1	1.5E-5	2.5E-6	2.3E-4	2.6E-3	1.3E-1	1.4E-2
2100	1.5E-1	1.4E-5	2.4E-6	2.2E-4	2.2E-3	1.3E-1	1.3E-2
2200	1.5E-1	1.3E-5	2.2E-6	2.1E-4	1.9E-3	1.2E-1	1.2E-2
2300	1.4E-1	1.3E-5	2.1E-6	2.1E-4	1.6E-3	1.2E-1	1.1E-2
2400	1.4E-1	1.2E-5	2.0E-6	2.0E-4	1.4E-3	1.2E-1	9.9E-3
2500	1.3E-1	1.1E-5	1.8E-6	2.0E-4	1.2E-3	1.1E-1	9.2E-3
2600	1.3E-1	1.1E-5	1.7E-6	1.9E-4	9.9E-4	1.1E-1	8.5E-3
2700	1.3E-1	1.0E-5	1.6E-6	1.9E-4	8.4E-4	1.1E-1	8.0E-3
2800	1.2E-1	9.5E-6	1.6E-6	1.8E-4	7.2E-4	1.0E-1	7.4E-3
2900	1.2E-1	9.0E-6	1.5E-6	1.8E-4	6.2E-4	1.0E-1	7.0E-3
3000	1.1E-1	8.5E-6	1.4E-6	1.7E-4	5.3E-4	9.9E-2	6.5E-3
3100	1.1E-1	8.1E-6	1.3E-6	1.7E-4	4.5E-4	9.6E-2	6.1E-3
3200	1.1E-1	7.7E-6	1.3E-6	1.6E-4	3.9E-4	9.4E-2	5.8E-3
3300	1.0E-1	7.4E-6	1.2E-6	1.6E-4	3.4E-4	9.1E-2	5.5E-3
3400	1.0E-1	7.0E-6	1.2E-6	1.5E-4	2.9E-4	8.9E-2	5.1E-3
3500	9.8E-2	6.7E-6	1.1E-6	1.5E-4	2.6E-4	8.6E-2	4.9E-3
3600	9.5E-2	6.4E-6	1.1E-6	1.5E-4	2.2E-4	8.4E-2	4.6E-3
3650	9.4E-2	6.3E-6	1.0E-6	1.4E-4	2.1E-4	8.2E-2	4.5E-3
4000	8.5E-2	5.4E-6	8.8E-7	1.3E-4	1.4E-4	7.5E-2	3.8E-3
5000	6.3E-2	3.6E-6	5.9E-7	9.9E-5	5.8E-5	5.6E-2	2.4E-3
6000	4.8E-2	2.5E-6	4.1E-7	7.4E-5	3.5E-5	4.3E-2	1.6E-3
7000	3.6E-2	1.8E-6	2.9E-7	5.6E-5	2.5E-5	3.2E-2	1.1E-3
8000	2.7E-2	1.3E-6	2.1E-7	4.2E-5	1.8E-5	2.5E-2	8.1E-4
9000	2.1E-2	9.3E-7	1.5E-7	3.2E-5	1.4E-5	1.9E-2	5.9E-4
10000	1.6E-2	6.8E-7	1.1E-7	2.4E-5	1.0E-5	1.4E-2	4.3E-4
11000	1.2E-2	5.1E-7	8.3E-8	1.8E-5	7.7E-6	1.1E-2	3.2E-4
12000	9.2E-3	3.8E-7	6.2E-8	1.3E-5	5.8E-6	8.4E-3	2.4E-4
13000	7.1E-3	2.9E-7	4.7E-8	1.0E-5	4.4E-6	6.4E-3	1.8E-4
14000	5.4E-3	2.2E-7	3.5E-8	7.5E-6	3.3E-6	4.9E-3	1.3E-4
15000	4.1E-3	1.6E-7	2.7E-8	5.6E-6	2.5E-6	3.8E-3	1.0E-4
